,artist,endTime,sum,week,date
0,Hardline,2017-03-10 04:13:54,1,1,2017-03-10
1,Hardline,2017-03-24 04:13:54,1,2,2017-03-24
2,Hardline,2017-04-07 04:13:54,1,3,2017-04-07
3,Hardline,2017-04-21 04:13:54,1,4,2017-04-21
4,Hardline,2017-05-05 04:13:54,1,5,2017-05-05
5,Hardline,2017-05-19 04:13:54,1,6,2017-05-19
6,Hardline,2017-06-02 04:13:54,1,7,2017-06-02
7,Hardline,2017-06-16 04:13:54,1,8,2017-06-16
8,Hardline,2017-06-30 04:13:54,1,9,2017-06-30
9,Hardline,2017-07-14 04:13:54,1,10,2017-07-14
10,Hardline,2017-07-28 04:13:54,1,11,2017-07-28
11,Hardline,2017-08-11 04:13:54,1,12,2017-08-11
12,Hardline,2017-08-25 04:13:54,1,13,2017-08-25
13,Hardline,2017-09-08 04:13:54,1,14,2017-09-08
14,Hardline,2017-09-22 04:13:54,1,15,2017-09-22
15,Hardline,2017-10-06 04:13:54,1,16,2017-10-06
16,Hardline,2017-10-20 04:13:54,1,17,2017-10-20
17,Hardline,2017-11-03 04:13:54,1,18,2017-11-03
18,Hardline,2017-11-17 04:13:54,1,19,2017-11-17
19,Hardline,2017-12-01 04:13:54,1,20,2017-12-01
20,Hardline,2017-12-15 04:13:54,1,21,2017-12-15
21,Hardline,2017-12-29 04:13:54,1,22,2017-12-29
22,Hardline,2018-01-12 04:13:54,1,23,2018-01-12
23,Hardline,2018-01-26 04:13:54,1,24,2018-01-26
24,Hardline,2018-02-09 04:13:54,1,25,2018-02-09
25,Hardline,2018-02-23 04:13:54,1,26,2018-02-23
26,Hardline,2018-03-09 04:13:54,1,27,2018-03-09
27,Hardline,2018-03-23 04:13:54,1,28,2018-03-23
28,Hardline,2018-04-06 04:13:54,1,29,2018-04-06
29,Hardline,2018-04-20 04:13:54,1,30,2018-04-20
30,Hardline,2018-05-04 04:13:54,1,31,2018-05-04
31,Hardline,2018-05-18 04:13:54,1,32,2018-05-18
32,Hardline,2018-06-01 04:13:54,1,33,2018-06-01
33,Hardline,2018-06-15 04:13:54,1,34,2018-06-15
34,Hardline,2018-06-29 04:13:54,1,35,2018-06-29
35,Hardline,2018-07-13 04:13:54,1,36,2018-07-13
36,Hardline,2018-07-27 04:13:54,1,37,2018-07-27
37,Hardline,2018-08-10 04:13:54,1,38,2018-08-10
38,Hardline,2018-08-24 04:13:54,1,39,2018-08-24
39,Hardline,2018-09-07 04:13:54,1,40,2018-09-07
40,Hardline,2018-09-21 04:13:54,1,41,2018-09-21
41,Hardline,2018-10-05 04:13:54,1,42,2018-10-05
42,Hardline,2018-10-19 04:13:54,1,43,2018-10-19
43,Greta Van Fleet,2017-03-10 04:13:54,0,1,2017-03-10
44,Greta Van Fleet,2017-03-24 04:13:54,0,2,2017-03-24
45,Greta Van Fleet,2017-04-07 04:13:54,0,3,2017-04-07
46,Greta Van Fleet,2017-04-21 04:13:54,0,4,2017-04-21
47,Greta Van Fleet,2017-05-05 04:13:54,0,5,2017-05-05
48,Greta Van Fleet,2017-05-19 04:13:54,0,6,2017-05-19
49,Greta Van Fleet,2017-06-02 04:13:54,0,7,2017-06-02
50,Greta Van Fleet,2017-06-16 04:13:54,0,8,2017-06-16
51,Greta Van Fleet,2017-06-30 04:13:54,0,9,2017-06-30
52,Greta Van Fleet,2017-07-14 04:13:54,0,10,2017-07-14
53,Greta Van Fleet,2017-07-28 04:13:54,0,11,2017-07-28
54,Greta Van Fleet,2017-08-11 04:13:54,0,12,2017-08-11
55,Greta Van Fleet,2017-08-25 04:13:54,0,13,2017-08-25
56,Greta Van Fleet,2017-09-08 04:13:54,0,14,2017-09-08
57,Greta Van Fleet,2017-09-22 04:13:54,0,15,2017-09-22
58,Greta Van Fleet,2017-10-06 04:13:54,0,16,2017-10-06
59,Greta Van Fleet,2017-10-20 04:13:54,0,17,2017-10-20
60,Greta Van Fleet,2017-11-03 04:13:54,0,18,2017-11-03
61,Greta Van Fleet,2017-11-17 04:13:54,0,19,2017-11-17
62,Greta Van Fleet,2017-12-01 04:13:54,0,20,2017-12-01
63,Greta Van Fleet,2017-12-15 04:13:54,0,21,2017-12-15
64,Greta Van Fleet,2017-12-29 04:13:54,0,22,2017-12-29
65,Greta Van Fleet,2018-01-12 04:13:54,0,23,2018-01-12
66,Greta Van Fleet,2018-01-26 04:13:54,0,24,2018-01-26
67,Greta Van Fleet,2018-02-09 04:13:54,0,25,2018-02-09
68,Greta Van Fleet,2018-02-23 04:13:54,0,26,2018-02-23
69,Greta Van Fleet,2018-03-09 04:13:54,0,27,2018-03-09
70,Greta Van Fleet,2018-03-23 04:13:54,0,28,2018-03-23
71,Greta Van Fleet,2018-04-06 04:13:54,0,29,2018-04-06
72,Greta Van Fleet,2018-04-20 04:13:54,0,30,2018-04-20
73,Greta Van Fleet,2018-05-04 04:13:54,0,31,2018-05-04
74,Greta Van Fleet,2018-05-18 04:13:54,0,32,2018-05-18
75,Greta Van Fleet,2018-06-01 04:13:54,0,33,2018-06-01
76,Greta Van Fleet,2018-06-15 04:13:54,0,34,2018-06-15
77,Greta Van Fleet,2018-06-29 04:13:54,0,35,2018-06-29
78,Greta Van Fleet,2018-07-13 04:13:54,0,36,2018-07-13
79,Greta Van Fleet,2018-07-27 04:13:54,1,37,2018-07-27
80,Greta Van Fleet,2018-08-10 04:13:54,1,38,2018-08-10
81,Greta Van Fleet,2018-08-24 04:13:54,1,39,2018-08-24
82,Greta Van Fleet,2018-09-07 04:13:54,1,40,2018-09-07
83,Greta Van Fleet,2018-09-21 04:13:54,1,41,2018-09-21
84,Greta Van Fleet,2018-10-05 04:13:54,1,42,2018-10-05
85,Greta Van Fleet,2018-10-19 04:13:54,1,43,2018-10-19
