,artist,endTime,sum,week,date
0,Brad Mehldau,2018-01-02 03:43:01,1,1,2018-01-02
1,Brad Mehldau,2018-01-16 03:43:01,1,2,2018-01-16
2,Brad Mehldau,2018-01-30 03:43:01,1,3,2018-01-30
3,Brad Mehldau,2018-02-13 03:43:01,1,4,2018-02-13
4,Brad Mehldau,2018-02-27 03:43:01,1,5,2018-02-27
5,Brad Mehldau,2018-03-13 03:43:01,1,6,2018-03-13
6,Brad Mehldau,2018-03-27 03:43:01,1,7,2018-03-27
7,Brad Mehldau,2018-04-10 03:43:01,1,8,2018-04-10
8,Brad Mehldau,2018-04-24 03:43:01,1,9,2018-04-24
9,Brad Mehldau,2018-05-08 03:43:01,1,10,2018-05-08
10,Brad Mehldau,2018-05-22 03:43:01,1,11,2018-05-22
11,Brad Mehldau,2018-06-05 03:43:01,1,12,2018-06-05
12,Brad Mehldau,2018-06-19 03:43:01,1,13,2018-06-19
13,Brad Mehldau,2018-07-03 03:43:01,1,14,2018-07-03
14,Brad Mehldau,2018-07-17 03:43:01,1,15,2018-07-17
15,Brad Mehldau,2018-07-31 03:43:01,1,16,2018-07-31
16,Brad Mehldau,2018-08-14 03:43:01,1,17,2018-08-14
17,Brad Mehldau,2018-08-28 03:43:01,1,18,2018-08-28
18,Brad Mehldau,2018-09-11 03:43:01,1,19,2018-09-11
19,Brad Mehldau,2018-09-25 03:43:01,1,20,2018-09-25
20,Brad Mehldau,2018-10-09 03:43:01,1,21,2018-10-09
21,Brad Mehldau,2018-10-23 03:43:01,1,22,2018-10-23
22,Brad Mehldau,2018-11-06 03:43:01,1,23,2018-11-06
23,Brad Mehldau,2018-11-20 03:43:01,1,24,2018-11-20
24,Brad Mehldau,2018-12-04 03:43:01,1,25,2018-12-04
25,Brad Mehldau,2018-12-18 03:43:01,1,26,2018-12-18
26,Brad Mehldau,2019-01-01 03:43:01,1,27,2019-01-01
27,Brad Mehldau,2019-01-15 03:43:01,1,28,2019-01-15
28,Brad Mehldau,2019-01-29 03:43:01,1,29,2019-01-29
29,Brad Mehldau,2019-02-12 03:43:01,1,30,2019-02-12
30,Brad Mehldau,2019-02-26 03:43:01,1,31,2019-02-26
31,Brad Mehldau,2019-03-12 03:43:01,1,32,2019-03-12
32,Brad Mehldau,2019-03-26 03:43:01,1,33,2019-03-26
33,Brad Mehldau,2019-04-09 03:43:01,1,34,2019-04-09
34,Brad Mehldau,2019-04-23 03:43:01,1,35,2019-04-23
35,Brad Mehldau,2019-05-07 03:43:01,1,36,2019-05-07
36,Brad Mehldau,2019-05-21 03:43:01,1,37,2019-05-21
37,Brad Mehldau,2019-06-04 03:43:01,1,38,2019-06-04
38,Brad Mehldau,2019-06-18 03:43:01,1,39,2019-06-18
39,Brad Mehldau,2019-07-02 03:43:01,1,40,2019-07-02
40,Brad Mehldau,2019-07-16 03:43:01,1,41,2019-07-16
41,Brad Mehldau,2019-07-30 03:43:01,1,42,2019-07-30
42,Brad Mehldau,2019-08-13 03:43:01,1,43,2019-08-13
43,Brad Mehldau,2019-08-27 03:43:01,1,44,2019-08-27
44,Brad Mehldau,2019-09-10 03:43:01,1,45,2019-09-10
45,Brad Mehldau,2019-09-24 03:43:01,1,46,2019-09-24
46,Brad Mehldau,2019-10-08 03:43:01,1,47,2019-10-08
47,Brad Mehldau,2019-10-22 03:43:01,1,48,2019-10-22
48,Brad Mehldau,2019-11-05 03:43:01,1,49,2019-11-05
49,Brad Mehldau,2019-11-19 03:43:01,1,50,2019-11-19
50,Brad Mehldau,2019-12-03 03:43:01,1,51,2019-12-03
51,Brad Mehldau,2019-12-17 03:43:01,1,52,2019-12-17
52,Brad Mehldau,2019-12-31 03:43:01,1,53,2019-12-31
53,Brad Mehldau,2020-01-14 03:43:01,1,54,2020-01-14
54,Brad Mehldau,2020-01-28 03:43:01,1,55,2020-01-28
55,Brad Mehldau,2020-02-11 03:43:01,1,56,2020-02-11
56,Brad Mehldau,2020-02-25 03:43:01,1,57,2020-02-25
57,Brad Mehldau,2020-03-10 03:43:01,1,58,2020-03-10
