,artist,endTime,sum,week,date
0,Twin Peaks,2017-06-21 16:30:49,2,1,2017-06-21
1,Twin Peaks,2017-07-05 16:30:49,2,2,2017-07-05
2,Twin Peaks,2017-07-19 16:30:49,2,3,2017-07-19
3,Twin Peaks,2017-08-02 16:30:49,2,4,2017-08-02
4,Twin Peaks,2017-08-16 16:30:49,4,5,2017-08-16
5,Twin Peaks,2017-08-30 16:30:49,4,6,2017-08-30
6,Twin Peaks,2017-09-13 16:30:49,4,7,2017-09-13
7,Twin Peaks,2017-09-27 16:30:49,4,8,2017-09-27
8,Twin Peaks,2017-10-11 16:30:49,4,9,2017-10-11
9,Twin Peaks,2017-10-25 16:30:49,4,10,2017-10-25
10,Twin Peaks,2017-11-08 16:30:49,4,11,2017-11-08
11,Twin Peaks,2017-11-22 16:30:49,4,12,2017-11-22
12,Twin Peaks,2017-12-06 16:30:49,4,13,2017-12-06
13,Twin Peaks,2017-12-20 16:30:49,4,14,2017-12-20
14,Twin Peaks,2018-01-03 16:30:49,4,15,2018-01-03
15,Twin Peaks,2018-01-17 16:30:49,4,16,2018-01-17
16,Twin Peaks,2018-01-31 16:30:49,4,17,2018-01-31
17,Twin Peaks,2018-02-14 16:30:49,4,18,2018-02-14
18,Twin Peaks,2018-02-28 16:30:49,4,19,2018-02-28
19,Twin Peaks,2018-03-14 16:30:49,4,20,2018-03-14
20,Twin Peaks,2018-03-28 16:30:49,4,21,2018-03-28
21,Twin Peaks,2018-04-11 16:30:49,5,22,2018-04-11
22,Twin Peaks,2018-04-25 16:30:49,5,23,2018-04-25
23,Twin Peaks,2018-05-09 16:30:49,6,24,2018-05-09
24,Twin Peaks,2018-05-23 16:30:49,6,25,2018-05-23
25,Twin Peaks,2018-06-06 16:30:49,31,26,2018-06-06
26,Twin Peaks,2018-06-20 16:30:49,34,27,2018-06-20
27,Twin Peaks,2018-07-04 16:30:49,52,28,2018-07-04
28,Twin Peaks,2018-07-18 16:30:49,68,29,2018-07-18
29,Twin Peaks,2018-08-01 16:30:49,70,30,2018-08-01
30,Twin Peaks,2018-08-15 16:30:49,73,31,2018-08-15
