,artist,endTime,sum,week,date
0,PHONY PPL,2016-05-18 22:05:11,7,1,2016-05-18
1,PHONY PPL,2016-06-01 22:05:11,7,2,2016-06-01
2,PHONY PPL,2016-06-15 22:05:11,7,3,2016-06-15
3,PHONY PPL,2016-06-29 22:05:11,9,4,2016-06-29
4,PHONY PPL,2016-07-13 22:05:11,9,5,2016-07-13
5,PHONY PPL,2016-07-27 22:05:11,9,6,2016-07-27
6,PHONY PPL,2016-08-10 22:05:11,9,7,2016-08-10
7,PHONY PPL,2016-08-24 22:05:11,9,8,2016-08-24
8,PHONY PPL,2016-09-07 22:05:11,14,9,2016-09-07
9,PHONY PPL,2016-09-21 22:05:11,14,10,2016-09-21
10,PHONY PPL,2016-10-05 22:05:11,14,11,2016-10-05
11,PHONY PPL,2016-10-19 22:05:11,14,12,2016-10-19
12,PHONY PPL,2016-11-02 22:05:11,16,13,2016-11-02
13,PHONY PPL,2016-11-16 22:05:11,20,14,2016-11-16
14,PHONY PPL,2016-11-30 22:05:11,20,15,2016-11-30
15,PHONY PPL,2016-12-14 22:05:11,20,16,2016-12-14
16,PHONY PPL,2016-12-28 22:05:11,20,17,2016-12-28
17,PHONY PPL,2017-01-11 22:05:11,20,18,2017-01-11
18,PHONY PPL,2017-01-25 22:05:11,20,19,2017-01-25
19,PHONY PPL,2017-02-08 22:05:11,20,20,2017-02-08
20,PHONY PPL,2017-02-22 22:05:11,20,21,2017-02-22
21,PHONY PPL,2017-03-08 22:05:11,20,22,2017-03-08
22,PHONY PPL,2017-03-22 22:05:11,20,23,2017-03-22
23,PHONY PPL,2017-04-05 22:05:11,20,24,2017-04-05
24,PHONY PPL,2017-04-19 22:05:11,20,25,2017-04-19
25,PHONY PPL,2017-05-03 22:05:11,21,26,2017-05-03
26,PHONY PPL,2017-05-17 22:05:11,21,27,2017-05-17
27,PHONY PPL,2017-05-31 22:05:11,21,28,2017-05-31
28,PHONY PPL,2017-06-14 22:05:11,21,29,2017-06-14
29,PHONY PPL,2017-06-28 22:05:11,21,30,2017-06-28
30,PHONY PPL,2017-07-12 22:05:11,21,31,2017-07-12
31,PHONY PPL,2017-07-26 22:05:11,21,32,2017-07-26
32,PHONY PPL,2017-08-09 22:05:11,21,33,2017-08-09
33,PHONY PPL,2017-08-23 22:05:11,21,34,2017-08-23
34,PHONY PPL,2017-09-06 22:05:11,21,35,2017-09-06
35,PHONY PPL,2017-09-20 22:05:11,21,36,2017-09-20
36,PHONY PPL,2017-10-04 22:05:11,21,37,2017-10-04
37,PHONY PPL,2017-10-18 22:05:11,21,38,2017-10-18
38,PHONY PPL,2017-11-01 22:05:11,21,39,2017-11-01
39,PHONY PPL,2017-11-15 22:05:11,21,40,2017-11-15
40,PHONY PPL,2017-11-29 22:05:11,23,41,2017-11-29
41,PHONY PPL,2017-12-13 22:05:11,23,42,2017-12-13
42,PHONY PPL,2017-12-27 22:05:11,23,43,2017-12-27
43,PHONY PPL,2018-01-10 22:05:11,23,44,2018-01-10
44,PHONY PPL,2018-01-24 22:05:11,23,45,2018-01-24
45,PHONY PPL,2018-02-07 22:05:11,23,46,2018-02-07
46,PHONY PPL,2018-02-21 22:05:11,23,47,2018-02-21
47,PHONY PPL,2018-03-07 22:05:11,23,48,2018-03-07
48,PHONY PPL,2018-03-21 22:05:11,23,49,2018-03-21
49,PHONY PPL,2018-04-04 22:05:11,24,50,2018-04-04
50,PHONY PPL,2018-04-18 22:05:11,24,51,2018-04-18
51,PHONY PPL,2018-05-02 22:05:11,24,52,2018-05-02
52,PHONY PPL,2018-05-16 22:05:11,24,53,2018-05-16
53,PHONY PPL,2018-05-30 22:05:11,24,54,2018-05-30
54,PHONY PPL,2018-06-13 22:05:11,24,55,2018-06-13
