,artist,endTime,sum,week,date
0,Naughty By Nature,2016-01-21 22:16:59,2,1,2016-01-21
1,Naughty By Nature,2016-02-04 22:16:59,2,2,2016-02-04
2,Naughty By Nature,2016-02-18 22:16:59,2,3,2016-02-18
3,Naughty By Nature,2016-03-03 22:16:59,2,4,2016-03-03
4,Naughty By Nature,2016-03-17 22:16:59,2,5,2016-03-17
5,Naughty By Nature,2016-03-31 22:16:59,2,6,2016-03-31
6,Naughty By Nature,2016-04-14 22:16:59,2,7,2016-04-14
7,Naughty By Nature,2016-04-28 22:16:59,2,8,2016-04-28
8,Naughty By Nature,2016-05-12 22:16:59,2,9,2016-05-12
9,Naughty By Nature,2016-05-26 22:16:59,2,10,2016-05-26
10,Naughty By Nature,2016-06-09 22:16:59,2,11,2016-06-09
11,Naughty By Nature,2016-06-23 22:16:59,2,12,2016-06-23
12,Naughty By Nature,2016-07-07 22:16:59,2,13,2016-07-07
13,Naughty By Nature,2016-07-21 22:16:59,2,14,2016-07-21
14,Naughty By Nature,2016-08-04 22:16:59,2,15,2016-08-04
15,Naughty By Nature,2016-08-18 22:16:59,2,16,2016-08-18
16,Naughty By Nature,2016-09-01 22:16:59,2,17,2016-09-01
17,Naughty By Nature,2016-09-15 22:16:59,2,18,2016-09-15
18,Naughty By Nature,2016-09-29 22:16:59,2,19,2016-09-29
19,Naughty By Nature,2016-10-13 22:16:59,2,20,2016-10-13
20,Naughty By Nature,2016-10-27 22:16:59,2,21,2016-10-27
21,Naughty By Nature,2016-11-10 22:16:59,2,22,2016-11-10
22,Naughty By Nature,2016-11-24 22:16:59,2,23,2016-11-24
23,Naughty By Nature,2016-12-08 22:16:59,2,24,2016-12-08
24,Naughty By Nature,2016-12-22 22:16:59,2,25,2016-12-22
25,Naughty By Nature,2017-01-05 22:16:59,2,26,2017-01-05
26,Naughty By Nature,2017-01-19 22:16:59,2,27,2017-01-19
27,Naughty By Nature,2017-02-02 22:16:59,2,28,2017-02-02
28,Naughty By Nature,2017-02-16 22:16:59,2,29,2017-02-16
29,Naughty By Nature,2017-03-02 22:16:59,2,30,2017-03-02
30,Naughty By Nature,2017-03-16 22:16:59,2,31,2017-03-16
31,Naughty By Nature,2017-03-30 22:16:59,2,32,2017-03-30
32,Naughty By Nature,2017-04-13 22:16:59,2,33,2017-04-13
33,Naughty By Nature,2017-04-27 22:16:59,2,34,2017-04-27
34,Naughty By Nature,2017-05-11 22:16:59,2,35,2017-05-11
35,Naughty By Nature,2017-05-25 22:16:59,2,36,2017-05-25
36,Naughty By Nature,2017-06-08 22:16:59,2,37,2017-06-08
37,Naughty By Nature,2017-06-22 22:16:59,2,38,2017-06-22
38,Naughty By Nature,2017-07-06 22:16:59,2,39,2017-07-06
39,Naughty By Nature,2017-07-20 22:16:59,2,40,2017-07-20
40,Naughty By Nature,2017-08-03 22:16:59,2,41,2017-08-03
41,Naughty By Nature,2017-08-17 22:16:59,2,42,2017-08-17
42,Naughty By Nature,2017-08-31 22:16:59,2,43,2017-08-31
43,Naughty By Nature,2017-09-14 22:16:59,2,44,2017-09-14
44,Naughty By Nature,2017-09-28 22:16:59,2,45,2017-09-28
45,Naughty By Nature,2017-10-12 22:16:59,2,46,2017-10-12
46,Naughty By Nature,2017-10-26 22:16:59,2,47,2017-10-26
47,Naughty By Nature,2017-11-09 22:16:59,2,48,2017-11-09
48,Naughty By Nature,2017-11-23 22:16:59,2,49,2017-11-23
49,Naughty By Nature,2017-12-07 22:16:59,2,50,2017-12-07
50,Naughty By Nature,2017-12-21 22:16:59,2,51,2017-12-21
51,Naughty By Nature,2018-01-04 22:16:59,2,52,2018-01-04
52,Naughty By Nature,2018-01-18 22:16:59,2,53,2018-01-18
53,Naughty By Nature,2018-02-01 22:16:59,2,54,2018-02-01
54,Naughty By Nature,2018-02-15 22:16:59,2,55,2018-02-15
55,Naughty By Nature,2018-03-01 22:16:59,2,56,2018-03-01
56,Naughty By Nature,2018-03-15 22:16:59,2,57,2018-03-15
57,Naughty By Nature,2018-03-29 22:16:59,2,58,2018-03-29
58,Naughty By Nature,2018-04-12 22:16:59,2,59,2018-04-12
59,Naughty By Nature,2018-04-26 22:16:59,2,60,2018-04-26
60,Naughty By Nature,2018-05-10 22:16:59,2,61,2018-05-10
61,Naughty By Nature,2018-05-24 22:16:59,2,62,2018-05-24
62,Naughty By Nature,2018-06-07 22:16:59,2,63,2018-06-07
63,Naughty By Nature,2018-06-21 22:16:59,2,64,2018-06-21
64,Naughty By Nature,2018-07-05 22:16:59,2,65,2018-07-05
65,Naughty By Nature,2018-07-19 22:16:59,2,66,2018-07-19
66,Naughty By Nature,2018-08-02 22:16:59,2,67,2018-08-02
67,Naughty By Nature,2018-08-16 22:16:59,2,68,2018-08-16
68,Naughty By Nature,2018-08-30 22:16:59,2,69,2018-08-30
69,Naughty By Nature,2018-09-13 22:16:59,2,70,2018-09-13
70,Naughty By Nature,2018-09-27 22:16:59,2,71,2018-09-27
71,Naughty By Nature,2018-10-11 22:16:59,2,72,2018-10-11
72,Naughty By Nature,2018-10-25 22:16:59,2,73,2018-10-25
73,Naughty By Nature,2018-11-08 22:16:59,2,74,2018-11-08
74,Naughty By Nature,2018-11-22 22:16:59,2,75,2018-11-22
75,Naughty By Nature,2018-12-06 22:16:59,2,76,2018-12-06
76,Naughty By Nature,2018-12-20 22:16:59,2,77,2018-12-20
77,Naughty By Nature,2019-01-03 22:16:59,2,78,2019-01-03
78,Naughty By Nature,2019-01-17 22:16:59,2,79,2019-01-17
79,Naughty By Nature,2019-01-31 22:16:59,2,80,2019-01-31
80,Naughty By Nature,2019-02-14 22:16:59,2,81,2019-02-14
81,Naughty By Nature,2019-02-28 22:16:59,2,82,2019-02-28
82,Naughty By Nature,2019-03-14 22:16:59,2,83,2019-03-14
