,artist,endTime,sum,week,date
0,Marvin Gaye,2016-06-11 15:41:00,2,1,2016-06-11
1,Marvin Gaye,2016-06-25 15:41:00,2,2,2016-06-25
2,Marvin Gaye,2016-07-09 15:41:00,2,3,2016-07-09
3,Marvin Gaye,2016-07-23 15:41:00,2,4,2016-07-23
4,Marvin Gaye,2016-08-06 15:41:00,2,5,2016-08-06
5,Marvin Gaye,2016-08-20 15:41:00,15,6,2016-08-20
6,Marvin Gaye,2016-09-03 15:41:00,29,7,2016-09-03
7,Marvin Gaye,2016-09-17 15:41:00,29,8,2016-09-17
8,Marvin Gaye,2016-10-01 15:41:00,29,9,2016-10-01
9,Marvin Gaye,2016-10-15 15:41:00,29,10,2016-10-15
10,Marvin Gaye,2016-10-29 15:41:00,30,11,2016-10-29
11,Marvin Gaye,2016-11-12 15:41:00,30,12,2016-11-12
12,Marvin Gaye,2016-11-26 15:41:00,30,13,2016-11-26
13,Marvin Gaye,2016-12-10 15:41:00,30,14,2016-12-10
14,Marvin Gaye,2016-12-24 15:41:00,30,15,2016-12-24
15,Marvin Gaye,2017-01-07 15:41:00,30,16,2017-01-07
16,Marvin Gaye,2017-01-21 15:41:00,30,17,2017-01-21
17,Marvin Gaye,2017-02-04 15:41:00,30,18,2017-02-04
18,Marvin Gaye,2017-02-18 15:41:00,30,19,2017-02-18
19,Marvin Gaye,2017-03-04 15:41:00,30,20,2017-03-04
20,Marvin Gaye,2017-03-18 15:41:00,30,21,2017-03-18
21,Marvin Gaye,2017-04-01 15:41:00,30,22,2017-04-01
22,Marvin Gaye,2017-04-15 15:41:00,30,23,2017-04-15
23,Marvin Gaye,2017-04-29 15:41:00,30,24,2017-04-29
24,Marvin Gaye,2017-05-13 15:41:00,30,25,2017-05-13
25,Marvin Gaye,2017-05-27 15:41:00,30,26,2017-05-27
26,Marvin Gaye,2017-06-10 15:41:00,31,27,2017-06-10
27,Marvin Gaye,2017-06-24 15:41:00,31,28,2017-06-24
28,Marvin Gaye,2017-07-08 15:41:00,31,29,2017-07-08
29,Marvin Gaye,2017-07-22 15:41:00,31,30,2017-07-22
30,Marvin Gaye,2017-08-05 15:41:00,31,31,2017-08-05
31,Marvin Gaye,2017-08-19 15:41:00,31,32,2017-08-19
32,Marvin Gaye,2017-09-02 15:41:00,31,33,2017-09-02
33,Marvin Gaye,2017-09-16 15:41:00,31,34,2017-09-16
34,Marvin Gaye,2017-09-30 15:41:00,31,35,2017-09-30
35,Marvin Gaye,2017-10-14 15:41:00,31,36,2017-10-14
36,Marvin Gaye,2017-10-28 15:41:00,31,37,2017-10-28
37,Marvin Gaye,2017-11-11 15:41:00,31,38,2017-11-11
38,Marvin Gaye,2017-11-25 15:41:00,31,39,2017-11-25
39,Marvin Gaye,2017-12-09 15:41:00,31,40,2017-12-09
40,Marvin Gaye,2017-12-23 15:41:00,31,41,2017-12-23
41,Marvin Gaye,2018-01-06 15:41:00,31,42,2018-01-06
42,Marvin Gaye,2018-01-20 15:41:00,31,43,2018-01-20
43,Marvin Gaye,2018-02-03 15:41:00,31,44,2018-02-03
44,Marvin Gaye,2018-02-17 15:41:00,31,45,2018-02-17
45,Marvin Gaye,2018-03-03 15:41:00,31,46,2018-03-03
