,artist,endTime,sum,week,date
0,Toby Keith,2018-02-16 02:59:58,2,1,2018-02-16
1,Toby Keith,2018-03-02 02:59:58,2,2,2018-03-02
2,Toby Keith,2018-03-16 02:59:58,2,3,2018-03-16
3,Toby Keith,2018-03-30 02:59:58,2,4,2018-03-30
4,Toby Keith,2018-04-13 02:59:58,2,5,2018-04-13
5,Toby Keith,2018-04-27 02:59:58,2,6,2018-04-27
6,Toby Keith,2018-05-11 02:59:58,2,7,2018-05-11
7,Toby Keith,2018-05-25 02:59:58,2,8,2018-05-25
8,Toby Keith,2018-06-08 02:59:58,2,9,2018-06-08
9,Toby Keith,2018-06-22 02:59:58,2,10,2018-06-22
10,Toby Keith,2018-07-06 02:59:58,2,11,2018-07-06
11,Toby Keith,2018-07-20 02:59:58,2,12,2018-07-20
12,Toby Keith,2018-08-03 02:59:58,2,13,2018-08-03
13,Roger Miller,2018-02-16 02:59:58,0,1,2018-02-16
14,Roger Miller,2018-03-02 02:59:58,0,2,2018-03-02
15,Roger Miller,2018-03-16 02:59:58,0,3,2018-03-16
16,Roger Miller,2018-03-30 02:59:58,0,4,2018-03-30
17,Roger Miller,2018-04-13 02:59:58,0,5,2018-04-13
18,Roger Miller,2018-04-27 02:59:58,0,6,2018-04-27
19,Roger Miller,2018-05-11 02:59:58,0,7,2018-05-11
20,Roger Miller,2018-05-25 02:59:58,0,8,2018-05-25
21,Roger Miller,2018-06-08 02:59:58,0,9,2018-06-08
22,Roger Miller,2018-06-22 02:59:58,1,10,2018-06-22
23,Roger Miller,2018-07-06 02:59:58,1,11,2018-07-06
24,Roger Miller,2018-07-20 02:59:58,1,12,2018-07-20
25,Roger Miller,2018-08-03 02:59:58,1,13,2018-08-03
