,artist,endTime,sum,week,date
0,Sturgill Simpson,2016-09-02 17:38:02,3,1,2016-09-02
1,Sturgill Simpson,2016-09-16 17:38:02,3,2,2016-09-16
2,Sturgill Simpson,2016-09-30 17:38:02,3,3,2016-09-30
3,Sturgill Simpson,2016-10-14 17:38:02,3,4,2016-10-14
4,Sturgill Simpson,2016-10-28 17:38:02,3,5,2016-10-28
5,Sturgill Simpson,2016-11-11 17:38:02,3,6,2016-11-11
6,Sturgill Simpson,2016-11-25 17:38:02,3,7,2016-11-25
7,Sturgill Simpson,2016-12-09 17:38:02,3,8,2016-12-09
8,Sturgill Simpson,2016-12-23 17:38:02,3,9,2016-12-23
9,Sturgill Simpson,2017-01-06 17:38:02,3,10,2017-01-06
10,Sturgill Simpson,2017-01-20 17:38:02,3,11,2017-01-20
11,Sturgill Simpson,2017-02-03 17:38:02,3,12,2017-02-03
12,Sturgill Simpson,2017-02-17 17:38:02,3,13,2017-02-17
13,Sturgill Simpson,2017-03-03 17:38:02,3,14,2017-03-03
14,Sturgill Simpson,2017-03-17 17:38:02,3,15,2017-03-17
15,Sturgill Simpson,2017-03-31 17:38:02,3,16,2017-03-31
16,Sturgill Simpson,2017-04-14 17:38:02,3,17,2017-04-14
17,Sturgill Simpson,2017-04-28 17:38:02,3,18,2017-04-28
18,Sturgill Simpson,2017-05-12 17:38:02,3,19,2017-05-12
19,Sturgill Simpson,2017-05-26 17:38:02,3,20,2017-05-26
20,Sturgill Simpson,2017-06-09 17:38:02,3,21,2017-06-09
21,Sturgill Simpson,2017-06-23 17:38:02,3,22,2017-06-23
22,Sturgill Simpson,2017-07-07 17:38:02,3,23,2017-07-07
23,Sturgill Simpson,2017-07-21 17:38:02,3,24,2017-07-21
24,Sturgill Simpson,2017-08-04 17:38:02,3,25,2017-08-04
25,Sturgill Simpson,2017-08-18 17:38:02,3,26,2017-08-18
26,Sturgill Simpson,2017-09-01 17:38:02,3,27,2017-09-01
27,Sturgill Simpson,2017-09-15 17:38:02,3,28,2017-09-15
28,Sturgill Simpson,2017-09-29 17:38:02,3,29,2017-09-29
29,Sturgill Simpson,2017-10-13 17:38:02,3,30,2017-10-13
30,Sturgill Simpson,2017-10-27 17:38:02,3,31,2017-10-27
31,Sturgill Simpson,2017-11-10 17:38:02,3,32,2017-11-10
32,Sturgill Simpson,2017-11-24 17:38:02,3,33,2017-11-24
33,Sturgill Simpson,2017-12-08 17:38:02,3,34,2017-12-08
34,Sturgill Simpson,2017-12-22 17:38:02,3,35,2017-12-22
35,Sturgill Simpson,2018-01-05 17:38:02,3,36,2018-01-05
36,Sturgill Simpson,2018-01-19 17:38:02,3,37,2018-01-19
