,artist,endTime,sum,week,date
0,Laurel Halo,2017-06-22 00:25:45,1,1,2017-06-22
1,Laurel Halo,2017-07-06 00:25:45,1,2,2017-07-06
2,Laurel Halo,2017-07-20 00:25:45,1,3,2017-07-20
3,Laurel Halo,2017-08-03 00:25:45,1,4,2017-08-03
4,Laurel Halo,2017-08-17 00:25:45,1,5,2017-08-17
5,Laurel Halo,2017-08-31 00:25:45,1,6,2017-08-31
6,Laurel Halo,2017-09-14 00:25:45,1,7,2017-09-14
7,Laurel Halo,2017-09-28 00:25:45,1,8,2017-09-28
8,Laurel Halo,2017-10-12 00:25:45,1,9,2017-10-12
9,Laurel Halo,2017-10-26 00:25:45,1,10,2017-10-26
10,Laurel Halo,2017-11-09 00:25:45,1,11,2017-11-09
11,Laurel Halo,2017-11-23 00:25:45,1,12,2017-11-23
12,Laurel Halo,2017-12-07 00:25:45,1,13,2017-12-07
13,Laurel Halo,2017-12-21 00:25:45,1,14,2017-12-21
14,Laurel Halo,2018-01-04 00:25:45,1,15,2018-01-04
15,Laurel Halo,2018-01-18 00:25:45,1,16,2018-01-18
16,Laurel Halo,2018-02-01 00:25:45,1,17,2018-02-01
17,Laurel Halo,2018-02-15 00:25:45,1,18,2018-02-15
18,Laurel Halo,2018-03-01 00:25:45,1,19,2018-03-01
19,Laurel Halo,2018-03-15 00:25:45,1,20,2018-03-15
20,Laurel Halo,2018-03-29 00:25:45,1,21,2018-03-29
21,Laurel Halo,2018-04-12 00:25:45,1,22,2018-04-12
22,Laurel Halo,2018-04-26 00:25:45,1,23,2018-04-26
23,Laurel Halo,2018-05-10 00:25:45,1,24,2018-05-10
24,Laurel Halo,2018-05-24 00:25:45,1,25,2018-05-24
25,Laurel Halo,2018-06-07 00:25:45,1,26,2018-06-07
26,Laurel Halo,2018-06-21 00:25:45,1,27,2018-06-21
27,Laurel Halo,2018-07-05 00:25:45,1,28,2018-07-05
28,Laurel Halo,2018-07-19 00:25:45,1,29,2018-07-19
29,Laurel Halo,2018-08-02 00:25:45,1,30,2018-08-02
30,Laurel Halo,2018-08-16 00:25:45,1,31,2018-08-16
31,Laurel Halo,2018-08-30 00:25:45,1,32,2018-08-30
32,Laurel Halo,2018-09-13 00:25:45,1,33,2018-09-13
33,Laurel Halo,2018-09-27 00:25:45,1,34,2018-09-27
34,Laurel Halo,2018-10-11 00:25:45,1,35,2018-10-11
35,Laurel Halo,2018-10-25 00:25:45,1,36,2018-10-25
36,Laurel Halo,2018-11-08 00:25:45,1,37,2018-11-08
37,Laurel Halo,2018-11-22 00:25:45,1,38,2018-11-22
38,Laurel Halo,2018-12-06 00:25:45,1,39,2018-12-06
39,Laurel Halo,2018-12-20 00:25:45,1,40,2018-12-20
