,artist,endTime,sum,week,date
0,George Clinton,2017-04-05 22:17:18,3,1,2017-04-05
1,George Clinton,2017-04-19 22:17:18,3,2,2017-04-19
2,George Clinton,2017-05-03 22:17:18,3,3,2017-05-03
3,George Clinton,2017-05-17 22:17:18,3,4,2017-05-17
4,George Clinton,2017-05-31 22:17:18,3,5,2017-05-31
5,George Clinton,2017-06-14 22:17:18,3,6,2017-06-14
6,George Clinton,2017-06-28 22:17:18,3,7,2017-06-28
7,George Clinton,2017-07-12 22:17:18,3,8,2017-07-12
8,George Clinton,2017-07-26 22:17:18,4,9,2017-07-26
9,George Clinton,2017-08-09 22:17:18,4,10,2017-08-09
10,George Clinton,2017-08-23 22:17:18,4,11,2017-08-23
11,George Clinton,2017-09-06 22:17:18,4,12,2017-09-06
12,George Clinton,2017-09-20 22:17:18,4,13,2017-09-20
13,George Clinton,2017-10-04 22:17:18,4,14,2017-10-04
14,George Clinton,2017-10-18 22:17:18,4,15,2017-10-18
15,George Clinton,2017-11-01 22:17:18,4,16,2017-11-01
16,George Clinton,2017-11-15 22:17:18,4,17,2017-11-15
17,George Clinton,2017-11-29 22:17:18,4,18,2017-11-29
18,George Clinton,2017-12-13 22:17:18,4,19,2017-12-13
19,George Clinton,2017-12-27 22:17:18,4,20,2017-12-27
20,George Clinton,2018-01-10 22:17:18,4,21,2018-01-10
21,George Clinton,2018-01-24 22:17:18,4,22,2018-01-24
22,George Clinton,2018-02-07 22:17:18,4,23,2018-02-07
23,George Clinton,2018-02-21 22:17:18,4,24,2018-02-21
24,George Clinton,2018-03-07 22:17:18,4,25,2018-03-07
25,George Clinton,2018-03-21 22:17:18,4,26,2018-03-21
26,George Clinton,2018-04-04 22:17:18,4,27,2018-04-04
27,George Clinton,2018-04-18 22:17:18,4,28,2018-04-18
28,George Clinton,2018-05-02 22:17:18,4,29,2018-05-02
29,George Clinton,2018-05-16 22:17:18,4,30,2018-05-16
30,George Clinton,2018-05-30 22:17:18,4,31,2018-05-30
31,George Clinton,2018-06-13 22:17:18,4,32,2018-06-13
32,George Clinton,2018-06-27 22:17:18,4,33,2018-06-27
33,George Clinton,2018-07-11 22:17:18,4,34,2018-07-11
34,George Clinton,2018-07-25 22:17:18,4,35,2018-07-25
35,George Clinton,2018-08-08 22:17:18,4,36,2018-08-08
36,George Clinton,2018-08-22 22:17:18,4,37,2018-08-22
37,George Clinton,2018-09-05 22:17:18,4,38,2018-09-05
38,George Clinton,2018-09-19 22:17:18,4,39,2018-09-19
39,George Clinton,2018-10-03 22:17:18,4,40,2018-10-03
40,George Clinton,2018-10-17 22:17:18,4,41,2018-10-17
41,George Clinton,2018-10-31 22:17:18,4,42,2018-10-31
42,George Clinton,2018-11-14 22:17:18,4,43,2018-11-14
43,George Clinton,2018-11-28 22:17:18,4,44,2018-11-28
44,George Clinton,2018-12-12 22:17:18,4,45,2018-12-12
45,George Clinton,2018-12-26 22:17:18,4,46,2018-12-26
46,George Clinton,2019-01-09 22:17:18,4,47,2019-01-09
47,George Clinton,2019-01-23 22:17:18,4,48,2019-01-23
48,George Clinton,2019-02-06 22:17:18,4,49,2019-02-06
49,George Clinton,2019-02-20 22:17:18,4,50,2019-02-20
50,George Clinton,2019-03-06 22:17:18,4,51,2019-03-06
51,George Clinton,2019-03-20 22:17:18,4,52,2019-03-20
52,George Clinton,2019-04-03 22:17:18,4,53,2019-04-03
