,artist,endTime,sum,week,date
0,Beanie Sigel,2016-03-20 18:08:58,1,1,2016-03-20
1,Beanie Sigel,2016-04-03 18:08:58,1,2,2016-04-03
2,Beanie Sigel,2016-04-17 18:08:58,1,3,2016-04-17
3,Beanie Sigel,2016-05-01 18:08:58,1,4,2016-05-01
4,Beanie Sigel,2016-05-15 18:08:58,1,5,2016-05-15
5,Beanie Sigel,2016-05-29 18:08:58,1,6,2016-05-29
6,Beanie Sigel,2016-06-12 18:08:58,1,7,2016-06-12
7,Beanie Sigel,2016-06-26 18:08:58,1,8,2016-06-26
8,Beanie Sigel,2016-07-10 18:08:58,1,9,2016-07-10
9,Beanie Sigel,2016-07-24 18:08:58,1,10,2016-07-24
10,Beanie Sigel,2016-08-07 18:08:58,1,11,2016-08-07
11,Beanie Sigel,2016-08-21 18:08:58,1,12,2016-08-21
12,Beanie Sigel,2016-09-04 18:08:58,1,13,2016-09-04
13,Beanie Sigel,2016-09-18 18:08:58,1,14,2016-09-18
14,Beanie Sigel,2016-10-02 18:08:58,1,15,2016-10-02
15,Beanie Sigel,2016-10-16 18:08:58,1,16,2016-10-16
16,Beanie Sigel,2016-10-30 18:08:58,1,17,2016-10-30
17,Beanie Sigel,2016-11-13 18:08:58,1,18,2016-11-13
18,Beanie Sigel,2016-11-27 18:08:58,1,19,2016-11-27
19,Beanie Sigel,2016-12-11 18:08:58,1,20,2016-12-11
20,Beanie Sigel,2016-12-25 18:08:58,1,21,2016-12-25
21,Beanie Sigel,2017-01-08 18:08:58,1,22,2017-01-08
22,Beanie Sigel,2017-01-22 18:08:58,2,23,2017-01-22
23,Beanie Sigel,2017-02-05 18:08:58,2,24,2017-02-05
24,Beanie Sigel,2017-02-19 18:08:58,2,25,2017-02-19
25,Beanie Sigel,2017-03-05 18:08:58,2,26,2017-03-05
26,Beanie Sigel,2017-03-19 18:08:58,2,27,2017-03-19
27,Beanie Sigel,2017-04-02 18:08:58,2,28,2017-04-02
28,Beanie Sigel,2017-04-16 18:08:58,2,29,2017-04-16
29,Beanie Sigel,2017-04-30 18:08:58,2,30,2017-04-30
30,Beanie Sigel,2017-05-14 18:08:58,2,31,2017-05-14
31,Beanie Sigel,2017-05-28 18:08:58,2,32,2017-05-28
32,Beanie Sigel,2017-06-11 18:08:58,2,33,2017-06-11
33,Beanie Sigel,2017-06-25 18:08:58,2,34,2017-06-25
34,Beanie Sigel,2017-07-09 18:08:58,2,35,2017-07-09
35,Beanie Sigel,2017-07-23 18:08:58,2,36,2017-07-23
36,Beanie Sigel,2017-08-06 18:08:58,2,37,2017-08-06
37,Beanie Sigel,2017-08-20 18:08:58,2,38,2017-08-20
38,Beanie Sigel,2017-09-03 18:08:58,2,39,2017-09-03
39,Beanie Sigel,2017-09-17 18:08:58,2,40,2017-09-17
40,Beanie Sigel,2017-10-01 18:08:58,2,41,2017-10-01
41,Beanie Sigel,2017-10-15 18:08:58,2,42,2017-10-15
42,Beanie Sigel,2017-10-29 18:08:58,2,43,2017-10-29
43,Beanie Sigel,2017-11-12 18:08:58,2,44,2017-11-12
44,Beanie Sigel,2017-11-26 18:08:58,2,45,2017-11-26
45,Beanie Sigel,2017-12-10 18:08:58,2,46,2017-12-10
46,Beanie Sigel,2017-12-24 18:08:58,2,47,2017-12-24
47,Beanie Sigel,2018-01-07 18:08:58,2,48,2018-01-07
48,Beanie Sigel,2018-01-21 18:08:58,2,49,2018-01-21
49,Beanie Sigel,2018-02-04 18:08:58,2,50,2018-02-04
50,Beanie Sigel,2018-02-18 18:08:58,2,51,2018-02-18
51,Beanie Sigel,2018-03-04 18:08:58,2,52,2018-03-04
52,Beanie Sigel,2018-03-18 18:08:58,2,53,2018-03-18
53,Beanie Sigel,2018-04-01 18:08:58,2,54,2018-04-01
54,Beanie Sigel,2018-04-15 18:08:58,2,55,2018-04-15
55,Beanie Sigel,2018-04-29 18:08:58,2,56,2018-04-29
56,Beanie Sigel,2018-05-13 18:08:58,2,57,2018-05-13
57,Beanie Sigel,2018-05-27 18:08:58,2,58,2018-05-27
58,Beanie Sigel,2018-06-10 18:08:58,2,59,2018-06-10
59,Beanie Sigel,2018-06-24 18:08:58,2,60,2018-06-24
60,Beanie Sigel,2018-07-08 18:08:58,2,61,2018-07-08
61,Beanie Sigel,2018-07-22 18:08:58,2,62,2018-07-22
62,Beanie Sigel,2018-08-05 18:08:58,2,63,2018-08-05
63,Beanie Sigel,2018-08-19 18:08:58,2,64,2018-08-19
64,Beanie Sigel,2018-09-02 18:08:58,2,65,2018-09-02
65,Beanie Sigel,2018-09-16 18:08:58,2,66,2018-09-16
66,Beanie Sigel,2018-09-30 18:08:58,2,67,2018-09-30
67,Beanie Sigel,2018-10-14 18:08:58,2,68,2018-10-14
68,Beanie Sigel,2018-10-28 18:08:58,2,69,2018-10-28
69,Beanie Sigel,2018-11-11 18:08:58,2,70,2018-11-11
70,Beanie Sigel,2018-11-25 18:08:58,2,71,2018-11-25
71,Beanie Sigel,2018-12-09 18:08:58,2,72,2018-12-09
72,Beanie Sigel,2018-12-23 18:08:58,2,73,2018-12-23
73,Beanie Sigel,2019-01-06 18:08:58,2,74,2019-01-06
74,Beanie Sigel,2019-01-20 18:08:58,2,75,2019-01-20
75,Beanie Sigel,2019-02-03 18:08:58,2,76,2019-02-03
76,Beanie Sigel,2019-02-17 18:08:58,2,77,2019-02-17
77,Beanie Sigel,2019-03-03 18:08:58,2,78,2019-03-03
78,Beanie Sigel,2019-03-17 18:08:58,2,79,2019-03-17
79,Beanie Sigel,2019-03-31 18:08:58,2,80,2019-03-31
80,Beanie Sigel,2019-04-14 18:08:58,2,81,2019-04-14
81,Beanie Sigel,2019-04-28 18:08:58,2,82,2019-04-28
82,Beanie Sigel,2019-05-12 18:08:58,2,83,2019-05-12
83,Beanie Sigel,2019-05-26 18:08:58,2,84,2019-05-26
84,Beanie Sigel,2019-06-09 18:08:58,2,85,2019-06-09
85,Beanie Sigel,2019-06-23 18:08:58,2,86,2019-06-23
86,Beanie Sigel,2019-07-07 18:08:58,2,87,2019-07-07
87,Beanie Sigel,2019-07-21 18:08:58,2,88,2019-07-21
88,Beanie Sigel,2019-08-04 18:08:58,2,89,2019-08-04
89,Beanie Sigel,2019-08-18 18:08:58,2,90,2019-08-18
90,Beanie Sigel,2019-09-01 18:08:58,2,91,2019-09-01
91,Beanie Sigel,2019-09-15 18:08:58,2,92,2019-09-15
92,Beanie Sigel,2019-09-29 18:08:58,2,93,2019-09-29
93,Beanie Sigel,2019-10-13 18:08:58,2,94,2019-10-13
94,Beanie Sigel,2019-10-27 18:08:58,2,95,2019-10-27
95,Beanie Sigel,2019-11-10 18:08:58,2,96,2019-11-10
96,Beanie Sigel,2019-11-24 18:08:58,2,97,2019-11-24
97,Beanie Sigel,2019-12-08 18:08:58,2,98,2019-12-08
98,Beanie Sigel,2019-12-22 18:08:58,2,99,2019-12-22
99,Beanie Sigel,2020-01-05 18:08:58,2,100,2020-01-05
100,Beanie Sigel,2020-01-19 18:08:58,2,101,2020-01-19
101,Beanie Sigel,2020-02-02 18:08:58,2,102,2020-02-02
102,Beanie Sigel,2020-02-16 18:08:58,2,103,2020-02-16
103,Beanie Sigel,2020-03-01 18:08:58,2,104,2020-03-01
104,Beanie Sigel,2020-03-15 18:08:58,2,105,2020-03-15
105,Beanie Sigel,2020-03-29 18:08:58,2,106,2020-03-29
106,Freeway,2016-03-20 18:08:58,1,1,2016-03-20
107,Freeway,2016-04-03 18:08:58,1,2,2016-04-03
108,Freeway,2016-04-17 18:08:58,1,3,2016-04-17
109,Freeway,2016-05-01 18:08:58,1,4,2016-05-01
110,Freeway,2016-05-15 18:08:58,1,5,2016-05-15
111,Freeway,2016-05-29 18:08:58,1,6,2016-05-29
112,Freeway,2016-06-12 18:08:58,1,7,2016-06-12
113,Freeway,2016-06-26 18:08:58,1,8,2016-06-26
114,Freeway,2016-07-10 18:08:58,1,9,2016-07-10
115,Freeway,2016-07-24 18:08:58,1,10,2016-07-24
116,Freeway,2016-08-07 18:08:58,1,11,2016-08-07
117,Freeway,2016-08-21 18:08:58,1,12,2016-08-21
118,Freeway,2016-09-04 18:08:58,1,13,2016-09-04
119,Freeway,2016-09-18 18:08:58,1,14,2016-09-18
120,Freeway,2016-10-02 18:08:58,1,15,2016-10-02
121,Freeway,2016-10-16 18:08:58,1,16,2016-10-16
122,Freeway,2016-10-30 18:08:58,1,17,2016-10-30
123,Freeway,2016-11-13 18:08:58,1,18,2016-11-13
124,Freeway,2016-11-27 18:08:58,1,19,2016-11-27
125,Freeway,2016-12-11 18:08:58,1,20,2016-12-11
126,Freeway,2016-12-25 18:08:58,1,21,2016-12-25
127,Freeway,2017-01-08 18:08:58,1,22,2017-01-08
128,Freeway,2017-01-22 18:08:58,1,23,2017-01-22
129,Freeway,2017-02-05 18:08:58,1,24,2017-02-05
