,artist,endTime,sum,week,date
0,JAY-Z,2016-01-21 22:18:01,1,1,2016-01-21
1,JAY-Z,2016-02-04 22:18:01,1,2,2016-02-04
2,JAY-Z,2016-02-18 22:18:01,1,3,2016-02-18
3,JAY-Z,2016-03-03 22:18:01,1,4,2016-03-03
4,JAY-Z,2016-03-17 22:18:01,1,5,2016-03-17
5,JAY-Z,2016-03-31 22:18:01,1,6,2016-03-31
6,JAY-Z,2016-04-14 22:18:01,1,7,2016-04-14
7,JAY-Z,2016-04-28 22:18:01,1,8,2016-04-28
8,JAY-Z,2016-05-12 22:18:01,1,9,2016-05-12
9,JAY-Z,2016-05-26 22:18:01,1,10,2016-05-26
10,JAY-Z,2016-06-09 22:18:01,1,11,2016-06-09
11,JAY-Z,2016-06-23 22:18:01,1,12,2016-06-23
12,JAY-Z,2016-07-07 22:18:01,1,13,2016-07-07
13,JAY-Z,2016-07-21 22:18:01,1,14,2016-07-21
14,JAY-Z,2016-08-04 22:18:01,1,15,2016-08-04
15,JAY-Z,2016-08-18 22:18:01,1,16,2016-08-18
16,JAY-Z,2016-09-01 22:18:01,1,17,2016-09-01
17,JAY-Z,2016-09-15 22:18:01,1,18,2016-09-15
18,JAY-Z,2016-09-29 22:18:01,1,19,2016-09-29
19,JAY-Z,2016-10-13 22:18:01,1,20,2016-10-13
20,JAY-Z,2016-10-27 22:18:01,1,21,2016-10-27
21,JAY-Z,2016-11-10 22:18:01,1,22,2016-11-10
22,JAY-Z,2016-11-24 22:18:01,1,23,2016-11-24
23,JAY-Z,2016-12-08 22:18:01,1,24,2016-12-08
24,JAY-Z,2016-12-22 22:18:01,1,25,2016-12-22
25,JAY-Z,2017-01-05 22:18:01,1,26,2017-01-05
26,JAY-Z,2017-01-19 22:18:01,1,27,2017-01-19
27,JAY-Z,2017-02-02 22:18:01,1,28,2017-02-02
28,JAY-Z,2017-02-16 22:18:01,1,29,2017-02-16
29,JAY-Z,2017-03-02 22:18:01,1,30,2017-03-02
30,JAY-Z,2017-03-16 22:18:01,1,31,2017-03-16
31,JAY-Z,2017-03-30 22:18:01,1,32,2017-03-30
32,JAY-Z,2017-04-13 22:18:01,1,33,2017-04-13
33,JAY-Z,2017-04-27 22:18:01,1,34,2017-04-27
34,JAY-Z,2017-05-11 22:18:01,1,35,2017-05-11
35,JAY-Z,2017-05-25 22:18:01,1,36,2017-05-25
36,JAY-Z,2017-06-08 22:18:01,1,37,2017-06-08
37,JAY-Z,2017-06-22 22:18:01,1,38,2017-06-22
38,JAY-Z,2017-07-06 22:18:01,1,39,2017-07-06
39,JAY-Z,2017-07-20 22:18:01,1,40,2017-07-20
40,JAY-Z,2017-08-03 22:18:01,1,41,2017-08-03
41,JAY-Z,2017-08-17 22:18:01,1,42,2017-08-17
42,JAY-Z,2017-08-31 22:18:01,1,43,2017-08-31
43,JAY-Z,2017-09-14 22:18:01,1,44,2017-09-14
44,JAY-Z,2017-09-28 22:18:01,1,45,2017-09-28
45,JAY-Z,2017-10-12 22:18:01,1,46,2017-10-12
46,JAY-Z,2017-10-26 22:18:01,1,47,2017-10-26
47,JAY-Z,2017-11-09 22:18:01,1,48,2017-11-09
48,JAY-Z,2017-11-23 22:18:01,1,49,2017-11-23
49,JAY-Z,2017-12-07 22:18:01,1,50,2017-12-07
50,JAY-Z,2017-12-21 22:18:01,1,51,2017-12-21
51,JAY-Z,2018-01-04 22:18:01,1,52,2018-01-04
52,JAY-Z,2018-01-18 22:18:01,1,53,2018-01-18
53,JAY-Z,2018-02-01 22:18:01,1,54,2018-02-01
54,JAY-Z,2018-02-15 22:18:01,1,55,2018-02-15
55,JAY-Z,2018-03-01 22:18:01,1,56,2018-03-01
56,JAY-Z,2018-03-15 22:18:01,1,57,2018-03-15
57,JAY-Z,2018-03-29 22:18:01,1,58,2018-03-29
58,JAY-Z,2018-04-12 22:18:01,1,59,2018-04-12
59,JAY-Z,2018-04-26 22:18:01,1,60,2018-04-26
60,JAY-Z,2018-05-10 22:18:01,1,61,2018-05-10
61,JAY-Z,2018-05-24 22:18:01,1,62,2018-05-24
62,JAY-Z,2018-06-07 22:18:01,1,63,2018-06-07
63,JAY-Z,2018-06-21 22:18:01,1,64,2018-06-21
64,JAY-Z,2018-07-05 22:18:01,1,65,2018-07-05
65,JAY-Z,2018-07-19 22:18:01,1,66,2018-07-19
66,JAY-Z,2018-08-02 22:18:01,1,67,2018-08-02
67,JAY-Z,2018-08-16 22:18:01,1,68,2018-08-16
68,JAY-Z,2018-08-30 22:18:01,1,69,2018-08-30
69,JAY-Z,2018-09-13 22:18:01,1,70,2018-09-13
70,JAY-Z,2018-09-27 22:18:01,1,71,2018-09-27
71,JAY-Z,2018-10-11 22:18:01,1,72,2018-10-11
72,JAY-Z,2018-10-25 22:18:01,1,73,2018-10-25
73,JAY-Z,2018-11-08 22:18:01,1,74,2018-11-08
74,JAY-Z,2018-11-22 22:18:01,1,75,2018-11-22
