,artist,endTime,sum,week,date
0,Katy Perry,2016-05-21 05:57:25,2,1,2016-05-21
1,Katy Perry,2016-06-04 05:57:25,2,2,2016-06-04
2,Katy Perry,2016-06-18 05:57:25,2,3,2016-06-18
3,Katy Perry,2016-07-02 05:57:25,2,4,2016-07-02
4,Katy Perry,2016-07-16 05:57:25,2,5,2016-07-16
5,Katy Perry,2016-07-30 05:57:25,2,6,2016-07-30
6,Katy Perry,2016-08-13 05:57:25,2,7,2016-08-13
7,Katy Perry,2016-08-27 05:57:25,2,8,2016-08-27
8,Katy Perry,2016-09-10 05:57:25,2,9,2016-09-10
9,Katy Perry,2016-09-24 05:57:25,2,10,2016-09-24
10,Katy Perry,2016-10-08 05:57:25,2,11,2016-10-08
11,Katy Perry,2016-10-22 05:57:25,2,12,2016-10-22
12,Katy Perry,2016-11-05 05:57:25,2,13,2016-11-05
13,Katy Perry,2016-11-19 05:57:25,2,14,2016-11-19
14,Katy Perry,2016-12-03 05:57:25,2,15,2016-12-03
15,Katy Perry,2016-12-17 05:57:25,2,16,2016-12-17
16,Katy Perry,2016-12-31 05:57:25,2,17,2016-12-31
17,Katy Perry,2017-01-14 05:57:25,2,18,2017-01-14
18,Katy Perry,2017-01-28 05:57:25,2,19,2017-01-28
19,Katy Perry,2017-02-11 05:57:25,2,20,2017-02-11
20,Katy Perry,2017-02-25 05:57:25,2,21,2017-02-25
21,Katy Perry,2017-03-11 05:57:25,2,22,2017-03-11
22,Katy Perry,2017-03-25 05:57:25,2,23,2017-03-25
23,Katy Perry,2017-04-08 05:57:25,2,24,2017-04-08
24,Katy Perry,2017-04-22 05:57:25,2,25,2017-04-22
25,Katy Perry,2017-05-06 05:57:25,2,26,2017-05-06
26,Katy Perry,2017-05-20 05:57:25,2,27,2017-05-20
27,Katy Perry,2017-06-03 05:57:25,2,28,2017-06-03
28,Katy Perry,2017-06-17 05:57:25,2,29,2017-06-17
29,Katy Perry,2017-07-01 05:57:25,2,30,2017-07-01
30,Katy Perry,2017-07-15 05:57:25,2,31,2017-07-15
31,Katy Perry,2017-07-29 05:57:25,2,32,2017-07-29
32,Katy Perry,2017-08-12 05:57:25,2,33,2017-08-12
33,Katy Perry,2017-08-26 05:57:25,2,34,2017-08-26
34,Katy Perry,2017-09-09 05:57:25,2,35,2017-09-09
35,Katy Perry,2017-09-23 05:57:25,2,36,2017-09-23
36,Katy Perry,2017-10-07 05:57:25,2,37,2017-10-07
37,Katy Perry,2017-10-21 05:57:25,2,38,2017-10-21
38,Katy Perry,2017-11-04 05:57:25,2,39,2017-11-04
39,Katy Perry,2017-11-18 05:57:25,2,40,2017-11-18
40,Katy Perry,2017-12-02 05:57:25,2,41,2017-12-02
41,Katy Perry,2017-12-16 05:57:25,2,42,2017-12-16
42,Katy Perry,2017-12-30 05:57:25,2,43,2017-12-30
43,Katy Perry,2018-01-13 05:57:25,2,44,2018-01-13
44,Katy Perry,2018-01-27 05:57:25,2,45,2018-01-27
45,Katy Perry,2018-02-10 05:57:25,2,46,2018-02-10
46,Katy Perry,2018-02-24 05:57:25,2,47,2018-02-24
47,Katy Perry,2018-03-10 05:57:25,2,48,2018-03-10
48,Katy Perry,2018-03-24 05:57:25,2,49,2018-03-24
49,Katy Perry,2018-04-07 05:57:25,2,50,2018-04-07
50,Katy Perry,2018-04-21 05:57:25,2,51,2018-04-21
51,Katy Perry,2018-05-05 05:57:25,2,52,2018-05-05
52,Katy Perry,2018-05-19 05:57:25,2,53,2018-05-19
53,Katy Perry,2018-06-02 05:57:25,2,54,2018-06-02
54,Katy Perry,2018-06-16 05:57:25,2,55,2018-06-16
55,Katy Perry,2018-06-30 05:57:25,2,56,2018-06-30
56,Katy Perry,2018-07-14 05:57:25,2,57,2018-07-14
57,Katy Perry,2018-07-28 05:57:25,2,58,2018-07-28
58,Katy Perry,2018-08-11 05:57:25,2,59,2018-08-11
59,Katy Perry,2018-08-25 05:57:25,2,60,2018-08-25
60,Katy Perry,2018-09-08 05:57:25,2,61,2018-09-08
61,Katy Perry,2018-09-22 05:57:25,2,62,2018-09-22
62,Katy Perry,2018-10-06 05:57:25,2,63,2018-10-06
63,Katy Perry,2018-10-20 05:57:25,2,64,2018-10-20
64,Katy Perry,2018-11-03 05:57:25,2,65,2018-11-03
65,Katy Perry,2018-11-17 05:57:25,2,66,2018-11-17
66,Katy Perry,2018-12-01 05:57:25,2,67,2018-12-01
67,Katy Perry,2018-12-15 05:57:25,2,68,2018-12-15
68,Katy Perry,2018-12-29 05:57:25,2,69,2018-12-29
69,Katy Perry,2019-01-12 05:57:25,2,70,2019-01-12
70,Katy Perry,2019-01-26 05:57:25,2,71,2019-01-26
71,Katy Perry,2019-02-09 05:57:25,2,72,2019-02-09
72,Katy Perry,2019-02-23 05:57:25,2,73,2019-02-23
73,Katy Perry,2019-03-09 05:57:25,2,74,2019-03-09
74,Katy Perry,2019-03-23 05:57:25,2,75,2019-03-23
75,Katy Perry,2019-04-06 05:57:25,2,76,2019-04-06
76,Katy Perry,2019-04-20 05:57:25,2,77,2019-04-20
77,Katy Perry,2019-05-04 05:57:25,2,78,2019-05-04
78,Katy Perry,2019-05-18 05:57:25,2,79,2019-05-18
79,Katy Perry,2019-06-01 05:57:25,2,80,2019-06-01
80,Katy Perry,2019-06-15 05:57:25,2,81,2019-06-15
81,Katy Perry,2019-06-29 05:57:25,2,82,2019-06-29
82,Katy Perry,2019-07-13 05:57:25,2,83,2019-07-13
83,Katy Perry,2019-07-27 05:57:25,2,84,2019-07-27
84,Katy Perry,2019-08-10 05:57:25,2,85,2019-08-10
85,Katy Perry,2019-08-24 05:57:25,2,86,2019-08-24
86,Katy Perry,2019-09-07 05:57:25,2,87,2019-09-07
87,Katy Perry,2019-09-21 05:57:25,2,88,2019-09-21
88,Katy Perry,2019-10-05 05:57:25,2,89,2019-10-05
89,Katy Perry,2019-10-19 05:57:25,2,90,2019-10-19
90,Katy Perry,2019-11-02 05:57:25,2,91,2019-11-02
91,Katy Perry,2019-11-16 05:57:25,2,92,2019-11-16
92,Katy Perry,2019-11-30 05:57:25,2,93,2019-11-30
93,Katy Perry,2019-12-14 05:57:25,2,94,2019-12-14
94,Katy Perry,2019-12-28 05:57:25,2,95,2019-12-28
95,Katy Perry,2020-01-11 05:57:25,2,96,2020-01-11
96,Katy Perry,2020-01-25 05:57:25,2,97,2020-01-25
97,Katy Perry,2020-02-08 05:57:25,2,98,2020-02-08
98,Katy Perry,2020-02-22 05:57:25,2,99,2020-02-22
99,Katy Perry,2020-03-07 05:57:25,2,100,2020-03-07
100,Katy Perry,2020-03-21 05:57:25,2,101,2020-03-21
101,Katy Perry,2020-04-04 05:57:25,2,102,2020-04-04
102,Katy Perry,2020-04-18 05:57:25,2,103,2020-04-18
103,Miley Cyrus,2016-05-21 05:57:25,0,1,2016-05-21
104,Miley Cyrus,2016-06-04 05:57:25,0,2,2016-06-04
105,Miley Cyrus,2016-06-18 05:57:25,0,3,2016-06-18
106,Miley Cyrus,2016-07-02 05:57:25,0,4,2016-07-02
107,Miley Cyrus,2016-07-16 05:57:25,0,5,2016-07-16
108,Miley Cyrus,2016-07-30 05:57:25,0,6,2016-07-30
109,Miley Cyrus,2016-08-13 05:57:25,0,7,2016-08-13
110,Miley Cyrus,2016-08-27 05:57:25,2,8,2016-08-27
111,Miley Cyrus,2016-09-10 05:57:25,2,9,2016-09-10
112,Miley Cyrus,2016-09-24 05:57:25,2,10,2016-09-24
113,Miley Cyrus,2016-10-08 05:57:25,2,11,2016-10-08
114,Miley Cyrus,2016-10-22 05:57:25,2,12,2016-10-22
115,Miley Cyrus,2016-11-05 05:57:25,2,13,2016-11-05
116,Miley Cyrus,2016-11-19 05:57:25,2,14,2016-11-19
117,Miley Cyrus,2016-12-03 05:57:25,2,15,2016-12-03
118,Miley Cyrus,2016-12-17 05:57:25,2,16,2016-12-17
119,Miley Cyrus,2016-12-31 05:57:25,2,17,2016-12-31
120,Miley Cyrus,2017-01-14 05:57:25,2,18,2017-01-14
121,Miley Cyrus,2017-01-28 05:57:25,2,19,2017-01-28
122,Miley Cyrus,2017-02-11 05:57:25,2,20,2017-02-11
123,Miley Cyrus,2017-02-25 05:57:25,2,21,2017-02-25
124,Miley Cyrus,2017-03-11 05:57:25,2,22,2017-03-11
125,Miley Cyrus,2017-03-25 05:57:25,2,23,2017-03-25
126,Miley Cyrus,2017-04-08 05:57:25,2,24,2017-04-08
127,Miley Cyrus,2017-04-22 05:57:25,2,25,2017-04-22
128,Miley Cyrus,2017-05-06 05:57:25,2,26,2017-05-06
