,artist,endTime,sum,week,date
0,Mott The Hoople,2016-11-30 22:29:44,1,1,2016-11-30
1,Mott The Hoople,2016-12-14 22:29:44,1,2,2016-12-14
2,Mott The Hoople,2016-12-28 22:29:44,1,3,2016-12-28
3,Mott The Hoople,2017-01-11 22:29:44,1,4,2017-01-11
4,Mott The Hoople,2017-01-25 22:29:44,1,5,2017-01-25
5,Mott The Hoople,2017-02-08 22:29:44,1,6,2017-02-08
6,Mott The Hoople,2017-02-22 22:29:44,1,7,2017-02-22
7,Mott The Hoople,2017-03-08 22:29:44,1,8,2017-03-08
8,Mott The Hoople,2017-03-22 22:29:44,1,9,2017-03-22
9,Mott The Hoople,2017-04-05 22:29:44,1,10,2017-04-05
10,Mott The Hoople,2017-04-19 22:29:44,1,11,2017-04-19
11,Mott The Hoople,2017-05-03 22:29:44,1,12,2017-05-03
12,Mott The Hoople,2017-05-17 22:29:44,1,13,2017-05-17
13,Mott The Hoople,2017-05-31 22:29:44,1,14,2017-05-31
14,Mott The Hoople,2017-06-14 22:29:44,1,15,2017-06-14
15,Mott The Hoople,2017-06-28 22:29:44,1,16,2017-06-28
16,Mott The Hoople,2017-07-12 22:29:44,1,17,2017-07-12
17,Mott The Hoople,2017-07-26 22:29:44,1,18,2017-07-26
18,Mott The Hoople,2017-08-09 22:29:44,1,19,2017-08-09
19,Mott The Hoople,2017-08-23 22:29:44,1,20,2017-08-23
20,Mott The Hoople,2017-09-06 22:29:44,1,21,2017-09-06
21,Mott The Hoople,2017-09-20 22:29:44,1,22,2017-09-20
22,Mott The Hoople,2017-10-04 22:29:44,1,23,2017-10-04
23,Mott The Hoople,2017-10-18 22:29:44,1,24,2017-10-18
24,Mott The Hoople,2017-11-01 22:29:44,1,25,2017-11-01
25,Mott The Hoople,2017-11-15 22:29:44,1,26,2017-11-15
26,Mott The Hoople,2017-11-29 22:29:44,1,27,2017-11-29
27,Mott The Hoople,2017-12-13 22:29:44,1,28,2017-12-13
28,Mott The Hoople,2017-12-27 22:29:44,1,29,2017-12-27
29,Mott The Hoople,2018-01-10 22:29:44,1,30,2018-01-10
30,Mott The Hoople,2018-01-24 22:29:44,1,31,2018-01-24
31,Mott The Hoople,2018-02-07 22:29:44,1,32,2018-02-07
32,Mott The Hoople,2018-02-21 22:29:44,1,33,2018-02-21
33,Mott The Hoople,2018-03-07 22:29:44,1,34,2018-03-07
34,Mott The Hoople,2018-03-21 22:29:44,1,35,2018-03-21
35,Mott The Hoople,2018-04-04 22:29:44,1,36,2018-04-04
36,Mott The Hoople,2018-04-18 22:29:44,1,37,2018-04-18
37,Mott The Hoople,2018-05-02 22:29:44,1,38,2018-05-02
38,Mott The Hoople,2018-05-16 22:29:44,1,39,2018-05-16
