,artist,endTime,sum,week,date
0,Tim Buckley,2017-10-16 17:28:35,1,1,2017-10-16
1,Tim Buckley,2017-10-30 17:28:35,1,2,2017-10-30
2,Tim Buckley,2017-11-13 17:28:35,1,3,2017-11-13
3,Tim Buckley,2017-11-27 17:28:35,1,4,2017-11-27
4,Tim Buckley,2017-12-11 17:28:35,1,5,2017-12-11
5,Tim Buckley,2017-12-25 17:28:35,1,6,2017-12-25
6,Tim Buckley,2018-01-08 17:28:35,1,7,2018-01-08
7,Tim Buckley,2018-01-22 17:28:35,1,8,2018-01-22
8,Tim Buckley,2018-02-05 17:28:35,1,9,2018-02-05
9,Tim Buckley,2018-02-19 17:28:35,1,10,2018-02-19
10,Tim Buckley,2018-03-05 17:28:35,1,11,2018-03-05
11,Tim Buckley,2018-03-19 17:28:35,1,12,2018-03-19
12,Tim Buckley,2018-04-02 17:28:35,1,13,2018-04-02
13,Tim Buckley,2018-04-16 17:28:35,1,14,2018-04-16
14,Tim Buckley,2018-04-30 17:28:35,1,15,2018-04-30
15,Tim Buckley,2018-05-14 17:28:35,1,16,2018-05-14
16,Tim Buckley,2018-05-28 17:28:35,1,17,2018-05-28
17,Tim Buckley,2018-06-11 17:28:35,1,18,2018-06-11
18,Tim Buckley,2018-06-25 17:28:35,1,19,2018-06-25
19,Tim Buckley,2018-07-09 17:28:35,1,20,2018-07-09
20,Tim Buckley,2018-07-23 17:28:35,1,21,2018-07-23
21,Tim Buckley,2018-08-06 17:28:35,1,22,2018-08-06
22,Tim Buckley,2018-08-20 17:28:35,1,23,2018-08-20
23,Tim Buckley,2018-09-03 17:28:35,1,24,2018-09-03
24,Tim Buckley,2018-09-17 17:28:35,1,25,2018-09-17
25,Tim Buckley,2018-10-01 17:28:35,1,26,2018-10-01
26,Tim Buckley,2018-10-15 17:28:35,1,27,2018-10-15
27,Tim Buckley,2018-10-29 17:28:35,1,28,2018-10-29
28,Tim Buckley,2018-11-12 17:28:35,1,29,2018-11-12
29,Tim Buckley,2018-11-26 17:28:35,1,30,2018-11-26
30,Tim Buckley,2018-12-10 17:28:35,1,31,2018-12-10
31,Tim Buckley,2018-12-24 17:28:35,1,32,2018-12-24
32,Tim Buckley,2019-01-07 17:28:35,1,33,2019-01-07
33,Tim Buckley,2019-01-21 17:28:35,1,34,2019-01-21
34,Tim Buckley,2019-02-04 17:28:35,1,35,2019-02-04
35,Tim Buckley,2019-02-18 17:28:35,1,36,2019-02-18
36,Tim Buckley,2019-03-04 17:28:35,1,37,2019-03-04
37,Tim Buckley,2019-03-18 17:28:35,1,38,2019-03-18
38,Tim Buckley,2019-04-01 17:28:35,1,39,2019-04-01
39,Tim Buckley,2019-04-15 17:28:35,1,40,2019-04-15
40,Tim Buckley,2019-04-29 17:28:35,1,41,2019-04-29
41,Tim Buckley,2019-05-13 17:28:35,1,42,2019-05-13
42,Tim Buckley,2019-05-27 17:28:35,1,43,2019-05-27
43,Tim Buckley,2019-06-10 17:28:35,1,44,2019-06-10
44,Tim Buckley,2019-06-24 17:28:35,1,45,2019-06-24
45,Tim Buckley,2019-07-08 17:28:35,1,46,2019-07-08
46,Tim Buckley,2019-07-22 17:28:35,1,47,2019-07-22
47,Tim Buckley,2019-08-05 17:28:35,1,48,2019-08-05
48,Tim Buckley,2019-08-19 17:28:35,1,49,2019-08-19
49,Tim Buckley,2019-09-02 17:28:35,1,50,2019-09-02
50,Tim Buckley,2019-09-16 17:28:35,1,51,2019-09-16
51,Tim Buckley,2019-09-30 17:28:35,1,52,2019-09-30
52,Tim Buckley,2019-10-14 17:28:35,1,53,2019-10-14
53,Tim Buckley,2019-10-28 17:28:35,1,54,2019-10-28
54,Tim Buckley,2019-11-11 17:28:35,1,55,2019-11-11
55,Tim Buckley,2019-11-25 17:28:35,1,56,2019-11-25
56,Tim Buckley,2019-12-09 17:28:35,1,57,2019-12-09
57,Tim Buckley,2019-12-23 17:28:35,1,58,2019-12-23
58,Tim Buckley,2020-01-06 17:28:35,1,59,2020-01-06
59,Tim Buckley,2020-01-20 17:28:35,1,60,2020-01-20
60,Tim Buckley,2020-02-03 17:28:35,1,61,2020-02-03
61,Donovan,2017-10-16 17:28:35,0,1,2017-10-16
62,Donovan,2017-10-30 17:28:35,0,2,2017-10-30
63,Donovan,2017-11-13 17:28:35,0,3,2017-11-13
