,artist,endTime,sum,week,date
0,Steely Dan,2016-06-11 15:41:00,2,1,2016-06-11
1,Steely Dan,2016-06-25 15:41:00,2,2,2016-06-25
2,Steely Dan,2016-07-09 15:41:00,3,3,2016-07-09
3,Steely Dan,2016-07-23 15:41:00,3,4,2016-07-23
4,Steely Dan,2016-08-06 15:41:00,3,5,2016-08-06
5,Steely Dan,2016-08-20 15:41:00,3,6,2016-08-20
6,Steely Dan,2016-09-03 15:41:00,3,7,2016-09-03
7,Steely Dan,2016-09-17 15:41:00,3,8,2016-09-17
8,Steely Dan,2016-10-01 15:41:00,3,9,2016-10-01
9,Steely Dan,2016-10-15 15:41:00,3,10,2016-10-15
10,Steely Dan,2016-10-29 15:41:00,3,11,2016-10-29
11,Steely Dan,2016-11-12 15:41:00,3,12,2016-11-12
12,Steely Dan,2016-11-26 15:41:00,3,13,2016-11-26
13,Steely Dan,2016-12-10 15:41:00,3,14,2016-12-10
14,Steely Dan,2016-12-24 15:41:00,3,15,2016-12-24
15,Steely Dan,2017-01-07 15:41:00,3,16,2017-01-07
16,Steely Dan,2017-01-21 15:41:00,3,17,2017-01-21
17,Steely Dan,2017-02-04 15:41:00,3,18,2017-02-04
18,Steely Dan,2017-02-18 15:41:00,3,19,2017-02-18
19,Steely Dan,2017-03-04 15:41:00,3,20,2017-03-04
20,Steely Dan,2017-03-18 15:41:00,3,21,2017-03-18
21,Steely Dan,2017-04-01 15:41:00,3,22,2017-04-01
22,Steely Dan,2017-04-15 15:41:00,3,23,2017-04-15
23,Steely Dan,2017-04-29 15:41:00,3,24,2017-04-29
24,Steely Dan,2017-05-13 15:41:00,3,25,2017-05-13
25,Steely Dan,2017-05-27 15:41:00,3,26,2017-05-27
26,Steely Dan,2017-06-10 15:41:00,3,27,2017-06-10
27,Steely Dan,2017-06-24 15:41:00,3,28,2017-06-24
28,Steely Dan,2017-07-08 15:41:00,3,29,2017-07-08
29,Steely Dan,2017-07-22 15:41:00,3,30,2017-07-22
30,Steely Dan,2017-08-05 15:41:00,3,31,2017-08-05
31,Steely Dan,2017-08-19 15:41:00,3,32,2017-08-19
32,Steely Dan,2017-09-02 15:41:00,3,33,2017-09-02
33,Steely Dan,2017-09-16 15:41:00,3,34,2017-09-16
34,Steely Dan,2017-09-30 15:41:00,3,35,2017-09-30
35,Steely Dan,2017-10-14 15:41:00,3,36,2017-10-14
36,Steely Dan,2017-10-28 15:41:00,3,37,2017-10-28
37,Steely Dan,2017-11-11 15:41:00,3,38,2017-11-11
38,Steely Dan,2017-11-25 15:41:00,3,39,2017-11-25
39,Steely Dan,2017-12-09 15:41:00,3,40,2017-12-09
40,Steely Dan,2017-12-23 15:41:00,3,41,2017-12-23
41,Steely Dan,2018-01-06 15:41:00,3,42,2018-01-06
42,Steely Dan,2018-01-20 15:41:00,3,43,2018-01-20
43,Steely Dan,2018-02-03 15:41:00,4,44,2018-02-03
44,Steely Dan,2018-02-17 15:41:00,4,45,2018-02-17
45,Steely Dan,2018-03-03 15:41:00,4,46,2018-03-03
46,Steely Dan,2018-03-17 15:41:00,4,47,2018-03-17
47,Steely Dan,2018-03-31 15:41:00,15,48,2018-03-31
48,Steely Dan,2018-04-14 15:41:00,15,49,2018-04-14
49,Steely Dan,2018-04-28 15:41:00,15,50,2018-04-28
50,Steely Dan,2018-05-12 15:41:00,15,51,2018-05-12
51,Steely Dan,2018-05-26 15:41:00,15,52,2018-05-26
52,Steely Dan,2018-06-09 15:41:00,15,53,2018-06-09
53,Steely Dan,2018-06-23 15:41:00,15,54,2018-06-23
54,Steely Dan,2018-07-07 15:41:00,16,55,2018-07-07
55,Steely Dan,2018-07-21 15:41:00,16,56,2018-07-21
56,Steely Dan,2018-08-04 15:41:00,16,57,2018-08-04
57,Steely Dan,2018-08-18 15:41:00,16,58,2018-08-18
58,Steely Dan,2018-09-01 15:41:00,16,59,2018-09-01
59,Steely Dan,2018-09-15 15:41:00,16,60,2018-09-15
60,Steely Dan,2018-09-29 15:41:00,16,61,2018-09-29
61,Steely Dan,2018-10-13 15:41:00,16,62,2018-10-13
62,Steely Dan,2018-10-27 15:41:00,16,63,2018-10-27
63,Steely Dan,2018-11-10 15:41:00,16,64,2018-11-10
64,Steely Dan,2018-11-24 15:41:00,16,65,2018-11-24
65,Steely Dan,2018-12-08 15:41:00,16,66,2018-12-08
66,Steely Dan,2018-12-22 15:41:00,17,67,2018-12-22
67,Steely Dan,2019-01-05 15:41:00,17,68,2019-01-05
68,Steely Dan,2019-01-19 15:41:00,17,69,2019-01-19
69,Steely Dan,2019-02-02 15:41:00,17,70,2019-02-02
70,Steely Dan,2019-02-16 15:41:00,17,71,2019-02-16
71,Steely Dan,2019-03-02 15:41:00,17,72,2019-03-02
72,Steely Dan,2019-03-16 15:41:00,29,73,2019-03-16
73,Steely Dan,2019-03-30 15:41:00,29,74,2019-03-30
74,Steely Dan,2019-04-13 15:41:00,29,75,2019-04-13
75,Steely Dan,2019-04-27 15:41:00,29,76,2019-04-27
76,Steely Dan,2019-05-11 15:41:00,29,77,2019-05-11
77,Steely Dan,2019-05-25 15:41:00,29,78,2019-05-25
78,Steely Dan,2019-06-08 15:41:00,29,79,2019-06-08
79,Steely Dan,2019-06-22 15:41:00,29,80,2019-06-22
80,Steely Dan,2019-07-06 15:41:00,29,81,2019-07-06
81,Steely Dan,2019-07-20 15:41:00,30,82,2019-07-20
82,Steely Dan,2019-08-03 15:41:00,30,83,2019-08-03
83,Steely Dan,2019-08-17 15:41:00,30,84,2019-08-17
84,Steely Dan,2019-08-31 15:41:00,30,85,2019-08-31
85,Steely Dan,2019-09-14 15:41:00,30,86,2019-09-14
86,Steely Dan,2019-09-28 15:41:00,30,87,2019-09-28
87,Steely Dan,2019-10-12 15:41:00,30,88,2019-10-12
88,Steely Dan,2019-10-26 15:41:00,30,89,2019-10-26
89,Steely Dan,2019-11-09 15:41:00,30,90,2019-11-09
90,Steely Dan,2019-11-23 15:41:00,30,91,2019-11-23
91,Steely Dan,2019-12-07 15:41:00,30,92,2019-12-07
92,Steely Dan,2019-12-21 15:41:00,30,93,2019-12-21
93,Steely Dan,2020-01-04 15:41:00,30,94,2020-01-04
94,Steely Dan,2020-01-18 15:41:00,30,95,2020-01-18
95,Steely Dan,2020-02-01 15:41:00,30,96,2020-02-01
96,Steely Dan,2020-02-15 15:41:00,30,97,2020-02-15
97,Steely Dan,2020-02-29 15:41:00,30,98,2020-02-29
98,Steely Dan,2020-03-14 15:41:00,31,99,2020-03-14
99,Steely Dan,2020-03-28 15:41:00,31,100,2020-03-28
100,The Kinks,2016-06-11 15:41:00,1,1,2016-06-11
101,The Kinks,2016-06-25 15:41:00,1,2,2016-06-25
102,The Kinks,2016-07-09 15:41:00,1,3,2016-07-09
103,The Kinks,2016-07-23 15:41:00,1,4,2016-07-23
104,The Kinks,2016-08-06 15:41:00,1,5,2016-08-06
105,The Kinks,2016-08-20 15:41:00,1,6,2016-08-20
106,The Kinks,2016-09-03 15:41:00,1,7,2016-09-03
107,The Kinks,2016-09-17 15:41:00,1,8,2016-09-17
108,The Kinks,2016-10-01 15:41:00,1,9,2016-10-01
109,The Kinks,2016-10-15 15:41:00,1,10,2016-10-15
110,The Kinks,2016-10-29 15:41:00,1,11,2016-10-29
111,The Kinks,2016-11-12 15:41:00,1,12,2016-11-12
112,The Kinks,2016-11-26 15:41:00,2,13,2016-11-26
113,The Kinks,2016-12-10 15:41:00,2,14,2016-12-10
114,The Kinks,2016-12-24 15:41:00,2,15,2016-12-24
115,The Kinks,2017-01-07 15:41:00,2,16,2017-01-07
116,The Kinks,2017-01-21 15:41:00,2,17,2017-01-21
117,The Kinks,2017-02-04 15:41:00,2,18,2017-02-04
118,The Kinks,2017-02-18 15:41:00,2,19,2017-02-18
119,The Kinks,2017-03-04 15:41:00,2,20,2017-03-04
120,The Kinks,2017-03-18 15:41:00,2,21,2017-03-18
121,The Kinks,2017-04-01 15:41:00,2,22,2017-04-01
122,The Kinks,2017-04-15 15:41:00,2,23,2017-04-15
123,The Kinks,2017-04-29 15:41:00,2,24,2017-04-29
124,The Kinks,2017-05-13 15:41:00,2,25,2017-05-13
125,The Kinks,2017-05-27 15:41:00,3,26,2017-05-27
126,The Kinks,2017-06-10 15:41:00,3,27,2017-06-10
127,The Kinks,2017-06-24 15:41:00,3,28,2017-06-24
128,The Kinks,2017-07-08 15:41:00,3,29,2017-07-08
129,The Kinks,2017-07-22 15:41:00,3,30,2017-07-22
130,The Kinks,2017-08-05 15:41:00,3,31,2017-08-05
131,The Kinks,2017-08-19 15:41:00,3,32,2017-08-19
132,The Kinks,2017-09-02 15:41:00,3,33,2017-09-02
133,The Kinks,2017-09-16 15:41:00,3,34,2017-09-16
134,The Kinks,2017-09-30 15:41:00,3,35,2017-09-30
135,The Kinks,2017-10-14 15:41:00,3,36,2017-10-14
136,The Kinks,2017-10-28 15:41:00,3,37,2017-10-28
137,The Kinks,2017-11-11 15:41:00,3,38,2017-11-11
138,The Kinks,2017-11-25 15:41:00,3,39,2017-11-25
139,The Kinks,2017-12-09 15:41:00,3,40,2017-12-09
140,The Kinks,2017-12-23 15:41:00,3,41,2017-12-23
141,The Kinks,2018-01-06 15:41:00,3,42,2018-01-06
142,The Kinks,2018-01-20 15:41:00,3,43,2018-01-20
143,The Kinks,2018-02-03 15:41:00,5,44,2018-02-03
144,The Kinks,2018-02-17 15:41:00,5,45,2018-02-17
145,The Kinks,2018-03-03 15:41:00,5,46,2018-03-03
146,The Kinks,2018-03-17 15:41:00,5,47,2018-03-17
147,The Kinks,2018-03-31 15:41:00,5,48,2018-03-31
148,The Kinks,2018-04-14 15:41:00,5,49,2018-04-14
149,The Kinks,2018-04-28 15:41:00,5,50,2018-04-28
150,The Kinks,2018-05-12 15:41:00,5,51,2018-05-12
151,The Kinks,2018-05-26 15:41:00,5,52,2018-05-26
152,The Kinks,2018-06-09 15:41:00,5,53,2018-06-09
153,The Kinks,2018-06-23 15:41:00,5,54,2018-06-23
154,The Kinks,2018-07-07 15:41:00,5,55,2018-07-07
155,The Kinks,2018-07-21 15:41:00,5,56,2018-07-21
156,The Kinks,2018-08-04 15:41:00,5,57,2018-08-04
157,The Kinks,2018-08-18 15:41:00,5,58,2018-08-18
158,The Kinks,2018-09-01 15:41:00,5,59,2018-09-01
159,The Kinks,2018-09-15 15:41:00,5,60,2018-09-15
160,The Kinks,2018-09-29 15:41:00,5,61,2018-09-29
161,The Kinks,2018-10-13 15:41:00,5,62,2018-10-13
162,The Kinks,2018-10-27 15:41:00,5,63,2018-10-27
163,The Kinks,2018-11-10 15:41:00,5,64,2018-11-10
164,The Kinks,2018-11-24 15:41:00,5,65,2018-11-24
165,The Kinks,2018-12-08 15:41:00,7,66,2018-12-08
166,The Kinks,2018-12-22 15:41:00,7,67,2018-12-22
167,The Kinks,2019-01-05 15:41:00,7,68,2019-01-05
168,The Kinks,2019-01-19 15:41:00,7,69,2019-01-19
169,The Kinks,2019-02-02 15:41:00,7,70,2019-02-02
170,The Kinks,2019-02-16 15:41:00,7,71,2019-02-16
171,The Kinks,2019-03-02 15:41:00,7,72,2019-03-02
172,The Kinks,2019-03-16 15:41:00,7,73,2019-03-16
173,The Kinks,2019-03-30 15:41:00,7,74,2019-03-30
174,The Kinks,2019-04-13 15:41:00,7,75,2019-04-13
175,The Kinks,2019-04-27 15:41:00,7,76,2019-04-27
176,The Kinks,2019-05-11 15:41:00,7,77,2019-05-11
177,The Kinks,2019-05-25 15:41:00,7,78,2019-05-25
178,The Kinks,2019-06-08 15:41:00,7,79,2019-06-08
179,The Kinks,2019-06-22 15:41:00,7,80,2019-06-22
180,The Kinks,2019-07-06 15:41:00,7,81,2019-07-06
181,The Kinks,2019-07-20 15:41:00,7,82,2019-07-20
182,The Kinks,2019-08-03 15:41:00,7,83,2019-08-03
183,The Kinks,2019-08-17 15:41:00,7,84,2019-08-17
184,The Kinks,2019-08-31 15:41:00,7,85,2019-08-31
185,The Kinks,2019-09-14 15:41:00,7,86,2019-09-14
186,The Kinks,2019-09-28 15:41:00,9,87,2019-09-28
187,The Kinks,2019-10-12 15:41:00,9,88,2019-10-12
188,The Kinks,2019-10-26 15:41:00,9,89,2019-10-26
189,The Kinks,2019-11-09 15:41:00,9,90,2019-11-09
190,The Kinks,2019-11-23 15:41:00,11,91,2019-11-23
191,The Kinks,2019-12-07 15:41:00,11,92,2019-12-07
192,The Kinks,2019-12-21 15:41:00,11,93,2019-12-21
193,The Kinks,2020-01-04 15:41:00,11,94,2020-01-04
194,The Kinks,2020-01-18 15:41:00,11,95,2020-01-18
195,The Kinks,2020-02-01 15:41:00,11,96,2020-02-01
196,The Kinks,2020-02-15 15:41:00,11,97,2020-02-15
197,The Kinks,2020-02-29 15:41:00,11,98,2020-02-29
198,The Kinks,2020-03-14 15:41:00,14,99,2020-03-14
199,The Kinks,2020-03-28 15:41:00,14,100,2020-03-28
200,The Band,2016-06-11 15:41:00,0,1,2016-06-11
201,The Band,2016-06-25 15:41:00,0,2,2016-06-25
202,The Band,2016-07-09 15:41:00,0,3,2016-07-09
203,The Band,2016-07-23 15:41:00,0,4,2016-07-23
204,The Band,2016-08-06 15:41:00,2,5,2016-08-06
205,The Band,2016-08-20 15:41:00,2,6,2016-08-20
206,The Band,2016-09-03 15:41:00,7,7,2016-09-03
207,The Band,2016-09-17 15:41:00,7,8,2016-09-17
208,The Band,2016-10-01 15:41:00,7,9,2016-10-01
209,The Band,2016-10-15 15:41:00,7,10,2016-10-15
210,The Band,2016-10-29 15:41:00,7,11,2016-10-29
211,The Band,2016-11-12 15:41:00,7,12,2016-11-12
212,The Band,2016-11-26 15:41:00,7,13,2016-11-26
213,The Band,2016-12-10 15:41:00,7,14,2016-12-10
214,The Band,2016-12-24 15:41:00,7,15,2016-12-24
215,The Band,2017-01-07 15:41:00,7,16,2017-01-07
216,The Band,2017-01-21 15:41:00,7,17,2017-01-21
217,The Band,2017-02-04 15:41:00,7,18,2017-02-04
218,The Band,2017-02-18 15:41:00,7,19,2017-02-18
219,The Band,2017-03-04 15:41:00,7,20,2017-03-04
220,The Band,2017-03-18 15:41:00,7,21,2017-03-18
221,The Band,2017-04-01 15:41:00,7,22,2017-04-01
222,The Band,2017-04-15 15:41:00,7,23,2017-04-15
223,The Band,2017-04-29 15:41:00,42,24,2017-04-29
224,The Band,2017-05-13 15:41:00,45,25,2017-05-13
225,The Band,2017-05-27 15:41:00,45,26,2017-05-27
226,The Band,2017-06-10 15:41:00,45,27,2017-06-10
227,The Band,2017-06-24 15:41:00,45,28,2017-06-24
228,The Band,2017-07-08 15:41:00,45,29,2017-07-08
229,The Band,2017-07-22 15:41:00,45,30,2017-07-22
230,The Band,2017-08-05 15:41:00,45,31,2017-08-05
