,artist,endTime,sum,week,date
0,Wu Tang Clan,2016-01-21 22:15:11,1,1,2016-01-21
1,Wu Tang Clan,2016-02-04 22:15:11,1,2,2016-02-04
2,Wu Tang Clan,2016-02-18 22:15:11,1,3,2016-02-18
3,Wu Tang Clan,2016-03-03 22:15:11,1,4,2016-03-03
4,Wu Tang Clan,2016-03-17 22:15:11,1,5,2016-03-17
5,Wu Tang Clan,2016-03-31 22:15:11,1,6,2016-03-31
6,Wu Tang Clan,2016-04-14 22:15:11,1,7,2016-04-14
7,Wu Tang Clan,2016-04-28 22:15:11,1,8,2016-04-28
8,Wu Tang Clan,2016-05-12 22:15:11,1,9,2016-05-12
9,Wu Tang Clan,2016-05-26 22:15:11,1,10,2016-05-26
10,Wu Tang Clan,2016-06-09 22:15:11,1,11,2016-06-09
11,Wu Tang Clan,2016-06-23 22:15:11,1,12,2016-06-23
12,Wu Tang Clan,2016-07-07 22:15:11,1,13,2016-07-07
13,Wu Tang Clan,2016-07-21 22:15:11,1,14,2016-07-21
14,Wu Tang Clan,2016-08-04 22:15:11,1,15,2016-08-04
15,Wu Tang Clan,2016-08-18 22:15:11,1,16,2016-08-18
16,Wu Tang Clan,2016-09-01 22:15:11,1,17,2016-09-01
17,Wu Tang Clan,2016-09-15 22:15:11,1,18,2016-09-15
18,Wu Tang Clan,2016-09-29 22:15:11,1,19,2016-09-29
19,Wu Tang Clan,2016-10-13 22:15:11,1,20,2016-10-13
20,Wu Tang Clan,2016-10-27 22:15:11,1,21,2016-10-27
21,Wu Tang Clan,2016-11-10 22:15:11,1,22,2016-11-10
22,Wu Tang Clan,2016-11-24 22:15:11,1,23,2016-11-24
23,Wu Tang Clan,2016-12-08 22:15:11,1,24,2016-12-08
24,Wu Tang Clan,2016-12-22 22:15:11,1,25,2016-12-22
25,Wu Tang Clan,2017-01-05 22:15:11,1,26,2017-01-05
26,Wu Tang Clan,2017-01-19 22:15:11,1,27,2017-01-19
27,Wu Tang Clan,2017-02-02 22:15:11,1,28,2017-02-02
28,Wu Tang Clan,2017-02-16 22:15:11,1,29,2017-02-16
29,Wu Tang Clan,2017-03-02 22:15:11,1,30,2017-03-02
30,Wu Tang Clan,2017-03-16 22:15:11,1,31,2017-03-16
31,Wu Tang Clan,2017-03-30 22:15:11,1,32,2017-03-30
32,Wu Tang Clan,2017-04-13 22:15:11,1,33,2017-04-13
