,artist,endTime,sum,week,date
0,St. Paul & The Broken Bones,2016-05-17 05:19:53,4,1,2016-05-17
1,St. Paul & The Broken Bones,2016-05-31 05:19:53,4,2,2016-05-31
2,St. Paul & The Broken Bones,2016-06-14 05:19:53,4,3,2016-06-14
3,St. Paul & The Broken Bones,2016-06-28 05:19:53,10,4,2016-06-28
4,St. Paul & The Broken Bones,2016-07-12 05:19:53,11,5,2016-07-12
5,St. Paul & The Broken Bones,2016-07-26 05:19:53,13,6,2016-07-26
6,St. Paul & The Broken Bones,2016-08-09 05:19:53,13,7,2016-08-09
7,St. Paul & The Broken Bones,2016-08-23 05:19:53,27,8,2016-08-23
8,St. Paul & The Broken Bones,2016-09-06 05:19:53,32,9,2016-09-06
9,St. Paul & The Broken Bones,2016-09-20 05:19:53,32,10,2016-09-20
10,St. Paul & The Broken Bones,2016-10-04 05:19:53,32,11,2016-10-04
11,St. Paul & The Broken Bones,2016-10-18 05:19:53,32,12,2016-10-18
12,St. Paul & The Broken Bones,2016-11-01 05:19:53,67,13,2016-11-01
13,St. Paul & The Broken Bones,2016-11-15 05:19:53,83,14,2016-11-15
14,St. Paul & The Broken Bones,2016-11-29 05:19:53,85,15,2016-11-29
15,St. Paul & The Broken Bones,2016-12-13 05:19:53,88,16,2016-12-13
16,St. Paul & The Broken Bones,2016-12-27 05:19:53,110,17,2016-12-27
17,St. Paul & The Broken Bones,2017-01-10 05:19:53,110,18,2017-01-10
18,St. Paul & The Broken Bones,2017-01-24 05:19:53,117,19,2017-01-24
19,St. Paul & The Broken Bones,2017-02-07 05:19:53,117,20,2017-02-07
20,St. Paul & The Broken Bones,2017-02-21 05:19:53,119,21,2017-02-21
21,St. Paul & The Broken Bones,2017-03-07 05:19:53,122,22,2017-03-07
22,St. Paul & The Broken Bones,2017-03-21 05:19:53,122,23,2017-03-21
23,St. Paul & The Broken Bones,2017-04-04 05:19:53,122,24,2017-04-04
24,St. Paul & The Broken Bones,2017-04-18 05:19:53,123,25,2017-04-18
25,St. Paul & The Broken Bones,2017-05-02 05:19:53,126,26,2017-05-02
26,St. Paul & The Broken Bones,2017-05-16 05:19:53,130,27,2017-05-16
27,St. Paul & The Broken Bones,2017-05-30 05:19:53,130,28,2017-05-30
28,St. Paul & The Broken Bones,2017-06-13 05:19:53,131,29,2017-06-13
29,St. Paul & The Broken Bones,2017-06-27 05:19:53,134,30,2017-06-27
30,St. Paul & The Broken Bones,2017-07-11 05:19:53,134,31,2017-07-11
31,St. Paul & The Broken Bones,2017-07-25 05:19:53,134,32,2017-07-25
32,St. Paul & The Broken Bones,2017-08-08 05:19:53,134,33,2017-08-08
33,St. Paul & The Broken Bones,2017-08-22 05:19:53,134,34,2017-08-22
34,St. Paul & The Broken Bones,2017-09-05 05:19:53,134,35,2017-09-05
35,St. Paul & The Broken Bones,2017-09-19 05:19:53,134,36,2017-09-19
36,St. Paul & The Broken Bones,2017-10-03 05:19:53,134,37,2017-10-03
37,St. Paul & The Broken Bones,2017-10-17 05:19:53,134,38,2017-10-17
38,St. Paul & The Broken Bones,2017-10-31 05:19:53,134,39,2017-10-31
39,St. Paul & The Broken Bones,2017-11-14 05:19:53,134,40,2017-11-14
40,St. Paul & The Broken Bones,2017-11-28 05:19:53,134,41,2017-11-28
41,St. Paul & The Broken Bones,2017-12-12 05:19:53,134,42,2017-12-12
42,St. Paul & The Broken Bones,2017-12-26 05:19:53,134,43,2017-12-26
43,St. Paul & The Broken Bones,2018-01-09 05:19:53,134,44,2018-01-09
44,St. Paul & The Broken Bones,2018-01-23 05:19:53,135,45,2018-01-23
45,St. Paul & The Broken Bones,2018-02-06 05:19:53,135,46,2018-02-06
46,St. Paul & The Broken Bones,2018-02-20 05:19:53,135,47,2018-02-20
47,St. Paul & The Broken Bones,2018-03-06 05:19:53,135,48,2018-03-06
48,St. Paul & The Broken Bones,2018-03-20 05:19:53,135,49,2018-03-20
49,St. Paul & The Broken Bones,2018-04-03 05:19:53,136,50,2018-04-03
50,St. Paul & The Broken Bones,2018-04-17 05:19:53,136,51,2018-04-17
51,St. Paul & The Broken Bones,2018-05-01 05:19:53,136,52,2018-05-01
52,St. Paul & The Broken Bones,2018-05-15 05:19:53,136,53,2018-05-15
53,St. Paul & The Broken Bones,2018-05-29 05:19:53,136,54,2018-05-29
54,St. Paul & The Broken Bones,2018-06-12 05:19:53,136,55,2018-06-12
55,St. Paul & The Broken Bones,2018-06-26 05:19:53,136,56,2018-06-26
56,St. Paul & The Broken Bones,2018-07-10 05:19:53,137,57,2018-07-10
57,St. Paul & The Broken Bones,2018-07-24 05:19:53,137,58,2018-07-24
58,St. Paul & The Broken Bones,2018-08-07 05:19:53,137,59,2018-08-07
59,St. Paul & The Broken Bones,2018-08-21 05:19:53,139,60,2018-08-21
