,artist,endTime,sum,week,date
0,Albert King,2016-03-20 23:29:49,1,1,2016-03-20
1,Albert King,2016-04-03 23:29:49,1,2,2016-04-03
2,Albert King,2016-04-17 23:29:49,1,3,2016-04-17
3,Albert King,2016-05-01 23:29:49,1,4,2016-05-01
4,Albert King,2016-05-15 23:29:49,1,5,2016-05-15
5,Albert King,2016-05-29 23:29:49,1,6,2016-05-29
6,Albert King,2016-06-12 23:29:49,1,7,2016-06-12
7,Albert King,2016-06-26 23:29:49,1,8,2016-06-26
8,Albert King,2016-07-10 23:29:49,1,9,2016-07-10
9,Albert King,2016-07-24 23:29:49,1,10,2016-07-24
10,Albert King,2016-08-07 23:29:49,1,11,2016-08-07
11,Albert King,2016-08-21 23:29:49,1,12,2016-08-21
12,Albert King,2016-09-04 23:29:49,1,13,2016-09-04
13,Albert King,2016-09-18 23:29:49,1,14,2016-09-18
14,Albert King,2016-10-02 23:29:49,1,15,2016-10-02
15,Albert King,2016-10-16 23:29:49,1,16,2016-10-16
16,Albert King,2016-10-30 23:29:49,1,17,2016-10-30
17,Albert King,2016-11-13 23:29:49,1,18,2016-11-13
18,Albert King,2016-11-27 23:29:49,1,19,2016-11-27
19,Albert King,2016-12-11 23:29:49,1,20,2016-12-11
20,Albert King,2016-12-25 23:29:49,1,21,2016-12-25
21,Albert King,2017-01-08 23:29:49,1,22,2017-01-08
22,Albert King,2017-01-22 23:29:49,1,23,2017-01-22
23,Albert King,2017-02-05 23:29:49,1,24,2017-02-05
24,Albert King,2017-02-19 23:29:49,1,25,2017-02-19
25,Albert King,2017-03-05 23:29:49,1,26,2017-03-05
26,Albert King,2017-03-19 23:29:49,1,27,2017-03-19
27,Albert King,2017-04-02 23:29:49,1,28,2017-04-02
28,Albert King,2017-04-16 23:29:49,1,29,2017-04-16
29,Albert King,2017-04-30 23:29:49,1,30,2017-04-30
30,Albert King,2017-05-14 23:29:49,1,31,2017-05-14
31,Albert King,2017-05-28 23:29:49,1,32,2017-05-28
32,Albert King,2017-06-11 23:29:49,1,33,2017-06-11
33,Albert King,2017-06-25 23:29:49,1,34,2017-06-25
34,Albert King,2017-07-09 23:29:49,1,35,2017-07-09
35,Albert King,2017-07-23 23:29:49,1,36,2017-07-23
36,Albert King,2017-08-06 23:29:49,1,37,2017-08-06
37,Albert King,2017-08-20 23:29:49,1,38,2017-08-20
38,Albert King,2017-09-03 23:29:49,1,39,2017-09-03
39,Albert King,2017-09-17 23:29:49,1,40,2017-09-17
40,Albert King,2017-10-01 23:29:49,1,41,2017-10-01
41,Albert King,2017-10-15 23:29:49,1,42,2017-10-15
42,Albert King,2017-10-29 23:29:49,1,43,2017-10-29
43,Albert King,2017-11-12 23:29:49,1,44,2017-11-12
44,Albert King,2017-11-26 23:29:49,1,45,2017-11-26
45,Albert King,2017-12-10 23:29:49,1,46,2017-12-10
46,Albert King,2017-12-24 23:29:49,1,47,2017-12-24
47,Albert King,2018-01-07 23:29:49,1,48,2018-01-07
48,Albert King,2018-01-21 23:29:49,1,49,2018-01-21
49,Albert King,2018-02-04 23:29:49,1,50,2018-02-04
50,Albert King,2018-02-18 23:29:49,1,51,2018-02-18
51,Albert King,2018-03-04 23:29:49,1,52,2018-03-04
52,Albert King,2018-03-18 23:29:49,1,53,2018-03-18
53,Albert King,2018-04-01 23:29:49,1,54,2018-04-01
54,Albert King,2018-04-15 23:29:49,1,55,2018-04-15
55,Albert King,2018-04-29 23:29:49,1,56,2018-04-29
56,Albert King,2018-05-13 23:29:49,1,57,2018-05-13
57,Albert King,2018-05-27 23:29:49,1,58,2018-05-27
58,Albert King,2018-06-10 23:29:49,1,59,2018-06-10
59,Albert King,2018-06-24 23:29:49,1,60,2018-06-24
60,Albert King,2018-07-08 23:29:49,1,61,2018-07-08
61,Albert King,2018-07-22 23:29:49,1,62,2018-07-22
62,Albert King,2018-08-05 23:29:49,1,63,2018-08-05
63,Albert King,2018-08-19 23:29:49,1,64,2018-08-19
64,Albert King,2018-09-02 23:29:49,1,65,2018-09-02
65,Albert King,2018-09-16 23:29:49,1,66,2018-09-16
66,Albert King,2018-09-30 23:29:49,1,67,2018-09-30
67,Albert King,2018-10-14 23:29:49,1,68,2018-10-14
68,Albert King,2018-10-28 23:29:49,1,69,2018-10-28
69,Albert King,2018-11-11 23:29:49,1,70,2018-11-11
70,Albert King,2018-11-25 23:29:49,1,71,2018-11-25
71,Albert King,2018-12-09 23:29:49,1,72,2018-12-09
72,Albert King,2018-12-23 23:29:49,1,73,2018-12-23
73,Albert King,2019-01-06 23:29:49,1,74,2019-01-06
74,Albert King,2019-01-20 23:29:49,1,75,2019-01-20
75,Albert King,2019-02-03 23:29:49,1,76,2019-02-03
76,Albert King,2019-02-17 23:29:49,1,77,2019-02-17
77,Albert King,2019-03-03 23:29:49,1,78,2019-03-03
78,Albert King,2019-03-17 23:29:49,1,79,2019-03-17
79,Albert King,2019-03-31 23:29:49,1,80,2019-03-31
80,Albert King,2019-04-14 23:29:49,1,81,2019-04-14
81,Albert King,2019-04-28 23:29:49,1,82,2019-04-28
82,Albert King,2019-05-12 23:29:49,1,83,2019-05-12
83,Albert King,2019-05-26 23:29:49,1,84,2019-05-26
84,Albert King,2019-06-09 23:29:49,1,85,2019-06-09
85,Albert King,2019-06-23 23:29:49,1,86,2019-06-23
86,Albert King,2019-07-07 23:29:49,1,87,2019-07-07
87,Albert King,2019-07-21 23:29:49,1,88,2019-07-21
88,Albert King,2019-08-04 23:29:49,1,89,2019-08-04
89,Albert King,2019-08-18 23:29:49,1,90,2019-08-18
90,Albert King,2019-09-01 23:29:49,1,91,2019-09-01
91,Albert King,2019-09-15 23:29:49,1,92,2019-09-15
92,Albert King,2019-09-29 23:29:49,1,93,2019-09-29
93,Albert King,2019-10-13 23:29:49,1,94,2019-10-13
94,Albert King,2019-10-27 23:29:49,1,95,2019-10-27
95,Albert King,2019-11-10 23:29:49,1,96,2019-11-10
96,Albert King,2019-11-24 23:29:49,1,97,2019-11-24
97,Solomon Burke,2016-03-20 23:29:49,1,1,2016-03-20
98,Solomon Burke,2016-04-03 23:29:49,1,2,2016-04-03
99,Solomon Burke,2016-04-17 23:29:49,1,3,2016-04-17
100,Solomon Burke,2016-05-01 23:29:49,1,4,2016-05-01
101,Solomon Burke,2016-05-15 23:29:49,1,5,2016-05-15
102,Solomon Burke,2016-05-29 23:29:49,1,6,2016-05-29
103,Solomon Burke,2016-06-12 23:29:49,1,7,2016-06-12
104,Solomon Burke,2016-06-26 23:29:49,1,8,2016-06-26
105,Solomon Burke,2016-07-10 23:29:49,1,9,2016-07-10
106,Solomon Burke,2016-07-24 23:29:49,1,10,2016-07-24
107,Solomon Burke,2016-08-07 23:29:49,1,11,2016-08-07
108,Solomon Burke,2016-08-21 23:29:49,1,12,2016-08-21
109,Solomon Burke,2016-09-04 23:29:49,1,13,2016-09-04
110,Solomon Burke,2016-09-18 23:29:49,1,14,2016-09-18
111,Solomon Burke,2016-10-02 23:29:49,1,15,2016-10-02
112,Solomon Burke,2016-10-16 23:29:49,1,16,2016-10-16
113,Solomon Burke,2016-10-30 23:29:49,1,17,2016-10-30
114,Solomon Burke,2016-11-13 23:29:49,1,18,2016-11-13
115,Solomon Burke,2016-11-27 23:29:49,1,19,2016-11-27
116,Solomon Burke,2016-12-11 23:29:49,1,20,2016-12-11
117,Solomon Burke,2016-12-25 23:29:49,1,21,2016-12-25
118,Solomon Burke,2017-01-08 23:29:49,1,22,2017-01-08
119,Solomon Burke,2017-01-22 23:29:49,1,23,2017-01-22
120,Solomon Burke,2017-02-05 23:29:49,1,24,2017-02-05
121,Solomon Burke,2017-02-19 23:29:49,1,25,2017-02-19
122,Solomon Burke,2017-03-05 23:29:49,1,26,2017-03-05
123,Solomon Burke,2017-03-19 23:29:49,1,27,2017-03-19
124,Solomon Burke,2017-04-02 23:29:49,1,28,2017-04-02
125,Solomon Burke,2017-04-16 23:29:49,1,29,2017-04-16
126,Solomon Burke,2017-04-30 23:29:49,1,30,2017-04-30
127,Solomon Burke,2017-05-14 23:29:49,1,31,2017-05-14
128,Solomon Burke,2017-05-28 23:29:49,1,32,2017-05-28
129,Solomon Burke,2017-06-11 23:29:49,1,33,2017-06-11
130,Solomon Burke,2017-06-25 23:29:49,1,34,2017-06-25
131,Solomon Burke,2017-07-09 23:29:49,1,35,2017-07-09
132,Solomon Burke,2017-07-23 23:29:49,1,36,2017-07-23
133,Solomon Burke,2017-08-06 23:29:49,1,37,2017-08-06
134,Solomon Burke,2017-08-20 23:29:49,1,38,2017-08-20
135,Solomon Burke,2017-09-03 23:29:49,1,39,2017-09-03
136,Solomon Burke,2017-09-17 23:29:49,1,40,2017-09-17
137,Solomon Burke,2017-10-01 23:29:49,1,41,2017-10-01
138,Solomon Burke,2017-10-15 23:29:49,1,42,2017-10-15
139,Solomon Burke,2017-10-29 23:29:49,1,43,2017-10-29
140,Solomon Burke,2017-11-12 23:29:49,1,44,2017-11-12
141,Solomon Burke,2017-11-26 23:29:49,1,45,2017-11-26
142,Solomon Burke,2017-12-10 23:29:49,1,46,2017-12-10
143,Solomon Burke,2017-12-24 23:29:49,1,47,2017-12-24
144,Solomon Burke,2018-01-07 23:29:49,1,48,2018-01-07
145,Solomon Burke,2018-01-21 23:29:49,1,49,2018-01-21
146,Solomon Burke,2018-02-04 23:29:49,1,50,2018-02-04
147,Solomon Burke,2018-02-18 23:29:49,1,51,2018-02-18
148,Solomon Burke,2018-03-04 23:29:49,1,52,2018-03-04
149,Solomon Burke,2018-03-18 23:29:49,1,53,2018-03-18
150,Solomon Burke,2018-04-01 23:29:49,1,54,2018-04-01
151,Solomon Burke,2018-04-15 23:29:49,1,55,2018-04-15
152,Solomon Burke,2018-04-29 23:29:49,1,56,2018-04-29
153,Solomon Burke,2018-05-13 23:29:49,1,57,2018-05-13
154,Solomon Burke,2018-05-27 23:29:49,1,58,2018-05-27
155,Solomon Burke,2018-06-10 23:29:49,1,59,2018-06-10
156,Solomon Burke,2018-06-24 23:29:49,1,60,2018-06-24
157,Solomon Burke,2018-07-08 23:29:49,1,61,2018-07-08
158,Solomon Burke,2018-07-22 23:29:49,1,62,2018-07-22
159,Solomon Burke,2018-08-05 23:29:49,1,63,2018-08-05
160,Solomon Burke,2018-08-19 23:29:49,1,64,2018-08-19
161,Solomon Burke,2018-09-02 23:29:49,1,65,2018-09-02
162,Solomon Burke,2018-09-16 23:29:49,1,66,2018-09-16
163,Solomon Burke,2018-09-30 23:29:49,1,67,2018-09-30
164,Solomon Burke,2018-10-14 23:29:49,1,68,2018-10-14
165,Solomon Burke,2018-10-28 23:29:49,1,69,2018-10-28
166,Solomon Burke,2018-11-11 23:29:49,1,70,2018-11-11
167,Solomon Burke,2018-11-25 23:29:49,1,71,2018-11-25
168,Solomon Burke,2018-12-09 23:29:49,1,72,2018-12-09
169,Solomon Burke,2018-12-23 23:29:49,1,73,2018-12-23
170,Solomon Burke,2019-01-06 23:29:49,1,74,2019-01-06
171,Solomon Burke,2019-01-20 23:29:49,1,75,2019-01-20
172,Solomon Burke,2019-02-03 23:29:49,1,76,2019-02-03
173,Solomon Burke,2019-02-17 23:29:49,1,77,2019-02-17
174,Solomon Burke,2019-03-03 23:29:49,1,78,2019-03-03
175,Solomon Burke,2019-03-17 23:29:49,1,79,2019-03-17
176,Solomon Burke,2019-03-31 23:29:49,1,80,2019-03-31
177,Solomon Burke,2019-04-14 23:29:49,1,81,2019-04-14
178,Solomon Burke,2019-04-28 23:29:49,1,82,2019-04-28
179,Solomon Burke,2019-05-12 23:29:49,1,83,2019-05-12
180,Solomon Burke,2019-05-26 23:29:49,1,84,2019-05-26
181,Solomon Burke,2019-06-09 23:29:49,1,85,2019-06-09
182,Solomon Burke,2019-06-23 23:29:49,1,86,2019-06-23
183,Solomon Burke,2019-07-07 23:29:49,1,87,2019-07-07
184,Solomon Burke,2019-07-21 23:29:49,1,88,2019-07-21
185,Solomon Burke,2019-08-04 23:29:49,1,89,2019-08-04
186,Solomon Burke,2019-08-18 23:29:49,1,90,2019-08-18
187,Solomon Burke,2019-09-01 23:29:49,1,91,2019-09-01
188,Solomon Burke,2019-09-15 23:29:49,1,92,2019-09-15
189,Solomon Burke,2019-09-29 23:29:49,1,93,2019-09-29
190,Solomon Burke,2019-10-13 23:29:49,1,94,2019-10-13
191,Solomon Burke,2019-10-27 23:29:49,1,95,2019-10-27
192,Solomon Burke,2019-11-10 23:29:49,1,96,2019-11-10
193,Solomon Burke,2019-11-24 23:29:49,1,97,2019-11-24
194,Ray Charles,2016-03-20 23:29:49,0,1,2016-03-20
195,Ray Charles,2016-04-03 23:29:49,0,2,2016-04-03
196,Ray Charles,2016-04-17 23:29:49,0,3,2016-04-17
197,Ray Charles,2016-05-01 23:29:49,0,4,2016-05-01
198,Ray Charles,2016-05-15 23:29:49,0,5,2016-05-15
199,Ray Charles,2016-05-29 23:29:49,0,6,2016-05-29
200,Ray Charles,2016-06-12 23:29:49,0,7,2016-06-12
201,Ray Charles,2016-06-26 23:29:49,0,8,2016-06-26
202,Ray Charles,2016-07-10 23:29:49,0,9,2016-07-10
203,Ray Charles,2016-07-24 23:29:49,4,10,2016-07-24
204,Ray Charles,2016-08-07 23:29:49,32,11,2016-08-07
205,Ray Charles,2016-08-21 23:29:49,32,12,2016-08-21
206,Ray Charles,2016-09-04 23:29:49,37,13,2016-09-04
207,Ray Charles,2016-09-18 23:29:49,37,14,2016-09-18
208,Ray Charles,2016-10-02 23:29:49,37,15,2016-10-02
209,Ray Charles,2016-10-16 23:29:49,37,16,2016-10-16
210,Ray Charles,2016-10-30 23:29:49,37,17,2016-10-30
211,Ray Charles,2016-11-13 23:29:49,37,18,2016-11-13
212,Ray Charles,2016-11-27 23:29:49,37,19,2016-11-27
213,Ray Charles,2016-12-11 23:29:49,37,20,2016-12-11
214,Ray Charles,2016-12-25 23:29:49,66,21,2016-12-25
215,Ray Charles,2017-01-08 23:29:49,69,22,2017-01-08
216,Ray Charles,2017-01-22 23:29:49,69,23,2017-01-22
217,Ray Charles,2017-02-05 23:29:49,69,24,2017-02-05
218,Ray Charles,2017-02-19 23:29:49,71,25,2017-02-19
219,Ray Charles,2017-03-05 23:29:49,83,26,2017-03-05
220,Ray Charles,2017-03-19 23:29:49,87,27,2017-03-19
221,Ray Charles,2017-04-02 23:29:49,87,28,2017-04-02
222,Ray Charles,2017-04-16 23:29:49,87,29,2017-04-16
223,Ray Charles,2017-04-30 23:29:49,101,30,2017-04-30
224,Ray Charles,2017-05-14 23:29:49,105,31,2017-05-14
225,Ray Charles,2017-05-28 23:29:49,108,32,2017-05-28
226,Ray Charles,2017-06-11 23:29:49,108,33,2017-06-11
227,Ray Charles,2017-06-25 23:29:49,108,34,2017-06-25
228,Ray Charles,2017-07-09 23:29:49,108,35,2017-07-09
229,Ray Charles,2017-07-23 23:29:49,108,36,2017-07-23
230,Ray Charles,2017-08-06 23:29:49,108,37,2017-08-06
231,Ray Charles,2017-08-20 23:29:49,108,38,2017-08-20
232,Ray Charles,2017-09-03 23:29:49,108,39,2017-09-03
233,Ray Charles,2017-09-17 23:29:49,108,40,2017-09-17
234,Ray Charles,2017-10-01 23:29:49,108,41,2017-10-01
235,Ray Charles,2017-10-15 23:29:49,108,42,2017-10-15
236,Ray Charles,2017-10-29 23:29:49,108,43,2017-10-29
237,Ray Charles,2017-11-12 23:29:49,108,44,2017-11-12
238,Ray Charles,2017-11-26 23:29:49,108,45,2017-11-26
239,Ray Charles,2017-12-10 23:29:49,108,46,2017-12-10
240,Ray Charles,2017-12-24 23:29:49,108,47,2017-12-24
241,Ray Charles,2018-01-07 23:29:49,108,48,2018-01-07
242,Ray Charles,2018-01-21 23:29:49,108,49,2018-01-21
243,Ray Charles,2018-02-04 23:29:49,108,50,2018-02-04
244,Ray Charles,2018-02-18 23:29:49,108,51,2018-02-18
245,Ray Charles,2018-03-04 23:29:49,114,52,2018-03-04
