,artist,endTime,sum,week,date
0,Roy Ayers,2016-03-22 05:08:23,1,1,2016-03-22
1,Roy Ayers,2016-04-05 05:08:23,1,2,2016-04-05
2,Roy Ayers,2016-04-19 05:08:23,1,3,2016-04-19
3,Roy Ayers,2016-05-03 05:08:23,1,4,2016-05-03
4,Roy Ayers,2016-05-17 05:08:23,1,5,2016-05-17
5,Roy Ayers,2016-05-31 05:08:23,1,6,2016-05-31
6,Roy Ayers,2016-06-14 05:08:23,1,7,2016-06-14
7,Roy Ayers,2016-06-28 05:08:23,1,8,2016-06-28
8,Roy Ayers,2016-07-12 05:08:23,1,9,2016-07-12
9,Roy Ayers,2016-07-26 05:08:23,1,10,2016-07-26
10,Roy Ayers,2016-08-09 05:08:23,1,11,2016-08-09
11,Roy Ayers,2016-08-23 05:08:23,1,12,2016-08-23
12,Roy Ayers,2016-09-06 05:08:23,1,13,2016-09-06
13,Roy Ayers,2016-09-20 05:08:23,1,14,2016-09-20
14,Roy Ayers,2016-10-04 05:08:23,1,15,2016-10-04
15,Roy Ayers,2016-10-18 05:08:23,1,16,2016-10-18
16,Roy Ayers,2016-11-01 05:08:23,1,17,2016-11-01
17,Roy Ayers,2016-11-15 05:08:23,1,18,2016-11-15
18,Roy Ayers,2016-11-29 05:08:23,1,19,2016-11-29
19,Roy Ayers,2016-12-13 05:08:23,1,20,2016-12-13
20,Roy Ayers,2016-12-27 05:08:23,1,21,2016-12-27
21,Roy Ayers,2017-01-10 05:08:23,1,22,2017-01-10
22,Roy Ayers,2017-01-24 05:08:23,1,23,2017-01-24
23,Roy Ayers,2017-02-07 05:08:23,1,24,2017-02-07
24,Roy Ayers,2017-02-21 05:08:23,1,25,2017-02-21
25,Roy Ayers,2017-03-07 05:08:23,1,26,2017-03-07
26,Roy Ayers,2017-03-21 05:08:23,1,27,2017-03-21
27,Roy Ayers,2017-04-04 05:08:23,1,28,2017-04-04
28,Roy Ayers,2017-04-18 05:08:23,1,29,2017-04-18
29,Roy Ayers,2017-05-02 05:08:23,1,30,2017-05-02
30,Roy Ayers,2017-05-16 05:08:23,1,31,2017-05-16
31,Roy Ayers,2017-05-30 05:08:23,1,32,2017-05-30
32,Roy Ayers,2017-06-13 05:08:23,1,33,2017-06-13
33,Roy Ayers,2017-06-27 05:08:23,1,34,2017-06-27
34,Roy Ayers,2017-07-11 05:08:23,1,35,2017-07-11
35,Roy Ayers,2017-07-25 05:08:23,1,36,2017-07-25
36,Roy Ayers,2017-08-08 05:08:23,1,37,2017-08-08
37,Roy Ayers,2017-08-22 05:08:23,1,38,2017-08-22
38,Roy Ayers,2017-09-05 05:08:23,1,39,2017-09-05
39,Roy Ayers,2017-09-19 05:08:23,1,40,2017-09-19
40,Roy Ayers,2017-10-03 05:08:23,1,41,2017-10-03
41,Roy Ayers,2017-10-17 05:08:23,1,42,2017-10-17
