,artist,endTime,sum,week,date
0,Europe,2017-03-10 04:13:25,1,1,2017-03-10
1,Europe,2017-03-24 04:13:25,1,2,2017-03-24
2,Europe,2017-04-07 04:13:25,1,3,2017-04-07
3,Europe,2017-04-21 04:13:25,1,4,2017-04-21
4,Europe,2017-05-05 04:13:25,1,5,2017-05-05
5,Vains Of Jenna,2017-03-10 04:13:25,0,1,2017-03-10
6,Vains Of Jenna,2017-03-24 04:13:25,0,2,2017-03-24
7,Vains Of Jenna,2017-04-07 04:13:25,0,3,2017-04-07
8,Vains Of Jenna,2017-04-21 04:13:25,0,4,2017-04-21
9,Vains Of Jenna,2017-05-05 04:13:25,0,5,2017-05-05
