,artist,endTime,sum,week,date
0,Jazz Cartier,2016-05-20 05:19:52,1,1,2016-05-20
1,Jazz Cartier,2016-06-03 05:19:52,1,2,2016-06-03
2,Jazz Cartier,2016-06-17 05:19:52,1,3,2016-06-17
3,Jazz Cartier,2016-07-01 05:19:52,1,4,2016-07-01
4,Jazz Cartier,2016-07-15 05:19:52,1,5,2016-07-15
5,Jazz Cartier,2016-07-29 05:19:52,1,6,2016-07-29
6,Jazz Cartier,2016-08-12 05:19:52,1,7,2016-08-12
7,Jazz Cartier,2016-08-26 05:19:52,1,8,2016-08-26
8,Jazz Cartier,2016-09-09 05:19:52,1,9,2016-09-09
9,Jazz Cartier,2016-09-23 05:19:52,1,10,2016-09-23
10,Jazz Cartier,2016-10-07 05:19:52,1,11,2016-10-07
11,Jazz Cartier,2016-10-21 05:19:52,1,12,2016-10-21
12,Jazz Cartier,2016-11-04 05:19:52,1,13,2016-11-04
13,Jazz Cartier,2016-11-18 05:19:52,1,14,2016-11-18
14,Jazz Cartier,2016-12-02 05:19:52,1,15,2016-12-02
15,Jazz Cartier,2016-12-16 05:19:52,1,16,2016-12-16
16,Jazz Cartier,2016-12-30 05:19:52,1,17,2016-12-30
17,Jazz Cartier,2017-01-13 05:19:52,1,18,2017-01-13
18,Jazz Cartier,2017-01-27 05:19:52,1,19,2017-01-27
19,Jazz Cartier,2017-02-10 05:19:52,1,20,2017-02-10
20,Jazz Cartier,2017-02-24 05:19:52,1,21,2017-02-24
21,Jazz Cartier,2017-03-10 05:19:52,1,22,2017-03-10
22,Jazz Cartier,2017-03-24 05:19:52,1,23,2017-03-24
23,Jazz Cartier,2017-04-07 05:19:52,1,24,2017-04-07
24,Jazz Cartier,2017-04-21 05:19:52,1,25,2017-04-21
25,Jazz Cartier,2017-05-05 05:19:52,1,26,2017-05-05
26,Jazz Cartier,2017-05-19 05:19:52,1,27,2017-05-19
27,Jazz Cartier,2017-06-02 05:19:52,1,28,2017-06-02
28,Jazz Cartier,2017-06-16 05:19:52,1,29,2017-06-16
29,Jazz Cartier,2017-06-30 05:19:52,1,30,2017-06-30
30,Jazz Cartier,2017-07-14 05:19:52,1,31,2017-07-14
31,Jazz Cartier,2017-07-28 05:19:52,1,32,2017-07-28
32,Jazz Cartier,2017-08-11 05:19:52,1,33,2017-08-11
33,Jazz Cartier,2017-08-25 05:19:52,1,34,2017-08-25
34,Jazz Cartier,2017-09-08 05:19:52,1,35,2017-09-08
35,Jazz Cartier,2017-09-22 05:19:52,1,36,2017-09-22
36,Jazz Cartier,2017-10-06 05:19:52,1,37,2017-10-06
37,Jazz Cartier,2017-10-20 05:19:52,1,38,2017-10-20
38,Jazz Cartier,2017-11-03 05:19:52,1,39,2017-11-03
39,Jazz Cartier,2017-11-17 05:19:52,1,40,2017-11-17
40,Jazz Cartier,2017-12-01 05:19:52,1,41,2017-12-01
41,Jazz Cartier,2017-12-15 05:19:52,1,42,2017-12-15
42,Jazz Cartier,2017-12-29 05:19:52,1,43,2017-12-29
43,Jazz Cartier,2018-01-12 05:19:52,1,44,2018-01-12
44,Jazz Cartier,2018-01-26 05:19:52,1,45,2018-01-26
45,Jazz Cartier,2018-02-09 05:19:52,1,46,2018-02-09
46,Jazz Cartier,2018-02-23 05:19:52,1,47,2018-02-23
47,Jazz Cartier,2018-03-09 05:19:52,1,48,2018-03-09
48,Jazz Cartier,2018-03-23 05:19:52,1,49,2018-03-23
49,Jazz Cartier,2018-04-06 05:19:52,1,50,2018-04-06
50,Jazz Cartier,2018-04-20 05:19:52,1,51,2018-04-20
51,Jazz Cartier,2018-05-04 05:19:52,1,52,2018-05-04
52,Jazz Cartier,2018-05-18 05:19:52,1,53,2018-05-18
53,Jazz Cartier,2018-06-01 05:19:52,1,54,2018-06-01
54,Jazz Cartier,2018-06-15 05:19:52,1,55,2018-06-15
55,Jazz Cartier,2018-06-29 05:19:52,1,56,2018-06-29
56,Jazz Cartier,2018-07-13 05:19:52,1,57,2018-07-13
57,Jazz Cartier,2018-07-27 05:19:52,1,58,2018-07-27
58,Jazz Cartier,2018-08-10 05:19:52,1,59,2018-08-10
59,Jazz Cartier,2018-08-24 05:19:52,1,60,2018-08-24
60,Jazz Cartier,2018-09-07 05:19:52,1,61,2018-09-07
61,Jazz Cartier,2018-09-21 05:19:52,1,62,2018-09-21
62,Jazz Cartier,2018-10-05 05:19:52,1,63,2018-10-05
63,Jazz Cartier,2018-10-19 05:19:52,1,64,2018-10-19
64,Jazz Cartier,2018-11-02 05:19:52,1,65,2018-11-02
65,Jazz Cartier,2018-11-16 05:19:52,1,66,2018-11-16
66,Jazz Cartier,2018-11-30 05:19:52,1,67,2018-11-30
67,Jazz Cartier,2018-12-14 05:19:52,1,68,2018-12-14
68,Jazz Cartier,2018-12-28 05:19:52,1,69,2018-12-28
69,Jazz Cartier,2019-01-11 05:19:52,1,70,2019-01-11
70,Jazz Cartier,2019-01-25 05:19:52,1,71,2019-01-25
71,Jazz Cartier,2019-02-08 05:19:52,1,72,2019-02-08
72,Jazz Cartier,2019-02-22 05:19:52,1,73,2019-02-22
73,Jazz Cartier,2019-03-08 05:19:52,1,74,2019-03-08
74,Jazz Cartier,2019-03-22 05:19:52,1,75,2019-03-22
75,Jazz Cartier,2019-04-05 05:19:52,1,76,2019-04-05
76,Jazz Cartier,2019-04-19 05:19:52,1,77,2019-04-19
77,Jazz Cartier,2019-05-03 05:19:52,1,78,2019-05-03
78,Jazz Cartier,2019-05-17 05:19:52,1,79,2019-05-17
79,Jazz Cartier,2019-05-31 05:19:52,1,80,2019-05-31
80,Jazz Cartier,2019-06-14 05:19:52,1,81,2019-06-14
81,Jazz Cartier,2019-06-28 05:19:52,1,82,2019-06-28
82,Jazz Cartier,2019-07-12 05:19:52,1,83,2019-07-12
83,Jazz Cartier,2019-07-26 05:19:52,1,84,2019-07-26
84,Jazz Cartier,2019-08-09 05:19:52,1,85,2019-08-09
85,Jazz Cartier,2019-08-23 05:19:52,1,86,2019-08-23
86,Jazz Cartier,2019-09-06 05:19:52,1,87,2019-09-06
87,Jazz Cartier,2019-09-20 05:19:52,1,88,2019-09-20
88,Jazz Cartier,2019-10-04 05:19:52,1,89,2019-10-04
89,Jazz Cartier,2019-10-18 05:19:52,1,90,2019-10-18
90,Jazz Cartier,2019-11-01 05:19:52,1,91,2019-11-01
91,Jazz Cartier,2019-11-15 05:19:52,1,92,2019-11-15
92,Jazz Cartier,2019-11-29 05:19:52,1,93,2019-11-29
93,Jazz Cartier,2019-12-13 05:19:52,1,94,2019-12-13
94,Jazz Cartier,2019-12-27 05:19:52,1,95,2019-12-27
95,Jazz Cartier,2020-01-10 05:19:52,1,96,2020-01-10
96,Jazz Cartier,2020-01-24 05:19:52,1,97,2020-01-24
97,Jazz Cartier,2020-02-07 05:19:52,1,98,2020-02-07
98,Jazz Cartier,2020-02-21 05:19:52,1,99,2020-02-21
99,Ty Dolla $ign,2016-05-20 05:19:52,0,1,2016-05-20
100,Ty Dolla $ign,2016-06-03 05:19:52,0,2,2016-06-03
101,Ty Dolla $ign,2016-06-17 05:19:52,0,3,2016-06-17
102,Ty Dolla $ign,2016-07-01 05:19:52,0,4,2016-07-01
103,Ty Dolla $ign,2016-07-15 05:19:52,0,5,2016-07-15
104,Ty Dolla $ign,2016-07-29 05:19:52,0,6,2016-07-29
105,Ty Dolla $ign,2016-08-12 05:19:52,0,7,2016-08-12
106,Ty Dolla $ign,2016-08-26 05:19:52,4,8,2016-08-26
107,Ty Dolla $ign,2016-09-09 05:19:52,6,9,2016-09-09
108,Ty Dolla $ign,2016-09-23 05:19:52,6,10,2016-09-23
109,Ty Dolla $ign,2016-10-07 05:19:52,6,11,2016-10-07
110,Ty Dolla $ign,2016-10-21 05:19:52,6,12,2016-10-21
111,Ty Dolla $ign,2016-11-04 05:19:52,6,13,2016-11-04
112,Ty Dolla $ign,2016-11-18 05:19:52,6,14,2016-11-18
113,Ty Dolla $ign,2016-12-02 05:19:52,6,15,2016-12-02
114,Ty Dolla $ign,2016-12-16 05:19:52,6,16,2016-12-16
115,Ty Dolla $ign,2016-12-30 05:19:52,6,17,2016-12-30
116,Ty Dolla $ign,2017-01-13 05:19:52,6,18,2017-01-13
117,Ty Dolla $ign,2017-01-27 05:19:52,6,19,2017-01-27
118,Ty Dolla $ign,2017-02-10 05:19:52,6,20,2017-02-10
