,artist,endTime,sum,week,date
0,Barney Artist,2016-05-19 21:41:27,1,1,2016-05-19
1,Barney Artist,2016-06-02 21:41:27,1,2,2016-06-02
2,Barney Artist,2016-06-16 21:41:27,1,3,2016-06-16
3,Barney Artist,2016-06-30 21:41:27,1,4,2016-06-30
4,Barney Artist,2016-07-14 21:41:27,1,5,2016-07-14
5,Barney Artist,2016-07-28 21:41:27,1,6,2016-07-28
6,Barney Artist,2016-08-11 21:41:27,1,7,2016-08-11
7,Barney Artist,2016-08-25 21:41:27,1,8,2016-08-25
8,Barney Artist,2016-09-08 21:41:27,1,9,2016-09-08
9,Barney Artist,2016-09-22 21:41:27,1,10,2016-09-22
10,Barney Artist,2016-10-06 21:41:27,1,11,2016-10-06
11,Barney Artist,2016-10-20 21:41:27,1,12,2016-10-20
12,Barney Artist,2016-11-03 21:41:27,1,13,2016-11-03
13,Barney Artist,2016-11-17 21:41:27,1,14,2016-11-17
14,Barney Artist,2016-12-01 21:41:27,1,15,2016-12-01
15,Barney Artist,2016-12-15 21:41:27,1,16,2016-12-15
16,Barney Artist,2016-12-29 21:41:27,1,17,2016-12-29
17,Barney Artist,2017-01-12 21:41:27,1,18,2017-01-12
18,Barney Artist,2017-01-26 21:41:27,1,19,2017-01-26
19,Barney Artist,2017-02-09 21:41:27,1,20,2017-02-09
20,Barney Artist,2017-02-23 21:41:27,1,21,2017-02-23
21,Barney Artist,2017-03-09 21:41:27,1,22,2017-03-09
22,Barney Artist,2017-03-23 21:41:27,1,23,2017-03-23
23,Barney Artist,2017-04-06 21:41:27,1,24,2017-04-06
24,Barney Artist,2017-04-20 21:41:27,1,25,2017-04-20
25,Barney Artist,2017-05-04 21:41:27,1,26,2017-05-04
26,Barney Artist,2017-05-18 21:41:27,1,27,2017-05-18
27,Barney Artist,2017-06-01 21:41:27,1,28,2017-06-01
28,Barney Artist,2017-06-15 21:41:27,1,29,2017-06-15
29,Barney Artist,2017-06-29 21:41:27,1,30,2017-06-29
30,Barney Artist,2017-07-13 21:41:27,1,31,2017-07-13
31,Barney Artist,2017-07-27 21:41:27,1,32,2017-07-27
32,Barney Artist,2017-08-10 21:41:27,1,33,2017-08-10
33,Barney Artist,2017-08-24 21:41:27,1,34,2017-08-24
34,Barney Artist,2017-09-07 21:41:27,1,35,2017-09-07
35,Barney Artist,2017-09-21 21:41:27,1,36,2017-09-21
36,Barney Artist,2017-10-05 21:41:27,1,37,2017-10-05
37,Barney Artist,2017-10-19 21:41:27,1,38,2017-10-19
38,Barney Artist,2017-11-02 21:41:27,1,39,2017-11-02
39,Barney Artist,2017-11-16 21:41:27,1,40,2017-11-16
40,Barney Artist,2017-11-30 21:41:27,1,41,2017-11-30
41,Barney Artist,2017-12-14 21:41:27,1,42,2017-12-14
42,Barney Artist,2017-12-28 21:41:27,1,43,2017-12-28
43,Barney Artist,2018-01-11 21:41:27,1,44,2018-01-11
44,Barney Artist,2018-01-25 21:41:27,1,45,2018-01-25
45,Barney Artist,2018-02-08 21:41:27,1,46,2018-02-08
46,Barney Artist,2018-02-22 21:41:27,1,47,2018-02-22
47,Barney Artist,2018-03-08 21:41:27,1,48,2018-03-08
48,Barney Artist,2018-03-22 21:41:27,1,49,2018-03-22
49,Barney Artist,2018-04-05 21:41:27,1,50,2018-04-05
50,Barney Artist,2018-04-19 21:41:27,1,51,2018-04-19
51,Barney Artist,2018-05-03 21:41:27,1,52,2018-05-03
52,Barney Artist,2018-05-17 21:41:27,1,53,2018-05-17
53,Barney Artist,2018-05-31 21:41:27,1,54,2018-05-31
54,Barney Artist,2018-06-14 21:41:27,1,55,2018-06-14
55,Barney Artist,2018-06-28 21:41:27,1,56,2018-06-28
56,Barney Artist,2018-07-12 21:41:27,1,57,2018-07-12
57,Barney Artist,2018-07-26 21:41:27,1,58,2018-07-26
58,Barney Artist,2018-08-09 21:41:27,1,59,2018-08-09
59,Barney Artist,2018-08-23 21:41:27,1,60,2018-08-23
60,Barney Artist,2018-09-06 21:41:27,1,61,2018-09-06
61,Barney Artist,2018-09-20 21:41:27,1,62,2018-09-20
62,Barney Artist,2018-10-04 21:41:27,1,63,2018-10-04
63,Barney Artist,2018-10-18 21:41:27,1,64,2018-10-18
64,Barney Artist,2018-11-01 21:41:27,1,65,2018-11-01
65,Barney Artist,2018-11-15 21:41:27,1,66,2018-11-15
66,Barney Artist,2018-11-29 21:41:27,1,67,2018-11-29
67,Barney Artist,2018-12-13 21:41:27,1,68,2018-12-13
68,Barney Artist,2018-12-27 21:41:27,1,69,2018-12-27
69,Barney Artist,2019-01-10 21:41:27,1,70,2019-01-10
70,Barney Artist,2019-01-24 21:41:27,1,71,2019-01-24
71,Barney Artist,2019-02-07 21:41:27,1,72,2019-02-07
72,Barney Artist,2019-02-21 21:41:27,1,73,2019-02-21
73,Barney Artist,2019-03-07 21:41:27,1,74,2019-03-07
74,Barney Artist,2019-03-21 21:41:27,1,75,2019-03-21
75,Barney Artist,2019-04-04 21:41:27,1,76,2019-04-04
76,Barney Artist,2019-04-18 21:41:27,1,77,2019-04-18
77,Barney Artist,2019-05-02 21:41:27,1,78,2019-05-02
78,Barney Artist,2019-05-16 21:41:27,1,79,2019-05-16
79,Barney Artist,2019-05-30 21:41:27,1,80,2019-05-30
80,Barney Artist,2019-06-13 21:41:27,1,81,2019-06-13
81,Barney Artist,2019-06-27 21:41:27,1,82,2019-06-27
82,Barney Artist,2019-07-11 21:41:27,1,83,2019-07-11
83,Barney Artist,2019-07-25 21:41:27,1,84,2019-07-25
84,Barney Artist,2019-08-08 21:41:27,1,85,2019-08-08
85,Barney Artist,2019-08-22 21:41:27,1,86,2019-08-22
86,Barney Artist,2019-09-05 21:41:27,1,87,2019-09-05
87,Barney Artist,2019-09-19 21:41:27,1,88,2019-09-19
88,Barney Artist,2019-10-03 21:41:27,1,89,2019-10-03
89,Barney Artist,2019-10-17 21:41:27,1,90,2019-10-17
90,Barney Artist,2019-10-31 21:41:27,1,91,2019-10-31
91,Barney Artist,2019-11-14 21:41:27,1,92,2019-11-14
92,Barney Artist,2019-11-28 21:41:27,1,93,2019-11-28
93,Barney Artist,2019-12-12 21:41:27,1,94,2019-12-12
94,Barney Artist,2019-12-26 21:41:27,1,95,2019-12-26
95,Barney Artist,2020-01-09 21:41:27,1,96,2020-01-09
96,Barney Artist,2020-01-23 21:41:27,1,97,2020-01-23
97,Barney Artist,2020-02-06 21:41:27,1,98,2020-02-06
98,Barney Artist,2020-02-20 21:41:27,1,99,2020-02-20
99,Barney Artist,2020-03-05 21:41:27,1,100,2020-03-05
100,Barney Artist,2020-03-19 21:41:27,1,101,2020-03-19
101,Barney Artist,2020-04-02 21:41:27,1,102,2020-04-02
102,Jay Prince,2016-05-19 21:41:27,0,1,2016-05-19
103,Jay Prince,2016-06-02 21:41:27,0,2,2016-06-02
104,Jay Prince,2016-06-16 21:41:27,0,3,2016-06-16
105,Jay Prince,2016-06-30 21:41:27,0,4,2016-06-30
106,Jay Prince,2016-07-14 21:41:27,0,5,2016-07-14
107,Jay Prince,2016-07-28 21:41:27,0,6,2016-07-28
108,Jay Prince,2016-08-11 21:41:27,0,7,2016-08-11
109,Jay Prince,2016-08-25 21:41:27,0,8,2016-08-25
110,Jay Prince,2016-09-08 21:41:27,0,9,2016-09-08
111,Jay Prince,2016-09-22 21:41:27,0,10,2016-09-22
112,Jay Prince,2016-10-06 21:41:27,0,11,2016-10-06
113,Jay Prince,2016-10-20 21:41:27,0,12,2016-10-20
114,Jay Prince,2016-11-03 21:41:27,0,13,2016-11-03
115,Jay Prince,2016-11-17 21:41:27,0,14,2016-11-17
116,Jay Prince,2016-12-01 21:41:27,0,15,2016-12-01
117,Jay Prince,2016-12-15 21:41:27,0,16,2016-12-15
118,Jay Prince,2016-12-29 21:41:27,0,17,2016-12-29
119,Jay Prince,2017-01-12 21:41:27,0,18,2017-01-12
120,Jay Prince,2017-01-26 21:41:27,0,19,2017-01-26
121,Jay Prince,2017-02-09 21:41:27,0,20,2017-02-09
122,Jay Prince,2017-02-23 21:41:27,0,21,2017-02-23
123,Jay Prince,2017-03-09 21:41:27,0,22,2017-03-09
124,Jay Prince,2017-03-23 21:41:27,0,23,2017-03-23
125,Jay Prince,2017-04-06 21:41:27,0,24,2017-04-06
126,Jay Prince,2017-04-20 21:41:27,0,25,2017-04-20
127,Jay Prince,2017-05-04 21:41:27,0,26,2017-05-04
128,Jay Prince,2017-05-18 21:41:27,0,27,2017-05-18
129,Jay Prince,2017-06-01 21:41:27,0,28,2017-06-01
130,Jay Prince,2017-06-15 21:41:27,3,29,2017-06-15
131,Jay Prince,2017-06-29 21:41:27,3,30,2017-06-29
132,Jay Prince,2017-07-13 21:41:27,3,31,2017-07-13
133,Jay Prince,2017-07-27 21:41:27,3,32,2017-07-27
134,Jay Prince,2017-08-10 21:41:27,3,33,2017-08-10
135,Jay Prince,2017-08-24 21:41:27,3,34,2017-08-24
136,Jay Prince,2017-09-07 21:41:27,3,35,2017-09-07
137,Jay Prince,2017-09-21 21:41:27,3,36,2017-09-21
138,Jay Prince,2017-10-05 21:41:27,3,37,2017-10-05
139,Jay Prince,2017-10-19 21:41:27,3,38,2017-10-19
140,Jay Prince,2017-11-02 21:41:27,3,39,2017-11-02
141,Jay Prince,2017-11-16 21:41:27,3,40,2017-11-16
142,Jay Prince,2017-11-30 21:41:27,3,41,2017-11-30
143,Jay Prince,2017-12-14 21:41:27,3,42,2017-12-14
144,Jay Prince,2017-12-28 21:41:27,3,43,2017-12-28
145,Jay Prince,2018-01-11 21:41:27,3,44,2018-01-11
146,Jay Prince,2018-01-25 21:41:27,3,45,2018-01-25
147,Jay Prince,2018-02-08 21:41:27,3,46,2018-02-08
148,Jay Prince,2018-02-22 21:41:27,3,47,2018-02-22
149,Jay Prince,2018-03-08 21:41:27,3,48,2018-03-08
150,Jay Prince,2018-03-22 21:41:27,3,49,2018-03-22
151,Jay Prince,2018-04-05 21:41:27,3,50,2018-04-05
152,Jay Prince,2018-04-19 21:41:27,3,51,2018-04-19
153,Jay Prince,2018-05-03 21:41:27,3,52,2018-05-03
154,Jay Prince,2018-05-17 21:41:27,3,53,2018-05-17
155,Jay Prince,2018-05-31 21:41:27,3,54,2018-05-31
156,Jay Prince,2018-06-14 21:41:27,3,55,2018-06-14
157,Jay Prince,2018-06-28 21:41:27,3,56,2018-06-28
158,Jay Prince,2018-07-12 21:41:27,3,57,2018-07-12
159,Jay Prince,2018-07-26 21:41:27,3,58,2018-07-26
160,Jay Prince,2018-08-09 21:41:27,3,59,2018-08-09
161,Jay Prince,2018-08-23 21:41:27,3,60,2018-08-23
162,Jay Prince,2018-09-06 21:41:27,3,61,2018-09-06
163,Jay Prince,2018-09-20 21:41:27,3,62,2018-09-20
164,Jay Prince,2018-10-04 21:41:27,3,63,2018-10-04
165,Jay Prince,2018-10-18 21:41:27,3,64,2018-10-18
166,Jay Prince,2018-11-01 21:41:27,3,65,2018-11-01
167,Jay Prince,2018-11-15 21:41:27,3,66,2018-11-15
168,Jay Prince,2018-11-29 21:41:27,3,67,2018-11-29
169,Jay Prince,2018-12-13 21:41:27,3,68,2018-12-13
170,Jay Prince,2018-12-27 21:41:27,3,69,2018-12-27
171,Jay Prince,2019-01-10 21:41:27,3,70,2019-01-10
172,Jay Prince,2019-01-24 21:41:27,3,71,2019-01-24
173,Jay Prince,2019-02-07 21:41:27,3,72,2019-02-07
174,Jay Prince,2019-02-21 21:41:27,3,73,2019-02-21
175,Jay Prince,2019-03-07 21:41:27,3,74,2019-03-07
176,Jay Prince,2019-03-21 21:41:27,3,75,2019-03-21
177,Jay Prince,2019-04-04 21:41:27,3,76,2019-04-04
178,Jay Prince,2019-04-18 21:41:27,3,77,2019-04-18
179,Jay Prince,2019-05-02 21:41:27,3,78,2019-05-02
180,Jay Prince,2019-05-16 21:41:27,3,79,2019-05-16
181,Jay Prince,2019-05-30 21:41:27,3,80,2019-05-30
182,Jay Prince,2019-06-13 21:41:27,3,81,2019-06-13
183,Jay Prince,2019-06-27 21:41:27,3,82,2019-06-27
184,Jay Prince,2019-07-11 21:41:27,3,83,2019-07-11
185,Jay Prince,2019-07-25 21:41:27,3,84,2019-07-25
186,Jay Prince,2019-08-08 21:41:27,3,85,2019-08-08
187,Jay Prince,2019-08-22 21:41:27,3,86,2019-08-22
188,Jay Prince,2019-09-05 21:41:27,3,87,2019-09-05
189,Jay Prince,2019-09-19 21:41:27,3,88,2019-09-19
190,Jay Prince,2019-10-03 21:41:27,3,89,2019-10-03
191,Jay Prince,2019-10-17 21:41:27,3,90,2019-10-17
192,Jay Prince,2019-10-31 21:41:27,3,91,2019-10-31
193,Jay Prince,2019-11-14 21:41:27,3,92,2019-11-14
194,Jay Prince,2019-11-28 21:41:27,3,93,2019-11-28
195,Jay Prince,2019-12-12 21:41:27,3,94,2019-12-12
196,Jay Prince,2019-12-26 21:41:27,3,95,2019-12-26
197,Jay Prince,2020-01-09 21:41:27,3,96,2020-01-09
198,Jay Prince,2020-01-23 21:41:27,3,97,2020-01-23
199,Jay Prince,2020-02-06 21:41:27,3,98,2020-02-06
200,Jay Prince,2020-02-20 21:41:27,3,99,2020-02-20
201,Jay Prince,2020-03-05 21:41:27,3,100,2020-03-05
202,Jay Prince,2020-03-19 21:41:27,3,101,2020-03-19
203,Jay Prince,2020-04-02 21:41:27,3,102,2020-04-02
204,Bakar,2016-05-19 21:41:27,0,1,2016-05-19
205,Bakar,2016-06-02 21:41:27,0,2,2016-06-02
206,Bakar,2016-06-16 21:41:27,0,3,2016-06-16
207,Bakar,2016-06-30 21:41:27,0,4,2016-06-30
208,Bakar,2016-07-14 21:41:27,0,5,2016-07-14
209,Bakar,2016-07-28 21:41:27,0,6,2016-07-28
210,Bakar,2016-08-11 21:41:27,0,7,2016-08-11
211,Bakar,2016-08-25 21:41:27,0,8,2016-08-25
212,Bakar,2016-09-08 21:41:27,0,9,2016-09-08
213,Bakar,2016-09-22 21:41:27,0,10,2016-09-22
214,Bakar,2016-10-06 21:41:27,0,11,2016-10-06
215,Bakar,2016-10-20 21:41:27,0,12,2016-10-20
216,Bakar,2016-11-03 21:41:27,0,13,2016-11-03
217,Bakar,2016-11-17 21:41:27,0,14,2016-11-17
218,Bakar,2016-12-01 21:41:27,0,15,2016-12-01
219,Bakar,2016-12-15 21:41:27,0,16,2016-12-15
220,Bakar,2016-12-29 21:41:27,0,17,2016-12-29
221,Bakar,2017-01-12 21:41:27,0,18,2017-01-12
222,Bakar,2017-01-26 21:41:27,0,19,2017-01-26
223,Bakar,2017-02-09 21:41:27,0,20,2017-02-09
224,Bakar,2017-02-23 21:41:27,0,21,2017-02-23
225,Bakar,2017-03-09 21:41:27,0,22,2017-03-09
226,Bakar,2017-03-23 21:41:27,0,23,2017-03-23
227,Bakar,2017-04-06 21:41:27,0,24,2017-04-06
228,Bakar,2017-04-20 21:41:27,0,25,2017-04-20
229,Bakar,2017-05-04 21:41:27,0,26,2017-05-04
230,Bakar,2017-05-18 21:41:27,0,27,2017-05-18
231,Bakar,2017-06-01 21:41:27,0,28,2017-06-01
232,Bakar,2017-06-15 21:41:27,0,29,2017-06-15
233,Bakar,2017-06-29 21:41:27,0,30,2017-06-29
234,Bakar,2017-07-13 21:41:27,0,31,2017-07-13
235,Bakar,2017-07-27 21:41:27,0,32,2017-07-27
236,Bakar,2017-08-10 21:41:27,0,33,2017-08-10
237,Bakar,2017-08-24 21:41:27,0,34,2017-08-24
238,Bakar,2017-09-07 21:41:27,0,35,2017-09-07
239,Bakar,2017-09-21 21:41:27,0,36,2017-09-21
240,Bakar,2017-10-05 21:41:27,0,37,2017-10-05
241,Bakar,2017-10-19 21:41:27,0,38,2017-10-19
242,Bakar,2017-11-02 21:41:27,0,39,2017-11-02
243,Bakar,2017-11-16 21:41:27,0,40,2017-11-16
244,Bakar,2017-11-30 21:41:27,0,41,2017-11-30
245,Bakar,2017-12-14 21:41:27,0,42,2017-12-14
246,Bakar,2017-12-28 21:41:27,0,43,2017-12-28
247,Bakar,2018-01-11 21:41:27,0,44,2018-01-11
248,Bakar,2018-01-25 21:41:27,0,45,2018-01-25
249,Bakar,2018-02-08 21:41:27,0,46,2018-02-08
250,Bakar,2018-02-22 21:41:27,0,47,2018-02-22
251,Bakar,2018-03-08 21:41:27,0,48,2018-03-08
252,Bakar,2018-03-22 21:41:27,0,49,2018-03-22
253,Bakar,2018-04-05 21:41:27,0,50,2018-04-05
254,Bakar,2018-04-19 21:41:27,0,51,2018-04-19
255,Bakar,2018-05-03 21:41:27,0,52,2018-05-03
256,Bakar,2018-05-17 21:41:27,0,53,2018-05-17
257,Bakar,2018-05-31 21:41:27,0,54,2018-05-31
258,Bakar,2018-06-14 21:41:27,0,55,2018-06-14
259,Bakar,2018-06-28 21:41:27,0,56,2018-06-28
260,Bakar,2018-07-12 21:41:27,0,57,2018-07-12
261,Bakar,2018-07-26 21:41:27,0,58,2018-07-26
262,Bakar,2018-08-09 21:41:27,0,59,2018-08-09
263,Bakar,2018-08-23 21:41:27,0,60,2018-08-23
264,Bakar,2018-09-06 21:41:27,0,61,2018-09-06
265,Bakar,2018-09-20 21:41:27,0,62,2018-09-20
266,Bakar,2018-10-04 21:41:27,0,63,2018-10-04
267,Bakar,2018-10-18 21:41:27,0,64,2018-10-18
268,Bakar,2018-11-01 21:41:27,0,65,2018-11-01
269,Bakar,2018-11-15 21:41:27,0,66,2018-11-15
270,Bakar,2018-11-29 21:41:27,0,67,2018-11-29
271,Bakar,2018-12-13 21:41:27,0,68,2018-12-13
272,Bakar,2018-12-27 21:41:27,0,69,2018-12-27
273,Bakar,2019-01-10 21:41:27,0,70,2019-01-10
274,Bakar,2019-01-24 21:41:27,0,71,2019-01-24
275,Bakar,2019-02-07 21:41:27,0,72,2019-02-07
276,Bakar,2019-02-21 21:41:27,0,73,2019-02-21
