,artist,endTime,sum,week,date
0,Moss Kena,2017-03-22 14:52:28,2,1,2017-03-22
1,Moss Kena,2017-04-05 14:52:28,2,2,2017-04-05
2,Moss Kena,2017-04-19 14:52:28,2,3,2017-04-19
3,Moss Kena,2017-05-03 14:52:28,2,4,2017-05-03
4,Moss Kena,2017-05-17 14:52:28,2,5,2017-05-17
5,Moss Kena,2017-05-31 14:52:28,2,6,2017-05-31
6,Moss Kena,2017-06-14 14:52:28,2,7,2017-06-14
7,Moss Kena,2017-06-28 14:52:28,2,8,2017-06-28
8,Moss Kena,2017-07-12 14:52:28,2,9,2017-07-12
9,Moss Kena,2017-07-26 14:52:28,2,10,2017-07-26
10,Moss Kena,2017-08-09 14:52:28,2,11,2017-08-09
11,Moss Kena,2017-08-23 14:52:28,2,12,2017-08-23
12,Moss Kena,2017-09-06 14:52:28,2,13,2017-09-06
13,Moss Kena,2017-09-20 14:52:28,2,14,2017-09-20
14,Moss Kena,2017-10-04 14:52:28,2,15,2017-10-04
15,Moss Kena,2017-10-18 14:52:28,2,16,2017-10-18
16,Moss Kena,2017-11-01 14:52:28,2,17,2017-11-01
17,Moss Kena,2017-11-15 14:52:28,2,18,2017-11-15
18,Moss Kena,2017-11-29 14:52:28,2,19,2017-11-29
19,Moss Kena,2017-12-13 14:52:28,2,20,2017-12-13
20,Moss Kena,2017-12-27 14:52:28,2,21,2017-12-27
21,Moss Kena,2018-01-10 14:52:28,2,22,2018-01-10
22,Moss Kena,2018-01-24 14:52:28,2,23,2018-01-24
23,Moss Kena,2018-02-07 14:52:28,2,24,2018-02-07
24,Moss Kena,2018-02-21 14:52:28,2,25,2018-02-21
25,Moss Kena,2018-03-07 14:52:28,2,26,2018-03-07
26,Moss Kena,2018-03-21 14:52:28,2,27,2018-03-21
27,Moss Kena,2018-04-04 14:52:28,2,28,2018-04-04
28,Moss Kena,2018-04-18 14:52:28,2,29,2018-04-18
29,Moss Kena,2018-05-02 14:52:28,2,30,2018-05-02
30,Moss Kena,2018-05-16 14:52:28,2,31,2018-05-16
31,Moss Kena,2018-05-30 14:52:28,2,32,2018-05-30
32,Moss Kena,2018-06-13 14:52:28,2,33,2018-06-13
33,Moss Kena,2018-06-27 14:52:28,2,34,2018-06-27
34,Moss Kena,2018-07-11 14:52:28,2,35,2018-07-11
35,Moss Kena,2018-07-25 14:52:28,2,36,2018-07-25
36,Moss Kena,2018-08-08 14:52:28,2,37,2018-08-08
37,Moss Kena,2018-08-22 14:52:28,2,38,2018-08-22
38,Moss Kena,2018-09-05 14:52:28,2,39,2018-09-05
39,Moss Kena,2018-09-19 14:52:28,2,40,2018-09-19
40,Moss Kena,2018-10-03 14:52:28,2,41,2018-10-03
41,Moss Kena,2018-10-17 14:52:28,2,42,2018-10-17
42,Moss Kena,2018-10-31 14:52:28,2,43,2018-10-31
43,Moss Kena,2018-11-14 14:52:28,2,44,2018-11-14
44,Moss Kena,2018-11-28 14:52:28,2,45,2018-11-28
45,Moss Kena,2018-12-12 14:52:28,2,46,2018-12-12
46,Moss Kena,2018-12-26 14:52:28,2,47,2018-12-26
47,Moss Kena,2019-01-09 14:52:28,2,48,2019-01-09
48,Moss Kena,2019-01-23 14:52:28,2,49,2019-01-23
49,Moss Kena,2019-02-06 14:52:28,2,50,2019-02-06
50,Moss Kena,2019-02-20 14:52:28,2,51,2019-02-20
51,Moss Kena,2019-03-06 14:52:28,2,52,2019-03-06
52,Moss Kena,2019-03-20 14:52:28,2,53,2019-03-20
