,artist,endTime,sum,week,date
0,GoldLink,2016-03-20 18:28:34,1,1,2016-03-20
1,GoldLink,2016-04-03 18:28:34,1,2,2016-04-03
2,GoldLink,2016-04-17 18:28:34,1,3,2016-04-17
3,GoldLink,2016-05-01 18:28:34,1,4,2016-05-01
4,GoldLink,2016-05-15 18:28:34,2,5,2016-05-15
5,GoldLink,2016-05-29 18:28:34,2,6,2016-05-29
6,GoldLink,2016-06-12 18:28:34,2,7,2016-06-12
7,GoldLink,2016-06-26 18:28:34,2,8,2016-06-26
8,GoldLink,2016-07-10 18:28:34,2,9,2016-07-10
9,GoldLink,2016-07-24 18:28:34,2,10,2016-07-24
10,GoldLink,2016-08-07 18:28:34,2,11,2016-08-07
11,GoldLink,2016-08-21 18:28:34,4,12,2016-08-21
12,GoldLink,2016-09-04 18:28:34,4,13,2016-09-04
13,GoldLink,2016-09-18 18:28:34,4,14,2016-09-18
14,GoldLink,2016-10-02 18:28:34,4,15,2016-10-02
15,GoldLink,2016-10-16 18:28:34,4,16,2016-10-16
16,GoldLink,2016-10-30 18:28:34,4,17,2016-10-30
17,GoldLink,2016-11-13 18:28:34,4,18,2016-11-13
18,GoldLink,2016-11-27 18:28:34,4,19,2016-11-27
19,GoldLink,2016-12-11 18:28:34,4,20,2016-12-11
20,GoldLink,2016-12-25 18:28:34,4,21,2016-12-25
21,GoldLink,2017-01-08 18:28:34,4,22,2017-01-08
22,GoldLink,2017-01-22 18:28:34,4,23,2017-01-22
23,GoldLink,2017-02-05 18:28:34,4,24,2017-02-05
24,GoldLink,2017-02-19 18:28:34,4,25,2017-02-19
25,GoldLink,2017-03-05 18:28:34,4,26,2017-03-05
26,GoldLink,2017-03-19 18:28:34,4,27,2017-03-19
27,GoldLink,2017-04-02 18:28:34,5,28,2017-04-02
28,GoldLink,2017-04-16 18:28:34,5,29,2017-04-16
29,GoldLink,2017-04-30 18:28:34,5,30,2017-04-30
30,GoldLink,2017-05-14 18:28:34,5,31,2017-05-14
31,GoldLink,2017-05-28 18:28:34,5,32,2017-05-28
32,GoldLink,2017-06-11 18:28:34,5,33,2017-06-11
33,GoldLink,2017-06-25 18:28:34,5,34,2017-06-25
34,GoldLink,2017-07-09 18:28:34,5,35,2017-07-09
35,GoldLink,2017-07-23 18:28:34,5,36,2017-07-23
36,GoldLink,2017-08-06 18:28:34,5,37,2017-08-06
37,GoldLink,2017-08-20 18:28:34,5,38,2017-08-20
38,GoldLink,2017-09-03 18:28:34,5,39,2017-09-03
39,GoldLink,2017-09-17 18:28:34,5,40,2017-09-17
40,GoldLink,2017-10-01 18:28:34,5,41,2017-10-01
41,GoldLink,2017-10-15 18:28:34,5,42,2017-10-15
42,GoldLink,2017-10-29 18:28:34,5,43,2017-10-29
43,GoldLink,2017-11-12 18:28:34,5,44,2017-11-12
44,GoldLink,2017-11-26 18:28:34,5,45,2017-11-26
45,GoldLink,2017-12-10 18:28:34,5,46,2017-12-10
46,GoldLink,2017-12-24 18:28:34,5,47,2017-12-24
