,artist,endTime,sum,week,date
0,Big Wild,2016-09-15 21:03:43,2,1,2016-09-15
1,Big Wild,2016-09-29 21:03:43,2,2,2016-09-29
2,Big Wild,2016-10-13 21:03:43,2,3,2016-10-13
3,Big Wild,2016-10-27 21:03:43,2,4,2016-10-27
4,Big Wild,2016-11-10 21:03:43,2,5,2016-11-10
5,Big Wild,2016-11-24 21:03:43,2,6,2016-11-24
6,Big Wild,2016-12-08 21:03:43,2,7,2016-12-08
7,Big Wild,2016-12-22 21:03:43,2,8,2016-12-22
8,Big Wild,2017-01-05 21:03:43,2,9,2017-01-05
9,Big Wild,2017-01-19 21:03:43,2,10,2017-01-19
10,Big Wild,2017-02-02 21:03:43,2,11,2017-02-02
11,Big Wild,2017-02-16 21:03:43,2,12,2017-02-16
12,Big Wild,2017-03-02 21:03:43,2,13,2017-03-02
13,Big Wild,2017-03-16 21:03:43,2,14,2017-03-16
14,Big Wild,2017-03-30 21:03:43,2,15,2017-03-30
15,Big Wild,2017-04-13 21:03:43,2,16,2017-04-13
16,Big Wild,2017-04-27 21:03:43,2,17,2017-04-27
17,Big Wild,2017-05-11 21:03:43,2,18,2017-05-11
18,Big Wild,2017-05-25 21:03:43,2,19,2017-05-25
19,Big Wild,2017-06-08 21:03:43,2,20,2017-06-08
20,Big Wild,2017-06-22 21:03:43,2,21,2017-06-22
21,Big Wild,2017-07-06 21:03:43,2,22,2017-07-06
22,Big Wild,2017-07-20 21:03:43,2,23,2017-07-20
23,Big Wild,2017-08-03 21:03:43,2,24,2017-08-03
24,Big Wild,2017-08-17 21:03:43,2,25,2017-08-17
25,Big Wild,2017-08-31 21:03:43,2,26,2017-08-31
26,Big Wild,2017-09-14 21:03:43,2,27,2017-09-14
27,Big Wild,2017-09-28 21:03:43,2,28,2017-09-28
28,Big Wild,2017-10-12 21:03:43,2,29,2017-10-12
29,Big Wild,2017-10-26 21:03:43,2,30,2017-10-26
30,Big Wild,2017-11-09 21:03:43,2,31,2017-11-09
31,Big Wild,2017-11-23 21:03:43,2,32,2017-11-23
32,Big Wild,2017-12-07 21:03:43,2,33,2017-12-07
33,Big Wild,2017-12-21 21:03:43,2,34,2017-12-21
34,Big Wild,2018-01-04 21:03:43,2,35,2018-01-04
35,Big Wild,2018-01-18 21:03:43,2,36,2018-01-18
36,Big Wild,2018-02-01 21:03:43,2,37,2018-02-01
37,Big Wild,2018-02-15 21:03:43,2,38,2018-02-15
38,Big Wild,2018-03-01 21:03:43,3,39,2018-03-01
39,Big Wild,2018-03-15 21:03:43,3,40,2018-03-15
40,Big Wild,2018-03-29 21:03:43,3,41,2018-03-29
41,Big Wild,2018-04-12 21:03:43,3,42,2018-04-12
42,Big Wild,2018-04-26 21:03:43,3,43,2018-04-26
43,Big Wild,2018-05-10 21:03:43,3,44,2018-05-10
44,Big Wild,2018-05-24 21:03:43,3,45,2018-05-24
45,Big Wild,2018-06-07 21:03:43,3,46,2018-06-07
46,Big Wild,2018-06-21 21:03:43,3,47,2018-06-21
47,Big Wild,2018-07-05 21:03:43,3,48,2018-07-05
48,Big Wild,2018-07-19 21:03:43,3,49,2018-07-19
49,Big Wild,2018-08-02 21:03:43,3,50,2018-08-02
50,Big Wild,2018-08-16 21:03:43,3,51,2018-08-16
51,Big Wild,2018-08-30 21:03:43,3,52,2018-08-30
52,Big Wild,2018-09-13 21:03:43,3,53,2018-09-13
53,Big Wild,2018-09-27 21:03:43,3,54,2018-09-27
54,Big Wild,2018-10-11 21:03:43,3,55,2018-10-11
55,Big Wild,2018-10-25 21:03:43,3,56,2018-10-25
56,Big Wild,2018-11-08 21:03:43,3,57,2018-11-08
