,artist,endTime,sum,week,date
0,MadeinTYO,2016-03-22 16:52:48,1,1,2016-03-22
1,MadeinTYO,2016-04-05 16:52:48,1,2,2016-04-05
2,MadeinTYO,2016-04-19 16:52:48,1,3,2016-04-19
3,MadeinTYO,2016-05-03 16:52:48,1,4,2016-05-03
4,MadeinTYO,2016-05-17 16:52:48,1,5,2016-05-17
5,MadeinTYO,2016-05-31 16:52:48,1,6,2016-05-31
6,MadeinTYO,2016-06-14 16:52:48,1,7,2016-06-14
7,MadeinTYO,2016-06-28 16:52:48,1,8,2016-06-28
8,MadeinTYO,2016-07-12 16:52:48,1,9,2016-07-12
9,MadeinTYO,2016-07-26 16:52:48,1,10,2016-07-26
10,MadeinTYO,2016-08-09 16:52:48,1,11,2016-08-09
11,MadeinTYO,2016-08-23 16:52:48,1,12,2016-08-23
12,MadeinTYO,2016-09-06 16:52:48,1,13,2016-09-06
13,MadeinTYO,2016-09-20 16:52:48,1,14,2016-09-20
14,MadeinTYO,2016-10-04 16:52:48,1,15,2016-10-04
15,MadeinTYO,2016-10-18 16:52:48,1,16,2016-10-18
16,MadeinTYO,2016-11-01 16:52:48,1,17,2016-11-01
17,MadeinTYO,2016-11-15 16:52:48,1,18,2016-11-15
18,MadeinTYO,2016-11-29 16:52:48,1,19,2016-11-29
19,MadeinTYO,2016-12-13 16:52:48,1,20,2016-12-13
20,MadeinTYO,2016-12-27 16:52:48,1,21,2016-12-27
21,MadeinTYO,2017-01-10 16:52:48,1,22,2017-01-10
22,MadeinTYO,2017-01-24 16:52:48,1,23,2017-01-24
23,MadeinTYO,2017-02-07 16:52:48,1,24,2017-02-07
24,MadeinTYO,2017-02-21 16:52:48,1,25,2017-02-21
25,MadeinTYO,2017-03-07 16:52:48,1,26,2017-03-07
26,MadeinTYO,2017-03-21 16:52:48,1,27,2017-03-21
27,MadeinTYO,2017-04-04 16:52:48,1,28,2017-04-04
28,MadeinTYO,2017-04-18 16:52:48,1,29,2017-04-18
29,MadeinTYO,2017-05-02 16:52:48,1,30,2017-05-02
30,MadeinTYO,2017-05-16 16:52:48,1,31,2017-05-16
31,MadeinTYO,2017-05-30 16:52:48,1,32,2017-05-30
32,MadeinTYO,2017-06-13 16:52:48,1,33,2017-06-13
33,MadeinTYO,2017-06-27 16:52:48,1,34,2017-06-27
34,MadeinTYO,2017-07-11 16:52:48,1,35,2017-07-11
35,MadeinTYO,2017-07-25 16:52:48,1,36,2017-07-25
36,MadeinTYO,2017-08-08 16:52:48,1,37,2017-08-08
37,MadeinTYO,2017-08-22 16:52:48,1,38,2017-08-22
38,MadeinTYO,2017-09-05 16:52:48,1,39,2017-09-05
39,MadeinTYO,2017-09-19 16:52:48,1,40,2017-09-19
40,MadeinTYO,2017-10-03 16:52:48,1,41,2017-10-03
41,MadeinTYO,2017-10-17 16:52:48,1,42,2017-10-17
42,MadeinTYO,2017-10-31 16:52:48,1,43,2017-10-31
43,MadeinTYO,2017-11-14 16:52:48,1,44,2017-11-14
44,MadeinTYO,2017-11-28 16:52:48,1,45,2017-11-28
45,MadeinTYO,2017-12-12 16:52:48,1,46,2017-12-12
46,MadeinTYO,2017-12-26 16:52:48,1,47,2017-12-26
47,MadeinTYO,2018-01-09 16:52:48,1,48,2018-01-09
48,MadeinTYO,2018-01-23 16:52:48,1,49,2018-01-23
49,MadeinTYO,2018-02-06 16:52:48,1,50,2018-02-06
50,MadeinTYO,2018-02-20 16:52:48,1,51,2018-02-20
51,MadeinTYO,2018-03-06 16:52:48,1,52,2018-03-06
52,MadeinTYO,2018-03-20 16:52:48,1,53,2018-03-20
53,MadeinTYO,2018-04-03 16:52:48,1,54,2018-04-03
54,MadeinTYO,2018-04-17 16:52:48,1,55,2018-04-17
55,MadeinTYO,2018-05-01 16:52:48,1,56,2018-05-01
56,MadeinTYO,2018-05-15 16:52:48,1,57,2018-05-15
57,MadeinTYO,2018-05-29 16:52:48,1,58,2018-05-29
58,MadeinTYO,2018-06-12 16:52:48,1,59,2018-06-12
59,MadeinTYO,2018-06-26 16:52:48,1,60,2018-06-26
60,MadeinTYO,2018-07-10 16:52:48,1,61,2018-07-10
61,MadeinTYO,2018-07-24 16:52:48,1,62,2018-07-24
62,MadeinTYO,2018-08-07 16:52:48,1,63,2018-08-07
63,MadeinTYO,2018-08-21 16:52:48,1,64,2018-08-21
64,MadeinTYO,2018-09-04 16:52:48,1,65,2018-09-04
65,MadeinTYO,2018-09-18 16:52:48,1,66,2018-09-18
66,MadeinTYO,2018-10-02 16:52:48,1,67,2018-10-02
67,MadeinTYO,2018-10-16 16:52:48,1,68,2018-10-16
68,MadeinTYO,2018-10-30 16:52:48,1,69,2018-10-30
69,MadeinTYO,2018-11-13 16:52:48,1,70,2018-11-13
70,MadeinTYO,2018-11-27 16:52:48,1,71,2018-11-27
71,MadeinTYO,2018-12-11 16:52:48,1,72,2018-12-11
72,MadeinTYO,2018-12-25 16:52:48,1,73,2018-12-25
73,MadeinTYO,2019-01-08 16:52:48,1,74,2019-01-08
74,MadeinTYO,2019-01-22 16:52:48,1,75,2019-01-22
75,MadeinTYO,2019-02-05 16:52:48,1,76,2019-02-05
76,MadeinTYO,2019-02-19 16:52:48,1,77,2019-02-19
77,MadeinTYO,2019-03-05 16:52:48,1,78,2019-03-05
78,MadeinTYO,2019-03-19 16:52:48,1,79,2019-03-19
79,MadeinTYO,2019-04-02 16:52:48,1,80,2019-04-02
80,MadeinTYO,2019-04-16 16:52:48,1,81,2019-04-16
81,MadeinTYO,2019-04-30 16:52:48,1,82,2019-04-30
82,MadeinTYO,2019-05-14 16:52:48,1,83,2019-05-14
83,MadeinTYO,2019-05-28 16:52:48,1,84,2019-05-28
84,MadeinTYO,2019-06-11 16:52:48,1,85,2019-06-11
85,MadeinTYO,2019-06-25 16:52:48,1,86,2019-06-25
86,MadeinTYO,2019-07-09 16:52:48,1,87,2019-07-09
87,MadeinTYO,2019-07-23 16:52:48,1,88,2019-07-23
88,MadeinTYO,2019-08-06 16:52:48,1,89,2019-08-06
89,MadeinTYO,2019-08-20 16:52:48,1,90,2019-08-20
90,MadeinTYO,2019-09-03 16:52:48,1,91,2019-09-03
91,MadeinTYO,2019-09-17 16:52:48,1,92,2019-09-17
92,MadeinTYO,2019-10-01 16:52:48,1,93,2019-10-01
93,MadeinTYO,2019-10-15 16:52:48,1,94,2019-10-15
94,MadeinTYO,2019-10-29 16:52:48,1,95,2019-10-29
95,MadeinTYO,2019-11-12 16:52:48,1,96,2019-11-12
96,MadeinTYO,2019-11-26 16:52:48,1,97,2019-11-26
97,MadeinTYO,2019-12-10 16:52:48,1,98,2019-12-10
98,MadeinTYO,2019-12-24 16:52:48,1,99,2019-12-24
99,MadeinTYO,2020-01-07 16:52:48,1,100,2020-01-07
100,MadeinTYO,2020-01-21 16:52:48,1,101,2020-01-21
101,MadeinTYO,2020-02-04 16:52:48,1,102,2020-02-04
102,MadeinTYO,2020-02-18 16:52:48,1,103,2020-02-18
103,MadeinTYO,2020-03-03 16:52:48,1,104,2020-03-03
104,MadeinTYO,2020-03-17 16:52:48,1,105,2020-03-17
105,Da$H,2016-03-22 16:52:48,0,1,2016-03-22
106,Da$H,2016-04-05 16:52:48,0,2,2016-04-05
