,artist,endTime,sum,week,date
0,Martin Solveig,2018-02-16 03:03:35,1,1,2018-02-16
1,Martin Solveig,2018-03-02 03:03:35,3,2,2018-03-02
2,Martin Solveig,2018-03-16 03:03:35,3,3,2018-03-16
3,Martin Solveig,2018-03-30 03:03:35,3,4,2018-03-30
4,Martin Solveig,2018-04-13 03:03:35,4,5,2018-04-13
5,Martin Solveig,2018-04-27 03:03:35,4,6,2018-04-27
6,Martin Solveig,2018-05-11 03:03:35,4,7,2018-05-11
7,Martin Solveig,2018-05-25 03:03:35,4,8,2018-05-25
8,Martin Solveig,2018-06-08 03:03:35,4,9,2018-06-08
9,Martin Solveig,2018-06-22 03:03:35,4,10,2018-06-22
10,Kaskade,2018-02-16 03:03:35,0,1,2018-02-16
11,Kaskade,2018-03-02 03:03:35,0,2,2018-03-02
12,Kaskade,2018-03-16 03:03:35,0,3,2018-03-16
13,Kaskade,2018-03-30 03:03:35,0,4,2018-03-30
14,Kaskade,2018-04-13 03:03:35,1,5,2018-04-13
15,Kaskade,2018-04-27 03:03:35,1,6,2018-04-27
16,Kaskade,2018-05-11 03:03:35,1,7,2018-05-11
17,Kaskade,2018-05-25 03:03:35,1,8,2018-05-25
18,Kaskade,2018-06-08 03:03:35,1,9,2018-06-08
19,Kaskade,2018-06-22 03:03:35,1,10,2018-06-22
