,artist,endTime,sum,week,date
0,Nat King Cole,2016-03-25 23:27:24,2,1,2016-03-25
1,Nat King Cole,2016-04-08 23:27:24,2,2,2016-04-08
2,Nat King Cole,2016-04-22 23:27:24,2,3,2016-04-22
3,Nat King Cole,2016-05-06 23:27:24,2,4,2016-05-06
4,Nat King Cole,2016-05-20 23:27:24,2,5,2016-05-20
5,Nat King Cole,2016-06-03 23:27:24,2,6,2016-06-03
6,Nat King Cole,2016-06-17 23:27:24,2,7,2016-06-17
7,Nat King Cole,2016-07-01 23:27:24,2,8,2016-07-01
8,Nat King Cole,2016-07-15 23:27:24,2,9,2016-07-15
9,Nat King Cole,2016-07-29 23:27:24,2,10,2016-07-29
10,Nat King Cole,2016-08-12 23:27:24,2,11,2016-08-12
11,Nat King Cole,2016-08-26 23:27:24,2,12,2016-08-26
12,Nat King Cole,2016-09-09 23:27:24,2,13,2016-09-09
13,Nat King Cole,2016-09-23 23:27:24,2,14,2016-09-23
14,Nat King Cole,2016-10-07 23:27:24,2,15,2016-10-07
15,Nat King Cole,2016-10-21 23:27:24,2,16,2016-10-21
16,Nat King Cole,2016-11-04 23:27:24,2,17,2016-11-04
17,Nat King Cole,2016-11-18 23:27:24,2,18,2016-11-18
18,Nat King Cole,2016-12-02 23:27:24,2,19,2016-12-02
19,Nat King Cole,2016-12-16 23:27:24,2,20,2016-12-16
20,Nat King Cole,2016-12-30 23:27:24,2,21,2016-12-30
21,Nat King Cole,2017-01-13 23:27:24,2,22,2017-01-13
22,Nat King Cole,2017-01-27 23:27:24,2,23,2017-01-27
23,Nat King Cole,2017-02-10 23:27:24,2,24,2017-02-10
24,Nat King Cole,2017-02-24 23:27:24,2,25,2017-02-24
25,Nat King Cole,2017-03-10 23:27:24,2,26,2017-03-10
26,Nat King Cole,2017-03-24 23:27:24,2,27,2017-03-24
27,Nat King Cole,2017-04-07 23:27:24,2,28,2017-04-07
28,Nat King Cole,2017-04-21 23:27:24,2,29,2017-04-21
29,Nat King Cole,2017-05-05 23:27:24,2,30,2017-05-05
30,Nat King Cole,2017-05-19 23:27:24,2,31,2017-05-19
31,Nat King Cole,2017-06-02 23:27:24,2,32,2017-06-02
32,Nat King Cole,2017-06-16 23:27:24,2,33,2017-06-16
33,Nat King Cole,2017-06-30 23:27:24,2,34,2017-06-30
34,Nat King Cole,2017-07-14 23:27:24,2,35,2017-07-14
35,Nat King Cole,2017-07-28 23:27:24,2,36,2017-07-28
36,Nat King Cole,2017-08-11 23:27:24,2,37,2017-08-11
37,Nat King Cole,2017-08-25 23:27:24,2,38,2017-08-25
38,Nat King Cole,2017-09-08 23:27:24,2,39,2017-09-08
39,Nat King Cole,2017-09-22 23:27:24,2,40,2017-09-22
40,Nat King Cole,2017-10-06 23:27:24,2,41,2017-10-06
41,Nat King Cole,2017-10-20 23:27:24,2,42,2017-10-20
42,Nat King Cole,2017-11-03 23:27:24,2,43,2017-11-03
43,Nat King Cole,2017-11-17 23:27:24,2,44,2017-11-17
