,id,value,parent,num_child
0,Genre,,,
1,stomp and holler,0.0,Genre,1.0
2,stomp and holler ,113.0,stomp and holler,0.0
3,hip hop,0.0,Genre,37.0
4,hip hop ,205.0,hip hop,0.0
5,rap,0.0,Genre,46.0
6,rap ,195.0,rap,0.0
7,edm,0.0,Genre,6.0
8,edm ,73.0,edm,0.0
9,pop,0.0,Genre,70.0
10,pop ,172.0,pop,0.0
11,r&b,0.0,Genre,11.0
12,r&b ,45.0,r&b,0.0
13,soul,0.0,Genre,19.0
14,soul ,99.0,soul,0.0
15,jazz,0.0,Genre,32.0
16,jazz ,30.0,jazz,0.0
17,rock,0.0,Genre,57.0
18,rock ,209.0,rock,0.0
19,funk,0.0,Genre,10.0
20,funk ,99.0,funk,0.0
21,folk,0.0,Genre,13.0
22,folk ,55.0,folk,0.0
23,house,0.0,Genre,24.0
24,house ,12.0,house,0.0
25,blues,0.0,Genre,17.0
26,blues ,17.0,blues,0.0
27,country,0.0,Genre,10.0
28,country ,23.0,country,0.0
29,indietronica,0.0,Genre,2.0
30,indietronica ,115.0,indietronica,0.0
31,east coast hip hop,47.0,hip hop,0.0
32,old school hip hop,9.0,hip hop,0.0
33,atl hip hop,25.0,hip hop,0.0
34,miami hip hop,10.0,hip hop,0.0
35,r&b en espanol,2.0,r&b,0.0
36,new jersey rap,8.0,rap,0.0
37,queens hip hop,9.0,hip hop,0.0
38,west coast rap,14.0,rap,0.0
39,dirty south rap,24.0,rap,0.0
40,southern hip hop,87.0,hip hop,0.0
41,hardcore hip hop,53.0,hip hop,0.0
42,new orleans funk,9.0,funk,0.0
43,rhythm and blues,11.0,blues,0.0
44,new orleans jazz,8.0,jazz,0.0
45,conscious hip hop,36.0,hip hop,0.0
46,new orleans blues,6.0,blues,0.0
47,deep groove house,3.0,house,0.0
48,australian hip hop,10.0,hip hop,0.0
49,brill building pop,41.0,pop,0.0
50,alternative hip hop,0.0,hip hop,2.0
51,alternative hip hop ,64.0,alternative hip hop,0.0
52,underground hip hop,0.0,hip hop,3.0
53,underground hip hop ,83.0,underground hip hop,0.0
54,uk contemporary r&b,12.0,r&b,0.0
55,canadian contemporary r&b,4.0,r&b,0.0
56,g funk,7.0,funk,0.0
57,p funk,2.0,funk,0.0
58,pop edm,18.0,edm,0.0
59,nu jazz,10.0,jazz,0.0
60,art pop,95.0,pop,0.0
61,hip pop,29.0,pop,0.0
62,pop rap,0.0,rap,2.0
63,pop rap ,132.0,pop rap,0.0
64,neo r&b,10.0,r&b,0.0
65,art rock,69.0,rock,0.0
66,cali rap,8.0,rap,0.0
67,neo soul,37.0,soul,0.0
68,jazz rap,14.0,rap,0.0
69,pop rock,0.0,pop,2.0
70,pop rock ,66.0,pop rock,0.0
71,dream pop,0.0,pop,3.0
72,dream pop ,53.0,dream pop,0.0
73,indie pop,0.0,pop,3.0
74,indie pop ,211.0,indie pop,0.0
75,soft rock,77.0,rock,0.0
76,jazz trio,0.0,jazz,2.0
77,jazz trio ,4.0,jazz trio,0.0
78,dance pop,114.0,pop,0.0
79,free jazz,4.0,jazz,0.0
80,folk punk,10.0,folk,0.0
81,trap soul,11.0,rap,0.0
82,power pop,0.0,pop,2.0
83,power pop ,14.0,power pop,0.0
84,cool jazz,30.0,jazz,0.0
85,indie r&b,49.0,r&b,0.0
86,hard rock,0.0,rock,4.0
87,hard rock ,34.0,hard rock,0.0
88,noise pop,74.0,pop,0.0
89,folk rock,0.0,rock,3.0
90,folk rock ,114.0,folk rock,0.0
91,soul jazz,13.0,soul,0.0
92,jazz funk,15.0,jazz,0.0
93,bass house,2.0,house,0.0
94,vapor soul,37.0,soul,0.0
95,jazz blues,10.0,jazz,0.0
96,album rock,77.0,rock,0.0
97,dance rock,36.0,rock,0.0
98,indie rock,0.0,rock,8.0
99,indie rock ,218.0,indie rock,0.0
100,vapor trap,16.0,rap,0.0
101,soul blues,7.0,soul,0.0
102,synth funk,3.0,funk,0.0
103,freak folk,97.0,folk,0.0
104,deep house,7.0,house,0.0
105,philly rap,7.0,rap,0.0
106,indie soul,92.0,soul,0.0
107,gaming edm,4.0,edm,0.0
108,indie jazz,14.0,jazz,0.0
109,indie folk,0.0,folk,3.0
110,indie folk ,138.0,indie folk,0.0
