,artistName,total_listens,genres
8247,The Beatles,1273,psychedelic rock
8248,The Beatles,1273,rock
8246,The Beatles,1273,merseybeat
8245,The Beatles,1273,classic rock
8244,The Beatles,1273,british invasion
4677,Kendrick Lamar,984,west coast rap
4676,Kendrick Lamar,984,rap
4675,Kendrick Lamar,984,hip hop
4674,Kendrick Lamar,984,conscious hip hop
8049,Tame Impala,861,australian psych
8050,Tame Impala,861,neo-psychedelic
3442,Grateful Dead,793,cosmic american
3443,Grateful Dead,793,country rock
3444,Grateful Dead,793,folk rock
3445,Grateful Dead,793,jam band
3446,Grateful Dead,793,mellow gold
3447,Grateful Dead,793,psychedelic rock
3448,Grateful Dead,793,rock
3449,Grateful Dead,793,roots rock
3441,Grateful Dead,793,classic rock
656,Beach House,737,modern dream pop
655,Beach House,737,indietronica
653,Beach House,737,indie pop
654,Beach House,737,indie rock
652,Beach House,737,freak folk
646,Beach House,737,art pop
648,Beach House,737,chamber pop
649,Beach House,737,chillwave
650,Beach House,737,dream pop
651,Beach House,737,experimental pop
647,Beach House,737,baltimore indie
9686,Whitney,719,stomp and holler
9685,Whitney,719,indie rock
9681,Whitney,719,chamber pop
9684,Whitney,719,indie pop
9682,Whitney,719,chicago indie
9683,Whitney,719,indie folk
9388,Twin Peaks,656,chicago indie
9389,Twin Peaks,656,indie garage rock
9390,Twin Peaks,656,indie rock
9391,Twin Peaks,656,modern power pop
5250,Mac Miller,655,pittsburgh rap
5251,Mac Miller,655,rap
5249,Mac Miller,655,hip hop
4854,Lake Street Dive,616,boston rock
4855,Lake Street Dive,616,indie folk
4857,Lake Street Dive,616,stomp and holler
4856,Lake Street Dive,616,new americana
1374,Car Seat Headrest,611,art pop
1376,Car Seat Headrest,611,indie pop
1379,Car Seat Headrest,611,lo-fi
1375,Car Seat Headrest,611,chamber pop
1373,Car Seat Headrest,611,anti-folk
1372,Car Seat Headrest,611,alternative rock
1378,Car Seat Headrest,611,indie rock
1377,Car Seat Headrest,611,indie punk
4607,Kanye West,518,rap
4606,Kanye West,518,chicago rap
9472,Vampire Weekend,472,baroque pop
9473,Vampire Weekend,472,indie pop
9474,Vampire Weekend,472,indie rock
9475,Vampire Weekend,472,modern rock
990,Bob Dylan,467,folk rock
991,Bob Dylan,467,mellow gold
986,Bob Dylan,467,album rock
988,Bob Dylan,467,country rock
989,Bob Dylan,467,folk
987,Bob Dylan,467,classic rock
992,Bob Dylan,467,rock
993,Bob Dylan,467,roots rock
994,Bob Dylan,467,singer-songwriter
9697,Wilco,376,alternative country
9701,Wilco,376,indie folk
9702,Wilco,376,indie pop
9700,Wilco,376,chicago indie
9699,Wilco,376,chamber pop
9706,Wilco,376,slow core
9705,Wilco,376,roots rock
9698,Wilco,376,alternative rock
9707,Wilco,376,stomp and holler
9703,Wilco,376,indie rock
9704,Wilco,376,rock
2845,Father John Misty,369,indie folk
2849,Father John Misty,369,stomp and holler
2842,Father John Misty,369,art pop
2843,Father John Misty,369,chamber pop
2844,Father John Misty,369,freak folk
2846,Father John Misty,369,indie pop
2847,Father John Misty,369,indie rock
2848,Father John Misty,369,rock
67,A Tribe Called Quest,364,hip hop
69,A Tribe Called Quest,364,queens hip hop
