,artistName,total_listens,genres
8238,The Beatles,1273,british invasion
8239,The Beatles,1273,classic rock
8240,The Beatles,1273,merseybeat
8241,The Beatles,1273,psychedelic rock
8242,The Beatles,1273,rock
4669,Kendrick Lamar,984,conscious hip hop
4670,Kendrick Lamar,984,hip hop
4671,Kendrick Lamar,984,rap
4672,Kendrick Lamar,984,west coast rap
8044,Tame Impala,861,neo-psychedelic
8043,Tame Impala,861,australian psych
3443,Grateful Dead,793,rock
3436,Grateful Dead,793,classic rock
3437,Grateful Dead,793,cosmic american
3444,Grateful Dead,793,roots rock
3442,Grateful Dead,793,psychedelic rock
3441,Grateful Dead,793,mellow gold
3440,Grateful Dead,793,jam band
3439,Grateful Dead,793,folk rock
3438,Grateful Dead,793,country rock
656,Beach House,737,modern dream pop
653,Beach House,737,indie pop
651,Beach House,737,experimental pop
650,Beach House,737,dream pop
649,Beach House,737,chillwave
648,Beach House,737,chamber pop
655,Beach House,737,indietronica
654,Beach House,737,indie rock
652,Beach House,737,freak folk
646,Beach House,737,art pop
647,Beach House,737,baltimore indie
9678,Whitney,719,indie pop
9680,Whitney,719,stomp and holler
9679,Whitney,719,indie rock
9677,Whitney,719,indie folk
9676,Whitney,719,chicago indie
9675,Whitney,719,chamber pop
9382,Twin Peaks,656,chicago indie
9383,Twin Peaks,656,indie garage rock
9385,Twin Peaks,656,modern power pop
9384,Twin Peaks,656,indie rock
5245,Mac Miller,655,pittsburgh rap
5244,Mac Miller,655,hip hop
5246,Mac Miller,655,rap
4852,Lake Street Dive,616,stomp and holler
4851,Lake Street Dive,616,new americana
4849,Lake Street Dive,616,boston rock
4850,Lake Street Dive,616,indie folk
1369,Car Seat Headrest,611,art pop
1372,Car Seat Headrest,611,indie punk
1367,Car Seat Headrest,611,alternative rock
1370,Car Seat Headrest,611,chamber pop
1371,Car Seat Headrest,611,indie pop
1368,Car Seat Headrest,611,anti-folk
1373,Car Seat Headrest,611,indie rock
1374,Car Seat Headrest,611,lo-fi
1514,Chance the Rapper,559,chicago rap
1515,Chance the Rapper,559,conscious hip hop
1516,Chance the Rapper,559,hip hop
1517,Chance the Rapper,559,pop rap
1518,Chance the Rapper,559,rap
4601,Kanye West,518,chicago rap
4602,Kanye West,518,rap
9469,Vampire Weekend,472,modern rock
9468,Vampire Weekend,472,indie rock
9467,Vampire Weekend,472,indie pop
9466,Vampire Weekend,472,baroque pop
993,Bob Dylan,467,roots rock
987,Bob Dylan,467,classic rock
986,Bob Dylan,467,album rock
989,Bob Dylan,467,folk
990,Bob Dylan,467,folk rock
988,Bob Dylan,467,country rock
994,Bob Dylan,467,singer-songwriter
992,Bob Dylan,467,rock
991,Bob Dylan,467,mellow gold
9696,Wilco,376,indie pop
9697,Wilco,376,indie rock
9698,Wilco,376,rock
9701,Wilco,376,stomp and holler
9695,Wilco,376,indie folk
9694,Wilco,376,chicago indie
9693,Wilco,376,chamber pop
9692,Wilco,376,alternative rock
9699,Wilco,376,roots rock
9691,Wilco,376,alternative country
9700,Wilco,376,slow core
2838,Father John Misty,369,chamber pop
2839,Father John Misty,369,freak folk
2840,Father John Misty,369,indie folk
2841,Father John Misty,369,indie pop
2842,Father John Misty,369,indie rock
2843,Father John Misty,369,rock
2844,Father John Misty,369,stomp and holler
2837,Father John Misty,369,art pop
64,A Tribe Called Quest,364,east coast hip hop
62,A Tribe Called Quest,364,alternative hip hop
63,A Tribe Called Quest,364,conscious hip hop
70,A Tribe Called Quest,364,rap
69,A Tribe Called Quest,364,queens hip hop
68,A Tribe Called Quest,364,jazz rap
67,A Tribe Called Quest,364,hip hop
66,A Tribe Called Quest,364,hardcore hip hop
65,A Tribe Called Quest,364,gangster rap
9528,Vulfpeck,333,funk rock
9529,Vulfpeck,333,instrumental funk
9527,Vulfpeck,333,ann arbor indie
2166,Delicate Steve,324,shimmer pop
2165,Delicate Steve,324,new jersey indie
5242,Mac DeMarco,320,edmonton indie
216,Allah-Las,295,neo-psychedelic
215,Allah-Las,295,indie surf
214,Allah-Las,295,indie garage rock
212,Allah-Las,295,freak folk
213,Allah-Las,295,garage rock
217,Allah-Las,295,noise pop
4255,Joey Bada$$,291,southern hip hop
4254,Joey Bada$$,291,rap
4253,Joey Bada$$,291,hip hop
4252,Joey Bada$$,291,conscious hip hop
4256,Joey Bada$$,291,underground hip hop
6909,Real Estate,288,noise pop
6903,Real Estate,288,indie pop
2479,Drugdealer,288,neo-psychedelic
2478,Drugdealer,288,indie rock
2477,Drugdealer,288,indie garage rock
2476,Drugdealer,288,freak folk
2475,Drugdealer,288,experimental pop
6900,Real Estate,288,chillwave
6901,Real Estate,288,experimental pop
6902,Real Estate,288,freak folk
6911,Real Estate,288,shimmer pop
6910,Real Estate,288,nu gaze
6898,Real Estate,288,art pop
6899,Real Estate,288,chamber pop
6908,Real Estate,288,new jersey indie
2480,Drugdealer,288,psychedelic pop
6907,Real Estate,288,modern rock
6906,Real Estate,288,lo-fi
6905,Real Estate,288,indietronica
6904,Real Estate,288,indie rock
6624,Post Animal,276,neo-psychedelic
6623,Post Animal,276,indie garage rock
3851,J. Cole,275,hip hop
3850,J. Cole,275,conscious hip hop
3854,J. Cole,275,rap
3853,J. Cole,275,pop rap
3852,J. Cole,275,nc hip hop
8009,TV Girl,265,indie garage rock
8007,TV Girl,265,chillwave
8008,TV Girl,265,experimental pop
8006,TV Girl,265,art pop
8010,TV Girl,265,indie pop
8011,TV Girl,265,indie rock
8012,TV Girl,265,indietronica
9437,Unknown Mortal Orchestra,260,dream pop
9440,Unknown Mortal Orchestra,260,indie soul
9446,Unknown Mortal Orchestra,260,psychedelic pop
9436,Unknown Mortal Orchestra,260,chillwave
9439,Unknown Mortal Orchestra,260,indie rock
9441,Unknown Mortal Orchestra,260,indietronica
9442,Unknown Mortal Orchestra,260,kiwi rock
9443,Unknown Mortal Orchestra,260,neo-psychedelic
9438,Unknown Mortal Orchestra,260,indie pop
9444,Unknown Mortal Orchestra,260,new rave
9445,Unknown Mortal Orchestra,260,portland hip hop
8130,Tennis,249,chamber pop
8139,Tennis,249,shimmer pop
8135,Tennis,249,experimental pop
8134,Tennis,249,electropop
8137,Tennis,249,indie rock
8138,Tennis,249,indie surf
8136,Tennis,249,indie pop
8129,Tennis,249,art pop
8133,Tennis,249,dream pop
8132,Tennis,249,denver indie
8131,Tennis,249,chillwave
380,Arcade Fire,246,indie pop
373,Arcade Fire,246,alternative dance
375,Arcade Fire,246,baroque pop
376,Arcade Fire,246,canadian indie
377,Arcade Fire,246,chamber pop
378,Arcade Fire,246,dance-punk
379,Arcade Fire,246,garage rock
374,Arcade Fire,246,alternative rock
381,Arcade Fire,246,indie rock
382,Arcade Fire,246,indietronica
383,Arcade Fire,246,modern rock
384,Arcade Fire,246,new rave
385,Arcade Fire,246,permanent wave
386,Arcade Fire,246,quebec indie
387,Arcade Fire,246,rock
1308,Cage The Elephant,240,modern rock
1307,Cage The Elephant,240,modern alternative rock
1306,Cage The Elephant,240,indie rock
1305,Cage The Elephant,240,indie pop
1304,Cage The Elephant,240,garage rock
1309,Cage The Elephant,240,punk blues
1310,Cage The Elephant,240,rock
8855,The Shins,238,portland indie
8856,The Shins,238,stomp and holler
8853,The Shins,238,indie rock
8852,The Shins,238,indie pop
8851,The Shins,238,indie folk
8850,The Shins,238,garage rock
8849,The Shins,238,chamber pop
8848,The Shins,238,alternative rock
8847,The Shins,238,albuquerque indie
8854,The Shins,238,modern rock
8922,The Strokes,222,rock
8921,The Strokes,222,permanent wave
8920,The Strokes,222,modern rock
8919,The Strokes,222,garage rock
8918,The Strokes,222,alternative rock
9197,Tom Misch,212,indie soul
4819,LCD Soundsystem,198,dance-punk
4822,LCD Soundsystem,198,garage rock
4828,LCD Soundsystem,198,rock
4818,LCD Soundsystem,198,alternative rock
4825,LCD Soundsystem,198,indietronica
4824,LCD Soundsystem,198,indie rock
4823,LCD Soundsystem,198,indie pop
4826,LCD Soundsystem,198,modern rock
4827,LCD Soundsystem,198,new rave
8742,The National,198,indie rock
8743,The National,198,modern rock
4821,LCD Soundsystem,198,electronica
4820,LCD Soundsystem,198,electronic rock
4817,LCD Soundsystem,198,alternative dance
8741,The National,198,chamber pop
3046,Foxygen,192,indietronica
3041,Foxygen,192,freak folk
3049,Foxygen,192,noise pop
3048,Foxygen,192,new rave
3047,Foxygen,192,neo-psychedelic
3044,Foxygen,192,indie pop
3040,Foxygen,192,experimental pop
3039,Foxygen,192,chamber pop
3037,Foxygen,192,alternative rock
3045,Foxygen,192,indie rock
3038,Foxygen,192,baroque pop
3043,Foxygen,192,indie garage rock
3042,Foxygen,192,garage rock
2413,Dr. Dog,190,chamber pop
2419,Dr. Dog,190,modern folk rock
2412,Dr. Dog,190,alternative rock
2414,Dr. Dog,190,funk
2415,Dr. Dog,190,garage rock
2416,Dr. Dog,190,indie folk
2417,Dr. Dog,190,indie pop
2418,Dr. Dog,190,indie rock
2420,Dr. Dog,190,modern rock
2421,Dr. Dog,190,philly indie
