,artistName,total_listens,genres
8244,The Beatles,1273,classic rock
4677,Kendrick Lamar,984,west coast rap
8049,Tame Impala,861,neo-psychedelic
3443,Grateful Dead,793,country rock
652,Beach House,737,freak folk
9683,Whitney,719,indie pop
9388,Twin Peaks,656,indie garage rock
5251,Mac Miller,655,rap
4856,Lake Street Dive,616,new americana
1378,Car Seat Headrest,611,indie rock
4606,Kanye West,518,chicago rap
9472,Vampire Weekend,472,indie pop
990,Bob Dylan,467,folk rock
9703,Wilco,376,rock
2848,Father John Misty,369,rock
65,A Tribe Called Quest,364,gangster rap
1520,Chance the Rapper,345,conscious hip hop
9534,Vulfpeck,333,instrumental funk
2170,Delicate Steve,324,new jersey indie
5247,Mac DeMarco,320,edmonton indie
215,Allah-Las,295,indie surf
4261,Joey Bada$$,291,underground hip hop
2485,Drugdealer,288,psychedelic pop
6905,Real Estate,288,chillwave
6628,Post Animal,276,indie garage rock
3856,J. Cole,275,hip hop
8017,TV Girl,265,indietronica
9449,Unknown Mortal Orchestra,260,new rave
8137,Tennis,249,denver indie
382,Arcade Fire,246,indietronica
1314,Cage The Elephant,240,punk blues
8852,The Shins,238,albuquerque indie
8923,The Strokes,222,alternative rock
1301,CHANCE THE RAPPER,214,chicago rap
9202,Tom Misch,212,indie soul
4831,LCD Soundsystem,198,modern rock
8748,The National,198,modern rock
3054,Foxygen,192,noise pop
2420,Dr. Dog,190,garage rock
5572,Mick Jenkins,186,hip hop
3062,Frank Ocean,178,alternative r&b
166,Alabama Shakes,178,rock
2122,Death Cab for Cutie,176,indie pop
5238,MGMT,168,rock
9012,The Walters,168,indie pop
1587,Chicano Batman,163,la indie
9115,Theo Katzman,160,retro soul
7725,St. Paul & The Broken Bones,159,soul
0,(Sandy) Alex G,157,alternative rock
4110,Jeff Rosenstock,153,anti-folk
7692,Spin Doctors,147,post-grunge
7887,Sufjan Stevens,146,singer-songwriter
8972,The Velvet Underground,142,art rock
9568,Wallows,139,rock
8119,Temples,138,neo-psychedelic
4269,Johann Sebastian Bach,136,classical
7222,Saba,133,rap
10042,boy pablo,132,indie pop
4934,Leon Bridges,131,soul
7893,Summer Salt,130,indie garage rock
83,A$AP Rocky,126,east coast hip hop
6280,OutKast,125,dirty south rap
511,BROCKHAMPTON,123,rap
8229,The Band,121,mellow gold
5929,Nas,121,gangster rap
8324,The California Honeydrops,121,deep new americana
6085,Night Moves,117,indie rock
6895,Ray Charles,116,soul blues
9536,Vundabar,114,indie garage rock
847,Billy Bragg,107,traditional folk
5516,Men I Trust,106,indie pop
4204,Jimi Hendrix,105,album rock
4071,Jay Som,104,dream pop
8773,The Notorious B.I.G.,104,rap
6561,Pinegrove,102,indie folk
6572,Pink Floyd,99,symphonic rock
9679,White Reaper,98,modern power pop
3384,Gorillaz,97,art pop
8526,The Head and the Heart,96,new americana
5736,Moon Taxi,94,stomp and holler
6116,Noname,93,escape room
6955,Rex Orange County,93,pop
4813,Kweku Collins,92,underground hip hop
6180,Okey Dokey,92,indie garage rock
6424,Peach Pit,90,indie pop
7074,Rolling Blackouts Coastal Fever,88,australian garage punk
9341,Trampled by Turtles,87,stomp and holler
6598,Pond,87,indie rock
2448,Drake,86,canadian pop
5645,Mild High Club,84,indie garage rock
3902,Jack Johnson,81,neo mellow
8830,The Rolling Stones,79,album rock
2355,Djo,77,psychedelic pop
4566,KIDS SEE GHOSTS,76,underground hip hop
6014,Neutral Milk Hotel,73,alternative rock
9886,Yo La Tengo,72,freak folk
8607,The Lemon Twigs,72,psychedelic pop
6733,Q-Tip,70,queens hip hop
3666,Hers,70,indie pop
1792,Counting Crows,70,pop rock
6824,Radiohead,68,rock
6168,Of Monsters And Men,68,stomp and holler
8389,The Decemberists,66,indie rock
1233,Brother Ali,66,minnesota hip hop
2802,FKJ,64,filter house
6726,Pusha T,61,trap
2600,Electric Guest,61,indie rock
1919,DAngelo,61,soul
2318,Disclosure,59,house
9277,Toro Y Moi,59,alternative dance
8796,The Postal Service,59,indie pop
4725,Kid Cudi,58,rap
10110,together PANGEA,56,indie punk
5128,Louis Armstrong,56,vocal jazz
4263,Joey Dosik,50,retro soul
7249,Sam Evian,50,neo-psychedelic
294,Anderson .Paak,50,escape room
8485,The Flaming Lips,49,okc indie
4100,Jazz Spastiks,48,chillhop
4062,Jay Rock,47,pop rap
102,Acid Dad,46,neo-psychedelic
1868,Crumb,45,indie garage rock
3067,Frank Sinatra,44,adult standards
108,Action Bronson,44,rap
3254,Generationals,43,alternative dance
3676,Hiatus Kaiyote,43,shiver pop
4719,Khruangbin,41,neo-psychedelic
6593,Polo & Pan,41,dark disco
7869,Sturgill Simpson,41,roots rock
2692,Eminem,40,rap
3734,Houndmouth,39,indie pop
5822,Mt. Joy,39,stomp and holler
5248,Mac Demarco,39,edmonton indie
9928,Young Thug,38,atl trap
493,BADBADNOTGOOD,38,escape room
6392,Paul McCartney,38,folk rock
4915,Lawrence,38,modern funk
7242,Sam Cooke,38,soul
776,Big Sean,37,southern hip hop
8254,The Beta Band,37,scottish indie
7853,Still Woozy,37,bedroom pop
5653,Miles Davis,36,jazz trumpet
8520,The Growlers,36,indie garage rock
4344,John Lennon,35,art rock
520,Babe Rainbow,35,indie garage rock
8744,The Murlocs,35,indie garage rock
9358,Trombone Shorty,35,modern funk
6755,R.E.M.,35,alternative rock
9345,Travis Scott,35,rap
8634,The Lumineers,34,folk-pop
5373,Marvin Gaye,34,classic soul
8637,The Macpodz,34,michigan indie
7696,Spiritualized,33,art rock
1786,Cotton Jones,33,indie rock
3851,J Dilla,33,hip hop
7573,Snarky Puppy,33,contemporary jazz
5132,Louis The Child,33,pop
6038,Niccolò Paganini,33,early romantic era
9406,Ty Segall,32,freak folk
3506,Grizzly Bear,32,new rave
4559,KAYTRANADA,32,lgbtq+ hip hop
9422,"Tyler, The Creator",32,hip hop
6069,Nicki Minaj,32,dance pop
5169,Ludwig van Beethoven,31,classical
2022,Daniel Caesar,31,canadian contemporary r&b
7749,Steely Dan,31,country rock
1990,DRAM,30,trap
2985,Flume,29,australian dance
9477,Van Morrison,29,folk rock
7880,Sublime,29,reggae fusion
5093,Logic,28,rap
598,Banes World,28,indie garage rock
6534,Phoebe Bridgers,28,indie folk
3296,Gibbz,28,indie poptimism
4918,Led Zeppelin,28,album rock
3088,Frankie Cosmos,28,indie rock
8177,The Allman Brothers Band,27,rock
9521,Vince Staples,27,underground hip hop
8557,The Impressions,27,motown
2955,Fleet Foxes,27,stomp and holler
5900,NRBQ,27,pub rock
3571,H.E.R.,26,r&b
4803,Kurt Vile,26,alternative rock
9677,White Noise Therapy,26,sleep
6419,Pavement,26,new wave
6106,No Vacation,26,indie garage rock
6296,PHONY PPL,26,alternative r&b
7593,Soccer Mommy,26,art pop
3975,James Taylor,25,folk
8040,Talking Heads,25,art rock
3989,Jamie xx,25,electronica
1381,Cardi B,25,pop rap
9870,Yellow Days,24,bedroom pop
785,Big Thief,23,indie pop
3347,GoldLink,23,dmv rap
9994,Zac Brown Band,23,modern country rock
2550,Earl Sweatshirt,23,experimental hip hop
6169,Of Monsters and Men,23,folk-pop
8578,The Killers,23,modern rock
6257,Otis Redding,23,classic soul
6630,Post Malone,23,dfw rap
4875,Langhorne Slim,22,stomp and holler
634,Beach Fossils,22,chillwave
6081,Nico,22,post-punk
1525,Charles Bradley,22,soul
9633,Waylon Jennings,22,country
3269,George Harrison,22,folk rock
9014,The War On Drugs,22,indie rock
3201,Galantis,21,electro house
255,Alvvays,21,toronto indie
4959,Lightnin Hopkins,20,blues
6147,OMI,20,tropical house
5145,Loving,20,experimental pop
1732,Coldplay,20,pop
3788,Innanet James,20,dmv rap
2058,Dave Matthews Band,20,pop rock
9073,The Zombies,19,rock
5088,Local Natives,19,vapor soul
736,Beyoncé,19,dance pop
4118,Jeff Tweedy,19,chamber pop
3161,Future,19,atl hip hop
27,21 Savage,19,trap
2020,Danger Doom,19,alternative hip hop
1586,Chicago Mass Choir,19,praise
2334,Divino Niño,18,indie garage rock
9132,Thundercat,18,afrofuturism
5718,Modest Mouse,18,washington indie
5187,LunchMoney Lewis,18,miami hip hop
434,Armin van Buuren,18,trance
7370,Sharon Van Etten,17,indie folk
7821,Steve Lacy,17,rap
1004,Bob Marley & The Wailers,17,reggae
730,Better Oblivion Community Center,17,art pop
6858,Ramin Djawadi,17,german soundtrack
2164,Dehd,17,indie rock
8346,The Clash,16,rock
5198,Lynyrd Skynyrd,16,hard rock
4971,Lil Dicky,16,rap
2717,Eric Clapton,16,album rock
1307,Caamp,16,new americana
8776,The OMys,16,alternative r&b
3329,Gladys Knight & The Pips,16,funk
8575,The Jungle Giants,16,australian indie
1010,Bobby Hebb,16,motown
5943,Natural Child,16,freak folk
3833,Isaiah Rashad,16,hip hop
1047,Bombay Bicycle Club,16,new rave
4027,Japanese Breakfast,16,philly indie
1670,Clarence Carter,15,soul
1594,Childish Gambino,15,pop rap
7716,Spoon,15,modern rock
5209,M83,15,french shoegaze
7846,Stevie Wonder,15,motown
9332,Trampled By Turtles,15,stomp and holler
4705,Kevin Morby,15,soul
1334,Calvin Harris,15,uk dance
5411,Matoma,15,electro house
6400,Paul Simon,15,permanent wave
6097,Nina Simone,14,soul
7553,Smino,14,underground hip hop
288,Aminé,14,hip hop
2653,Elliott Smith,14,alternative rock
5484,Meek Mill,14,trap
6694,Punch Brothers,14,chamber pop
6529,Phish,14,blues rock
8585,The Kinks,14,dance rock
4456,Joyce Manor,14,indie punk
5225,MF DOOM,14,hip hop
9424,U2,14,irish rock
8779,The Omys,14,alternative r&b
6917,Rebelution,13,reggae rock
3626,Harry Styles,13,pop
2050,Daryl Hall & John Oates,13,mellow gold
856,Billy Joel,13,soft rock
923,Blind Pilot,13,indie pop
8573,The Isley Brothers,13,soul
1121,Boston,13,soft rock
3061,Francis and the Lights,13,alternative r&b
9137,Tierra Whack,13,escape room
5276,Maggie Rogers,13,pop
2304,Dirty Heads,13,reggae fusion
6342,Pangea,13,indie punk
8307,The Buttertones,13,indie surf
7306,ScHoolboy Q,12,gangster rap
9214,Tom Petty and the Heartbreakers,12,album rock
7185,SOB X RBE,12,cali rap
9529,Vista Kicks,12,indie pop
3545,Guster,12,indie pop
