,trackName,artistName,total_listens_track,genres
12947,Do You Remember,CHANCE THE RAPPER,58,conscious hip hop
12946,Do You Remember,CHANCE THE RAPPER,58,chicago rap
12950,Do You Remember,CHANCE THE RAPPER,58,rap
12949,Do You Remember,CHANCE THE RAPPER,58,pop rap
12948,Do You Remember,CHANCE THE RAPPER,58,hip hop
13842,Drunk Drivers/Killer Whales,Car Seat Headrest,56,indie rock
13841,Drunk Drivers/Killer Whales,Car Seat Headrest,56,indie punk
13840,Drunk Drivers/Killer Whales,Car Seat Headrest,56,indie pop
13839,Drunk Drivers/Killer Whales,Car Seat Headrest,56,chamber pop
13838,Drunk Drivers/Killer Whales,Car Seat Headrest,56,art pop
13837,Drunk Drivers/Killer Whales,Car Seat Headrest,56,anti-folk
13836,Drunk Drivers/Killer Whales,Car Seat Headrest,56,alternative rock
13843,Drunk Drivers/Killer Whales,Car Seat Headrest,56,lo-fi
52754,Tossing Tears,Twin Peaks,51,indie rock
52755,Tossing Tears,Twin Peaks,51,modern power pop
52753,Tossing Tears,Twin Peaks,51,indie garage rock
52752,Tossing Tears,Twin Peaks,51,chicago indie
38590,Polly,Whitney,50,indie folk
38591,Polly,Whitney,50,indie pop
38592,Polly,Whitney,50,indie rock
38589,Polly,Whitney,50,chicago indie
38588,Polly,Whitney,50,chamber pop
38593,Polly,Whitney,50,stomp and holler
40007,Real Love Baby,Father John Misty,47,freak folk
40012,Real Love Baby,Father John Misty,47,stomp and holler
40011,Real Love Baby,Father John Misty,47,rock
45311,Space Song,Beach House,47,art pop
40010,Real Love Baby,Father John Misty,47,indie rock
40009,Real Love Baby,Father John Misty,47,indie pop
40008,Real Love Baby,Father John Misty,47,indie folk
34778,No Woman,Whitney,47,chamber pop
40006,Real Love Baby,Father John Misty,47,chamber pop
45319,Space Song,Beach House,47,indie rock
40005,Real Love Baby,Father John Misty,47,art pop
34783,No Woman,Whitney,47,stomp and holler
45313,Space Song,Beach House,47,chamber pop
34782,No Woman,Whitney,47,indie rock
34781,No Woman,Whitney,47,indie pop
45312,Space Song,Beach House,47,baltimore indie
45318,Space Song,Beach House,47,indie pop
45314,Space Song,Beach House,47,chillwave
34779,No Woman,Whitney,47,chicago indie
45317,Space Song,Beach House,47,freak folk
45316,Space Song,Beach House,47,experimental pop
45320,Space Song,Beach House,47,indietronica
45321,Space Song,Beach House,47,modern dream pop
34780,No Woman,Whitney,47,indie folk
45315,Space Song,Beach House,47,dream pop
28279,Let It Happen,Tame Impala,44,australian psych
28280,Let It Happen,Tame Impala,44,neo-psychedelic
34580,No Matter Where We Go,Whitney,42,indie folk
34582,No Matter Where We Go,Whitney,42,indie rock
34583,No Matter Where We Go,Whitney,42,stomp and holler
34579,No Matter Where We Go,Whitney,42,chicago indie
34578,No Matter Where We Go,Whitney,42,chamber pop
34581,No Matter Where We Go,Whitney,42,indie pop
19783,HUMBLE.,Kendrick Lamar,41,hip hop
18848,Golden Days,Whitney,41,chamber pop
57714,YAH.,Kendrick Lamar,41,conscious hip hop
20234,Harmony Hall,Vampire Weekend,41,baroque pop
20235,Harmony Hall,Vampire Weekend,41,indie pop
20236,Harmony Hall,Vampire Weekend,41,indie rock
