,trackName,artistName,total_listens_track,genres
51771,This American Life,Salvia Plath,312,baroque pop
12950,Do You Remember,CHANCE THE RAPPER,58,rap
13842,Drunk Drivers/Killer Whales,Car Seat Headrest,56,indie rock
52754,Tossing Tears,Twin Peaks,51,indie garage rock
38592,Polly,Whitney,50,indie rock
34778,No Woman,Whitney,47,chamber pop
45311,Space Song,Beach House,47,art pop
40012,Real Love Baby,Father John Misty,47,stomp and holler
28279,Let It Happen,Tame Impala,44,australian psych
34583,No Matter Where We Go,Whitney,42,stomp and holler
57716,YAH.,Kendrick Lamar,41,hip hop
19782,HUMBLE.,Kendrick Lamar,41,conscious hip hop
20237,Harmony Hall,Vampire Weekend,41,modern rock
18853,Golden Days,Whitney,41,stomp and holler
26210,"Jesus, Etc.",Wilco,40,chamber pop
54184,Valleys (My Love),Whitney,40,chamber pop
11199,DUCKWORTH.,Kendrick Lamar,40,west coast rap
27488,LUST.,Kendrick Lamar,39,hip hop
11076,Cute Thing,Car Seat Headrest,39,anti-folk
35854,On My Own,Whitney,39,chamber pop
16162,Fill in the Blank,Car Seat Headrest,38,chamber pop
12732,Disciples,Tame Impala,38,australian psych
11285,Dance Dance,Cage The Elephant,38,rock
12813,Dive,Beach House,37,indietronica
14032,ELEMENT.,Kendrick Lamar,37,rap
3048,Apocalypse Dreams,Tame Impala,37,neo-psychedelic
14806,Eventually,Tame Impala,36,neo-psychedelic
57028,Wigwam,Bob Dylan,35,country rock
7332,Butterfly,Delicate Steve,35,new jersey indie
28521,Levitation,Beach House,35,chillwave
11483,Darling,Real Estate,35,indie pop
16713,Follow,Whitney,35,chamber pop
9503,Clear a Space,Lake Street Dive,35,boston rock
16671,Flyin High,Delicate Steve,34,new jersey indie
40132,Red Moon,Whitney,34,chicago indie
11186,DNA.,Kendrick Lamar,34,conscious hip hop
59217,untitled 02 | 06.23.2014.,Kendrick Lamar,34,west coast rap
37027,PRIDE.,Kendrick Lamar,34,conscious hip hop
43512,Shuggie,Foxygen,34,indie garage rock
23700,I Want You Back,Lake Street Dive,33,new americana
44576,Sober to Death,Car Seat Headrest,33,indie punk
29570,Lose Your Smile,Beach House,33,chamber pop
15341,FEEL.,Kendrick Lamar,33,hip hop
15339,FEAR.,Kendrick Lamar,33,west coast rap
45402,Special Moment,Post Animal,33,neo-psychedelic
27482,LOVE. FEAT. ZACARI.,Kendrick Lamar,33,west coast rap
15979,Feels Like We Only Go Backwards,Tame Impala,33,neo-psychedelic
15359,FOR MY PEOPLE,Joey Bada$$,32,conscious hip hop
50096,The Less I Know The Better,Tame Impala,32,australian psych
11729,Dave’s Song,Whitney,31,indie pop
2787,Angels (feat. Saba),Chance the Rapper,31,pop rap
73,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isnt a Problem),Car Seat Headrest,31,alternative rock
5835,Blessings (feat. Jamila Woods),Chance the Rapper,31,conscious hip hop
40520,Rich Girl,Lake Street Dive,31,new americana
44240,Small Worlds,Mac Miller,31,rap
48232,Talking Backwards,Real Estate,30,chamber pop
28649,Light Upon the Lake,Whitney,30,indie folk
57694,XXX. FEAT. U2.,Kendrick Lamar,30,conscious hip hop
2014,All Mine,Kanye West,30,chicago rap
49556,The Falls,Whitney,30,chamber pop
5944,Blue Coupe,Twin Peaks,30,indie rock
19027,Good Kisser,Lake Street Dive,30,stomp and holler
59213,untitled 01 | 08.19.2014.,Kendrick Lamar,30,west coast rap
