,artistName,total_listens,genres
1748,Grateful Dead,566,roots rock
1744,Grateful Dead,566,jam band
1740,Grateful Dead,566,classic rock
1747,Grateful Dead,566,rock
1746,Grateful Dead,566,psychedelic rock
1745,Grateful Dead,566,mellow gold
1743,Grateful Dead,566,folk rock
1742,Grateful Dead,566,country rock
1741,Grateful Dead,566,cosmic american
4267,The Beatles,535,rock
4265,The Beatles,535,merseybeat
4264,The Beatles,535,classic rock
4266,The Beatles,535,psychedelic rock
4263,The Beatles,535,british invasion
4891,Twin Peaks,448,modern power pop
4890,Twin Peaks,448,indie rock
4889,Twin Peaks,448,indie garage rock
4888,Twin Peaks,448,chicago indie
4153,Tame Impala,415,neo-psychedelic
4152,Tame Impala,415,australian psych
4952,Vampire Weekend,293,modern rock
4951,Vampire Weekend,293,indie rock
4950,Vampire Weekend,293,indie pop
4949,Vampire Weekend,293,baroque pop
5059,Whitney,292,chamber pop
5061,Whitney,292,indie folk
5062,Whitney,292,indie pop
5064,Whitney,292,stomp and holler
5060,Whitney,292,chicago indie
5063,Whitney,292,indie rock
5073,Wilco,263,indie pop
5075,Wilco,263,rock
5078,Wilco,263,stomp and holler
5068,Wilco,263,alternative country
5069,Wilco,263,alternative rock
5070,Wilco,263,chamber pop
5071,Wilco,263,chicago indie
5072,Wilco,263,indie folk
5077,Wilco,263,slow core
5074,Wilco,263,indie rock
5076,Wilco,263,roots rock
137,Allah-Las,252,garage rock
136,Allah-Las,252,freak folk
139,Allah-Las,252,indie surf
138,Allah-Las,252,indie garage rock
140,Allah-Las,252,neo-psychedelic
141,Allah-Las,252,noise pop
1304,Drugdealer,230,experimental pop
1306,Drugdealer,230,indie garage rock
1307,Drugdealer,230,indie rock
1309,Drugdealer,230,psychedelic pop
1308,Drugdealer,230,neo-psychedelic
1305,Drugdealer,230,freak folk
4188,Tennis,222,dream pop
4190,Tennis,222,experimental pop
4185,Tennis,222,chamber pop
4187,Tennis,222,denver indie
4194,Tennis,222,shimmer pop
4186,Tennis,222,chillwave
4193,Tennis,222,indie surf
4184,Tennis,222,art pop
4192,Tennis,222,indie rock
4189,Tennis,222,electropop
4191,Tennis,222,indie pop
835,Chance the Rapper,220,hip hop
837,Chance the Rapper,220,rap
833,Chance the Rapper,220,chicago rap
834,Chance the Rapper,220,conscious hip hop
836,Chance the Rapper,220,pop rap
4589,The National,184,indie rock
4590,The National,184,modern rock
4588,The National,184,chamber pop
2680,Mac Miller,172,hip hop
2681,Mac Miller,172,pittsburgh rap
2682,Mac Miller,172,rap
0,(Sandy) Alex G,149,alternative rock
11,(Sandy) Alex G,149,philly indie
7,(Sandy) Alex G,149,indie garage rock
1,(Sandy) Alex G,149,art pop
2,(Sandy) Alex G,149,chamber pop
3,(Sandy) Alex G,149,dream pop
4,(Sandy) Alex G,149,experimental pop
10,(Sandy) Alex G,149,noise pop
9,(Sandy) Alex G,149,indie rock
5,(Sandy) Alex G,149,freak folk
8,(Sandy) Alex G,149,indie pop
6,(Sandy) Alex G,149,indie folk
3938,Spin Doctors,147,post-grunge
3937,Spin Doctors,147,pop rock
3939,Spin Doctors,147,rock
3936,Spin Doctors,147,alternative rock
4182,Temples,144,garage rock
4183,Temples,144,neo-psychedelic
4034,Summer Salt,124,indie garage rock
4035,Summer Salt,124,indie pop
4686,The Strokes,121,modern rock
4687,The Strokes,121,permanent wave
4684,The Strokes,121,alternative rock
4685,The Strokes,121,garage rock
4688,The Strokes,121,rock
4712,The Velvet Underground,108,classic rock
4711,The Velvet Underground,108,art rock
4710,The Velvet Underground,108,alternative rock
4716,The Velvet Underground,108,protopunk
4714,The Velvet Underground,108,melancholia
4715,The Velvet Underground,108,permanent wave
4717,The Velvet Underground,108,psychedelic rock
4718,The Velvet Underground,108,rock
4713,The Velvet Underground,108,folk rock
764,Car Seat Headrest,101,lo-fi
757,Car Seat Headrest,101,alternative rock
758,Car Seat Headrest,101,anti-folk
759,Car Seat Headrest,101,art pop
760,Car Seat Headrest,101,chamber pop
761,Car Seat Headrest,101,indie pop
762,Car Seat Headrest,101,indie punk
763,Car Seat Headrest,101,indie rock
3319,Pinegrove,99,indie pop
3318,Pinegrove,99,indie folk
3321,Pinegrove,99,new jersey indie
3322,Pinegrove,99,small room
3320,Pinegrove,99,indie rock
5058,White Reaper,95,modern power pop
5057,White Reaper,95,indie punk
1269,Dr. Dog,94,funk
1273,Dr. Dog,94,indie rock
1274,Dr. Dog,94,modern folk rock
1275,Dr. Dog,94,modern rock
1276,Dr. Dog,94,philly indie
1277,Dr. Dog,94,shimmer pop
1278,Dr. Dog,94,stomp and holler
1271,Dr. Dog,94,indie folk
1270,Dr. Dog,94,garage rock
1272,Dr. Dog,94,indie pop
1268,Dr. Dog,94,chamber pop
1267,Dr. Dog,94,alternative rock
407,Beach House,93,baltimore indie
414,Beach House,93,indie rock
413,Beach House,93,indie pop
412,Beach House,93,freak folk
411,Beach House,93,experimental pop
415,Beach House,93,indietronica
416,Beach House,93,modern dream pop
410,Beach House,93,dream pop
406,Beach House,93,art pop
409,Beach House,93,chillwave
408,Beach House,93,chamber pop
4998,Vundabar,92,boston indie
5000,Vundabar,92,indie rock
4999,Vundabar,92,indie garage rock
729,Cage The Elephant,92,indie pop
728,Cage The Elephant,92,garage rock
734,Cage The Elephant,92,rock
733,Cage The Elephant,92,punk blues
732,Cage The Elephant,92,modern rock
730,Cage The Elephant,92,indie rock
731,Cage The Elephant,92,modern alternative rock
4945,Unknown Mortal Orchestra,91,neo-psychedelic
4940,Unknown Mortal Orchestra,91,indie pop
4941,Unknown Mortal Orchestra,91,indie rock
4948,Unknown Mortal Orchestra,91,psychedelic pop
4947,Unknown Mortal Orchestra,91,portland hip hop
4946,Unknown Mortal Orchestra,91,new rave
4944,Unknown Mortal Orchestra,91,kiwi rock
4943,Unknown Mortal Orchestra,91,indietronica
4938,Unknown Mortal Orchestra,91,chillwave
4939,Unknown Mortal Orchestra,91,dream pop
4942,Unknown Mortal Orchestra,91,indie soul
4661,The Shins,88,stomp and holler
4660,The Shins,88,portland indie
4652,The Shins,88,albuquerque indie
4659,The Shins,88,modern rock
4658,The Shins,88,indie rock
4657,The Shins,88,indie pop
4656,The Shins,88,indie folk
4655,The Shins,88,garage rock
4654,The Shins,88,chamber pop
4653,The Shins,88,alternative rock
3117,Okey Dokey,85,nashville indie
2101,Jay Som,85,bay area indie
3116,Okey Dokey,85,indie garage rock
2100,Jay Som,85,art pop
2108,Jay Som,85,indie pop
2102,Jay Som,85,chamber pop
2103,Jay Som,85,chillwave
2104,Jay Som,85,dream pop
2105,Jay Som,85,experimental pop
2111,Jay Som,85,oakland indie
2106,Jay Som,85,freak folk
2107,Jay Som,85,indie folk
2112,Jay Som,85,small room
2109,Jay Som,85,indie rock
2110,Jay Som,85,indietronica
1094,Death Cab for Cutie,80,indie pop
1098,Death Cab for Cutie,80,washington indie
1095,Death Cab for Cutie,80,indie rock
1096,Death Cab for Cutie,80,modern rock
1097,Death Cab for Cutie,80,pop rock
5253,together PANGEA,78,indie garage rock
5254,together PANGEA,78,indie punk
4432,The Head and the Heart,78,indie pop
3108,Of Monsters and Men,78,folk-pop
3109,Of Monsters and Men,78,indie pop
3113,Of Monsters and Men,78,stomp and holler
4430,The Head and the Heart,78,folk-pop
4431,The Head and the Heart,78,indie folk
4433,The Head and the Heart,78,neo mellow
4434,The Head and the Heart,78,new americana
4435,The Head and the Heart,78,seattle indie
4436,The Head and the Heart,78,stomp and holler
3112,Of Monsters and Men,78,pop rock
3111,Of Monsters and Men,78,modern rock
3110,Of Monsters and Men,78,metropopolis
5216,boy pablo,77,norwegian indie
5215,boy pablo,77,indie pop
5214,boy pablo,77,bergen indie
5213,boy pablo,77,bedroom pop
1215,Djo,72,psychedelic pop
2870,Mild High Club,71,neo-psychedelic
2869,Mild High Club,71,indie garage rock
2182,Joey Bada$$,70,underground hip hop
3039,Neutral Milk Hotel,70,e6fi
2181,Joey Bada$$,70,southern hip hop
3035,Neutral Milk Hotel,70,alternative rock
3036,Neutral Milk Hotel,70,anti-folk
3037,Neutral Milk Hotel,70,athens indie
2180,Joey Bada$$,70,rap
3038,Neutral Milk Hotel,70,chamber pop
2179,Joey Bada$$,70,hip hop
2178,Joey Bada$$,70,conscious hip hop
3045,Neutral Milk Hotel,70,noise pop
3044,Neutral Milk Hotel,70,modern rock
3043,Neutral Milk Hotel,70,lo-fi
3042,Neutral Milk Hotel,70,indie rock
3040,Neutral Milk Hotel,70,freak folk
3041,Neutral Milk Hotel,70,indie pop
2348,Kanye West,68,chicago rap
2349,Kanye West,68,rap
1867,Hers,67,indie garage rock
1868,Hers,67,indie pop
1869,Hers,67,liverpool indie
230,Arcade Fire,67,indie rock
222,Arcade Fire,67,alternative dance
223,Arcade Fire,67,alternative rock
224,Arcade Fire,67,baroque pop
225,Arcade Fire,67,canadian indie
226,Arcade Fire,67,chamber pop
227,Arcade Fire,67,dance-punk
228,Arcade Fire,67,garage rock
229,Arcade Fire,67,indie pop
231,Arcade Fire,67,indietronica
232,Arcade Fire,67,modern rock
233,Arcade Fire,67,new rave
234,Arcade Fire,67,permanent wave
235,Arcade Fire,67,quebec indie
236,Arcade Fire,67,rock
2788,Men I Trust,66,indie pop
5162,Yo La Tengo,64,permanent wave
5153,Yo La Tengo,64,chamber pop
5152,Yo La Tengo,64,art pop
5151,Yo La Tengo,64,anti-folk
5150,Yo La Tengo,64,alternative rock
5160,Yo La Tengo,64,new jersey indie
5158,Yo La Tengo,64,indie rock
5154,Yo La Tengo,64,dream pop
5163,Yo La Tengo,64,slow core
5161,Yo La Tengo,64,noise pop
5155,Yo La Tengo,64,freak folk
5156,Yo La Tengo,64,indie folk
5157,Yo La Tengo,64,indie pop
5159,Yo La Tengo,64,lo-fi
2462,Kweku Collins,61,underground hip hop
332,Babe Rainbow,61,australian reggae fusion
333,Babe Rainbow,61,indie garage rock
334,Babe Rainbow,61,neo-psychedelic
331,Babe Rainbow,61,australian garage punk
1450,Father John Misty,59,rock
1449,Father John Misty,59,indie rock
1451,Father John Misty,59,stomp and holler
1448,Father John Misty,59,indie pop
1447,Father John Misty,59,indie folk
