,artistName,total_listens,genres
8247,The Beatles,1273,psychedelic rock
4677,Kendrick Lamar,984,west coast rap
8049,Tame Impala,861,australian psych
3442,Grateful Dead,793,cosmic american
656,Beach House,737,modern dream pop
9686,Whitney,719,stomp and holler
9388,Twin Peaks,656,chicago indie
5250,Mac Miller,655,pittsburgh rap
4854,Lake Street Dive,616,boston rock
1374,Car Seat Headrest,611,art pop
4607,Kanye West,518,rap
9472,Vampire Weekend,472,baroque pop
990,Bob Dylan,467,folk rock
9697,Wilco,376,alternative country
2845,Father John Misty,369,indie folk
67,A Tribe Called Quest,364,hip hop
1522,Chance the Rapper,345,pop rap
9535,Vulfpeck,333,instrumental funk
2170,Delicate Steve,324,new jersey indie
5247,Mac DeMarco,320,edmonton indie
7231,Salvia Plath,312,baroque pop
213,Allah-Las,295,garage rock
4261,Joey Bada$$,291,underground hip hop
2481,Drugdealer,288,freak folk
6912,Real Estate,288,modern rock
6629,Post Animal,276,neo-psychedelic
3859,J. Cole,275,rap
8016,TV Girl,265,indie pop
9449,Unknown Mortal Orchestra,260,neo-psychedelic
8138,Tennis,249,denver indie
378,Arcade Fire,246,dance-punk
1313,Cage The Elephant,240,modern rock
8860,The Shins,238,modern rock
8928,The Strokes,222,rock
1301,CHANCE THE RAPPER,214,chicago rap
9203,Tom Misch,212,indie soul
4823,LCD Soundsystem,198,alternative rock
8749,The National,198,modern rock
3046,Foxygen,192,freak folk
2428,Dr. Dog,190,stomp and holler
5574,Mick Jenkins,186,underground hip hop
166,Alabama Shakes,178,rock
3066,Frank Ocean,178,pop
2126,Death Cab for Cutie,176,washington indie
5237,MGMT,168,modern rock
9013,The Walters,168,indie pop
1587,Chicano Batman,163,la indie
9115,Theo Katzman,160,modern funk
7723,St. Paul & The Broken Bones,159,funk
2,(Sandy) Alex G,157,chamber pop
4115,Jeff Rosenstock,153,lo-fi
7693,Spin Doctors,147,post-grunge
7888,Sufjan Stevens,146,singer-songwriter
8972,The Velvet Underground,142,alternative rock
9568,Wallows,139,modern rock
8120,Temples,138,neo-psychedelic
4269,Johann Sebastian Bach,136,classical
7223,Saba,133,underground hip hop
10042,boy pablo,132,bergen indie
4933,Leon Bridges,131,modern blues
7895,Summer Salt,130,indie pop
84,A$AP Rocky,126,hip hop
6284,OutKast,125,southern hip hop
510,BROCKHAMPTON,123,pop
8223,The Band,121,classic rock
5933,Nas,121,rap
8328,The California Honeydrops,121,modern funk
6085,Night Moves,117,indie rock
6896,Ray Charles,116,vocal jazz
9536,Vundabar,114,boston indie
839,Billy Bragg,107,alternative rock
5516,Men I Trust,106,indie pop
4205,Jimi Hendrix,105,blues rock
4071,Jay Som,104,dream pop
8770,The Notorious B.I.G.,104,east coast hip hop
6563,Pinegrove,102,indie rock
6566,Pink Floyd,99,album rock
9679,White Reaper,98,indie punk
3383,Gorillaz,97,alternative hip hop
8523,The Head and the Heart,96,folk-pop
5732,Moon Taxi,94,indietronica
6114,Noname,93,alternative r&b
6953,Rex Orange County,93,bedroom pop
6181,Okey Dokey,92,nashville indie
4813,Kweku Collins,92,underground hip hop
6426,Peach Pit,90,vancouver indie
7075,Rolling Blackouts Coastal Fever,88,australian indie
9336,Trampled by Turtles,87,duluth indie
6598,Pond,87,indie rock
2447,Drake,86,canadian hip hop
5645,Mild High Club,84,indie garage rock
3902,Jack Johnson,81,neo mellow
8834,The Rolling Stones,79,protopunk
2355,Djo,77,psychedelic pop
4565,KIDS SEE GHOSTS,76,rap
6016,Neutral Milk Hotel,73,athens indie
8607,The Lemon Twigs,72,baroque pop
9885,Yo La Tengo,72,chamber pop
3665,Hers,70,indie garage rock
6732,Q-Tip,70,neo soul
1792,Counting Crows,70,pop rock
6821,Radiohead,68,melancholia
6168,Of Monsters And Men,68,stomp and holler
1230,Brother Ali,66,alternative hip hop
8388,The Decemberists,66,indie folk
2803,FKJ,64,indie soul
1919,DAngelo,61,soul
6721,Pusha T,61,gangster rap
2605,Electric Guest,61,vapor soul
9278,Toro Y Moi,59,alternative dance
8799,The Postal Service,59,indietronica
2318,Disclosure,59,house
4725,Kid Cudi,58,rap
5126,Louis Armstrong,56,soul
10111,together PANGEA,56,indie punk
294,Anderson .Paak,50,escape room
7245,Sam Evian,50,freak folk
4263,Joey Dosik,50,retro soul
8487,The Flaming Lips,49,rock
4102,Jazz Spastiks,48,jazz rap
4064,Jay Rock,47,southern hip hop
102,Acid Dad,46,neo-psychedelic
1868,Crumb,45,indie garage rock
108,Action Bronson,44,rap
3067,Frank Sinatra,44,adult standards
3261,Generationals,43,new orleans indie
3675,Hiatus Kaiyote,43,neo r&b
7870,Sturgill Simpson,41,roots rock
4718,Khruangbin,41,funk
6596,Polo & Pan,41,new french touch
2689,Eminem,40,detroit hip hop
